Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Abbott, Paul",1,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,3.0
"Ayres, Gary",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Brereton, Dermott",,,5,2,2,-,4,2,,2,4,-,3,2,-,1,,1,-,1,2,-,-,2,1,34.0
"Buckenara, Gary",-,2,-,2,-,-,1,2,1,4,4,6,7,5,2,2,1,1,-,4,1,2,1,1,4,53.0
"Byrne, Michael",-,2,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,3.0
"Curran, Peter",,,,,,1,-,,-,1,1,2,-,1,1,2,-,2,1,-,1,1,1,3,1,19.0
"Dear, Greg",-,-,2,-,-,1,,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,6.0
"DiPierdomenico, Robert",-,1,1,-,2,-,1,1,-,-,-,-,-,-,1,1,1,-,1,1,3,1,-,1,1,17.0
"Dunstall, Jason",1,,1,1,2,-,4,2,,,1,-,1,2,1,1,1,1,-,2,4,1,2,3,-,31.0
"Eade, Rodney",-,-,1,-,-,,,,,,,1,-,-,-,-,-,,-,,,,,-,-,2.0
"Ellingworth, Roger",,,,,,,,,-,,,,,,,,,,,,,,,,,
"Greene, Russell",-,-,-,,,,,1,-,1,-,-,-,,,-,-,-,,,,,-,-,2,4.0
"Handley, Robert",-,-,-,-,,2,,,,,,-,,,,,,,,,,,,,,2.0
"Howard, Glenn",-,-,-,-,-,,,,-,-,-,-,1,1,-,,,-,,,,,,,,2.0
"Jencke, Ray",,,,,,,,,-,-,1,,,,,,,,,,-,-,,1,,2.0
"Judge, Ken",,-,,1,3,2,1,-,2,1,,,,,,,2,1,-,1,-,1,1,,,16.0
"Kennedy, John",2,-,-,2,,,3,-,1,-,1,1,3,2,1,-,-,,3,1,-,-,,,1,21.0
"Langford, Chris",-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lester-Smith, Rod",-,-,-,-,-,-,-,-,,,,,-,-,-,2,-,-,-,-,-,-,-,,,2.0
"Loveridge, Richard",3,1,2,1,-,-,1,-,1,2,1,-,1,-,1,4,-,2,2,1,-,-,-,-,-,23.0
"McCarthy, Michael",,,,,,,,,,,,-,1,-,-,,,1,,,,,1,,,3.0
"Mew, Chris",-,-,-,-,-,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,1.0
"Morris, Russell",,,-,,,-,,,,,,,,,,,,,-,-,-,-,-,-,-,
"Platten, John",1,-,5,-,1,2,4,1,-,2,3,2,2,2,1,-,1,1,-,1,1,3,-,2,1,36.0
"Robertson, Colin",-,1,-,-,-,1,-,-,,,,,,,,-,-,-,-,-,,,-,,,2.0
"Russo, Peter",1,-,1,2,,,-,-,,,,,,,,,,,1,1,-,1,-,-,1,8.0
"Schwab, Peter",,,,,-,-,2,-,-,-,-,1,-,-,-,-,-,,,,,,,-,-,3.0
"Sullivan, David",,-,,,,,,,,,,,,,,,,,,,,,,,,
"Tuck, Michael",-,-,,-,-,1,-,1,-,-,2,1,4,-,-,1,-,2,1,1,-,-,-,-,-,14.0
"Wallace, Terry",,,1,-,1,,-,1,-,-,-,-,-,1,1,-,-,1,,2,-,1,-,-,1,10.0
"Wittman, Chris",,,,,-,-,-,,-,-,-,,,-,-,-,,,,,,,,,,
Totals,9,7,19,11,11,11,21,12,5,13,18,15,23,17,10,15,7,13,9,16,12,11,6,14,13,318.0
Opponent,CA,NM,RI,SK,FI,ES,SY,CW,GE,FO,ME,CA,NM,RI,SK,ME,FI,ES,SY,CW,GE,FO,CA,FI,CA,
