Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Abbott, Paul",3,,,,,4,4,3,6,3,4,4,3,2,7,6,6,3,-,1,-,3,,2,-,64.0
"Ayres, Gary",3,4,1,6,-,5,3,3,2,3,6,3,1,4,8,2,2,1,2,-,5,4,4,1,5,78.0
"Brereton, Dermott",,,9,3,6,6,12,4,,4,8,5,13,7,2,8,,3,6,5,6,3,5,6,3,124.0
"Buckenara, Gary",9,11,5,7,4,8,8,8,6,7,10,11,12,9,6,8,4,4,10,4,5,8,5,4,6,179.0
"Byrne, Michael",4,6,3,6,4,6,2,6,2,-,4,,,,,,,,,,,,,,,43.0
"Curran, Peter",,,,,,5,-,,3,2,3,1,7,8,7,4,4,1,4,5,3,1,6,4,2,70.0
"Dear, Greg",2,4,4,5,1,4,,2,7,3,6,3,1,2,3,5,3,4,1,2,5,1,2,4,2,76.0
"DiPierdomenico, Robert",1,-,3,-,5,3,2,3,5,5,5,4,4,6,5,4,10,3,8,5,6,7,3,3,1,101.0
"Dunstall, Jason",1,,4,10,2,4,6,6,,,3,9,4,9,3,6,1,1,9,7,13,7,4,10,4,123.0
"Eade, Rodney",2,2,5,4,3,,,,,,,8,1,3,6,1,3,,5,,,,,1,2,46.0
"Ellingworth, Roger",,,,,,,,,3,,,,,,,,,,,,,,,,,3.0
"Greene, Russell",3,6,2,,,,,2,3,5,-,6,2,,,4,3,2,,,,,6,-,2,46.0
"Handley, Robert",2,-,-,1,,6,,,,,,1,,,,,,,,,,,,,,10.0
"Howard, Glenn",2,3,3,7,-,,,,3,9,5,1,3,3,2,,,-,,,,,,,,41.0
"Jencke, Ray",,,,,,,,,1,4,5,,,,,,,,,,3,3,,3,,19.0
"Judge, Ken",,3,,2,2,8,2,2,10,1,,,,,,,3,1,-,2,1,2,5,,,44.0
"Kennedy, John",3,1,6,4,,,3,5,7,3,1,2,8,3,2,3,3,,4,1,2,2,,,1,64.0
"Langford, Chris",2,-,,,2,1,3,3,3,3,7,4,2,3,4,2,3,1,2,2,3,2,6,1,5,64.0
"Lester-Smith, Rod",4,5,8,3,11,2,6,2,,,,,6,4,8,11,6,-,-,3,4,2,3,,,88.0
"Loveridge, Richard",5,1,2,2,4,1,2,4,4,2,5,7,5,6,2,4,2,3,2,3,4,5,6,2,1,84.0
"McCarthy, Michael",,,,,,,,,,,,1,1,2,1,,,1,,,,,-,,,6.0
"Mew, Chris",4,5,4,3,1,,,,,,,,,,,,6,4,8,2,3,7,7,4,4,62.0
"Morris, Russell",,,1,,,1,,,,,,,,,,,,,4,6,-,4,6,3,2,27.0
"Platten, John",2,1,-,1,1,4,5,1,4,2,3,3,8,4,-,4,3,1,2,-,2,4,2,3,1,61.0
"Robertson, Colin",1,2,3,4,2,2,3,-,,,,,,,,3,4,4,1,-,,,1,,,30.0
"Russo, Peter",3,1,1,4,,,1,1,,,,,,,,,,,1,5,2,4,3,2,1,29.0
"Schwab, Peter",,,,,5,5,3,4,8,3,4,4,4,3,3,6,7,,,,,,,1,3,63.0
"Sullivan, David",,-,,,,,,,,,,,,,,,,,,,,,,,,
"Tuck, Michael",1,-,,4,4,1,4,4,2,6,1,10,3,-,4,2,1,2,2,2,-,4,5,3,2,67.0
"Wallace, Terry",,,4,3,3,,6,5,3,1,3,3,3,5,7,1,-,5,,1,3,1,2,4,4,67.0
"Wittman, Chris",,,,,3,1,-,,5,2,1,,,2,-,1,,,,,,,,,,15.0
Totals,57,55,68,79,63,77,75,68,87,68,84,90,91,85,80,85,74,44,71,56,70,74,81,61,51,1794.0
Opponent,CA,NM,RI,SK,FI,ES,SY,CW,GE,FO,ME,CA,NM,RI,SK,ME,FI,ES,SY,CW,GE,FO,CA,FI,CA,
