Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Abbott, Paul",2,,,,,-,1,-,1,2,3,1,2,-,2,1,-,-,-,1,-,1,,-,-,17.0
"Ayres, Gary",-,-,1,2,-,2,-,2,3,3,1,-,2,2,3,3,1,3,3,2,-,1,1,-,2,37.0
"Brereton, Dermott",,,2,2,-,1,1,4,,1,1,1,1,-,2,1,,1,-,1,3,-,1,5,1,29.0
"Buckenara, Gary",3,-,1,1,1,1,1,-,2,4,1,2,2,2,1,2,1,-,2,3,-,2,1,3,2,38.0
"Byrne, Michael",2,-,-,2,-,2,-,1,-,1,2,,,,,,,,,,,,,,,10.0
"Curran, Peter",,,,,,2,2,,1,2,1,-,2,1,-,3,2,1,1,2,-,-,1,-,2,23.0
"Dear, Greg",3,-,1,2,-,1,,3,1,2,-,-,1,-,3,1,2,4,2,3,-,3,3,4,1,40.0
"DiPierdomenico, Robert",7,1,2,-,3,2,3,3,2,1,6,1,3,-,3,3,1,-,2,3,-,1,-,3,2,52.0
"Dunstall, Jason",1,,1,1,1,1,1,-,,,3,-,1,-,-,-,1,-,-,-,1,2,1,2,-,17.0
"Eade, Rodney",1,1,-,-,-,,,,,,,-,1,2,1,1,1,,2,,,,,-,2,12.0
"Ellingworth, Roger",,,,,,,,,-,,,,,,,,,,,,,,,,,
"Greene, Russell",2,2,1,,,,,-,1,2,1,2,-,,,-,-,1,,,,,2,-,1,15.0
"Handley, Robert",2,1,2,1,,-,,,,,,-,,,,,,,,,,,,,,6.0
"Howard, Glenn",4,1,1,1,-,,,,-,2,1,-,1,2,-,,,-,,,,,,,,13.0
"Jencke, Ray",,,,,,,,,-,1,1,,,,,,,,,,-,-,,-,,2.0
"Judge, Ken",,1,,2,1,2,-,2,1,1,,,,,,,1,-,1,1,1,-,-,,,14.0
"Kennedy, John",-,1,-,-,,,1,-,-,3,3,2,-,2,1,-,1,,2,5,1,-,,,1,23.0
"Langford, Chris",2,-,,,1,-,2,3,1,6,1,-,2,-,2,-,1,2,-,3,1,-,2,1,-,30.0
"Lester-Smith, Rod",4,2,2,-,1,2,-,-,,,,,-,-,1,-,1,-,4,-,1,1,-,,,19.0
"Loveridge, Richard",6,1,-,3,1,-,3,-,3,2,1,1,-,2,1,2,1,1,1,1,2,4,1,3,2,42.0
"McCarthy, Michael",,,,,,,,,,,,1,-,2,-,,,2,,,,,1,,,6.0
"Mew, Chris",1,2,-,-,1,,,,,,,,,,,,-,2,2,-,-,1,-,3,3,15.0
"Morris, Russell",,,-,,,1,,,,,,,,,,,,,4,2,1,2,3,2,-,15.0
"Platten, John",5,-,3,-,1,3,-,2,1,2,3,-,1,1,1,1,3,2,1,2,1,2,-,1,3,39.0
"Robertson, Colin",2,2,-,1,3,2,1,-,,,,,,,,1,1,-,1,4,,,-,,,18.0
"Russo, Peter",1,2,-,1,,,1,1,,,,,,,,,,,1,2,-,3,2,3,-,17.0
"Schwab, Peter",,,,,1,3,1,-,-,3,1,2,1,-,2,3,1,,,,,,,1,-,19.0
"Sullivan, David",,-,,,,,,,,,,,,,,,,,,,,,,,,
"Tuck, Michael",3,1,,4,5,2,1,3,1,4,-,3,-,1,6,-,2,3,-,1,1,2,2,1,1,47.0
"Wallace, Terry",,,2,2,2,,1,1,3,2,1,3,1,1,3,1,2,3,,-,2,2,1,2,3,38.0
"Wittman, Chris",,,,,1,2,2,,1,1,1,,,-,1,-,,,,,,,,,,9.0
Totals,51,18,19,25,23,29,22,25,22,45,32,19,21,18,33,23,23,25,29,36,15,27,22,34,26,662.0
Opponent,CA,NM,RI,SK,FI,ES,SY,CW,GE,FO,ME,CA,NM,RI,SK,ME,FI,ES,SY,CW,GE,FO,CA,FI,CA,
