Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Abbott, Paul",9,,,,,10,11,11,15,15,22,11,11,11,14,12,14,9,2,4,4,20,,6,12,223.0
"Ayres, Gary",12,18,11,15,4,18,20,26,23,23,15,16,13,23,23,20,26,21,10,7,20,23,26,15,23,451.0
"Brereton, Dermott",,,23,7,11,13,25,22,,9,22,12,25,16,10,16,,7,12,10,19,8,10,23,14,314.0
"Buckenara, Gary",22,29,10,28,21,31,27,30,12,23,27,26,30,27,21,25,10,25,28,20,26,36,18,19,18,589.0
"Byrne, Michael",9,18,14,12,9,16,11,7,12,2,11,,,,,,,,,,,,,,,121.0
"Curran, Peter",,,,,,11,5,,14,13,13,15,26,14,16,19,9,8,11,19,16,11,17,19,17,273.0
"Dear, Greg",11,9,12,14,4,6,,11,12,8,15,8,5,4,9,17,7,12,9,15,11,10,17,16,8,250.0
"DiPierdomenico, Robert",23,14,16,4,23,17,30,26,20,18,41,17,30,24,23,27,22,23,22,28,33,35,15,24,16,571.0
"Dunstall, Jason",3,,10,11,5,9,10,16,,,14,11,9,11,6,10,3,1,11,11,21,12,8,16,10,218.0
"Eade, Rodney",12,16,22,19,16,,,,,,,12,12,12,24,13,17,,17,,,,,17,26,235.0
"Ellingworth, Roger",,,,,,,,,4,,,,,,,,,,,,,,,,,4.0
"Greene, Russell",27,28,13,,,,,12,26,20,9,20,18,,,24,15,10,,,,,15,16,13,266.0
"Handley, Robert",7,12,14,5,,9,,,,,,6,,,,,,,,,,,,,,53.0
"Howard, Glenn",12,12,22,15,10,,,,8,24,18,6,12,17,14,,,7,,,,,,,,177.0
"Jencke, Ray",,,,,,,,,3,7,15,,,,,,,,,,20,14,,11,,70.0
"Judge, Ken",,6,,11,17,20,12,10,20,9,,,,,,,8,9,5,8,12,6,20,,,173.0
"Kennedy, John",21,21,19,16,,,22,16,24,16,23,18,30,19,14,7,18,,21,19,19,7,,,3,353.0
"Langford, Chris",16,19,,,12,7,18,9,10,18,16,12,18,12,15,18,14,10,8,10,10,11,22,8,19,312.0
"Lester-Smith, Rod",14,15,16,15,22,20,22,5,,,,,22,14,21,23,18,7,20,17,28,17,14,,,330.0
"Loveridge, Richard",31,26,18,33,21,22,32,22,26,20,30,30,38,23,24,32,15,30,20,22,32,33,31,21,17,649.0
"McCarthy, Michael",,,,,,,,,,,,5,6,16,4,,,11,,,,,6,,,48.0
"Mew, Chris",11,14,7,9,8,,,,,,,,,,,,14,11,17,6,13,26,17,13,14,180.0
"Morris, Russell",,,2,,,4,,,,,,,,,,,,,21,16,8,18,18,15,5,107.0
"Platten, John",24,18,19,8,14,21,26,20,27,20,29,23,35,20,10,31,18,18,22,9,15,29,11,24,16,507.0
"Robertson, Colin",11,12,25,20,15,24,28,5,,,,,,,,13,11,10,22,18,,,14,,,228.0
"Russo, Peter",22,17,20,20,,,14,8,,,,,,,,,,,19,15,22,21,21,16,21,236.0
"Schwab, Peter",,,,,13,25,24,27,24,23,12,22,18,11,19,21,9,,,,,,,16,15,279.0
"Sullivan, David",,3,,,,,,,,,,,,,,,,,,,,,,,,3.0
"Tuck, Michael",12,6,,23,24,18,22,22,15,25,18,27,30,17,27,19,21,15,22,24,19,24,21,13,10,474.0
"Wallace, Terry",,,31,29,17,,39,33,35,17,38,32,38,33,30,37,22,28,,26,30,22,24,31,21,613.0
"Wittman, Chris",,,,,15,11,15,,18,18,11,,,7,8,11,,,,,,,,,,114.0
Totals,309,313,324,314,281,312,413,338,348,328,399,329,426,331,332,395,291,272,319,304,378,383,345,339,298,8421.0
Opponent,CA,NM,RI,SK,FI,ES,SY,CW,GE,FO,ME,CA,NM,RI,SK,ME,FI,ES,SY,CW,GE,FO,CA,FI,CA,
