Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Allan, John",-,,,-,-,-,-,-,1,1,-,4,-,-,1,-,-,-,1,8.0
"Angus, George",,,,,,,-,-,-,-,-,-,-,,-,1,-,-,1,2.0
"Boyack, Alf",,-,-,-,-,,,,,,,,,-,,,,,,
"Bryce, Bob",-,,,,,,,,,,,,,,,,,,,
"Condon, Dick",,2,-,,-,2,-,1,1,2,3,3,1,,1,-,1,-,-,17.0
"Dow, Charlie",,-,-,-,-,,,,,,,,,,,,,,,
"Dummett, Alf",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Farrell, Jack",-,-,,,,-,,,,,,,,2,-,-,,,,2.0
"Fell, Matthew",,-,-,-,-,-,-,1,-,1,-,,,-,1,-,-,-,-,3.0
"Hailwood, Frank",-,1,1,-,-,-,-,-,-,1,1,-,-,-,1,-,2,-,-,7.0
"Incoll, Jack",-,,1,,1,-,,,,1,1,1,2,,,,2,,-,9.0
"Leach, Arthur",-,-,1,-,,-,1,,1,-,1,2,-,1,-,2,-,-,-,9.0
"Leach, Fred",,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Leach, Ted",-,-,-,-,,-,,-,,,,-,,1,,,,,,1.0
"Lockwood, George",,,,1,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2.0
"Lockwood, Teddy",,2,1,-,1,2,3,1,1,2,-,2,2,,4,2,-,3,3,29.0
"Martin, Peter",,,-,,,,,,,,,,,,,,,,,
"McCormack, Con",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McCulloch, Bill",,,,1,,,,,,,,,,,,,,,,1.0
"Monohan, Jack",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,1,,2.0
"Morgan, Leo",1,,-,,-,,,,,,,,,,,,,,,1.0
"Newbound, Harry",-,,,,,,,,,,,,,,,,,,,
"Pannam, Charlie",-,-,1,-,-,-,-,-,-,-,-,,-,1,-,1,1,-,-,4.0
"Pears, Harry",2,-,,1,1,1,1,-,-,1,,3,-,2,2,,7,-,1,22.0
"Proudfoot, Bill",-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,
"Rowell, Ted",1,3,3,-,,,,,2,2,2,3,1,-,2,6,3,2,3,33.0
"Rush, Bob",-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Archie",,,,,,1,2,1,1,,,,,,,,,,,5.0
"Tame, Alby",,-,,,-,,-,-,,,,-,,,,,,,,
"Tulloch, Lardie",1,-,3,-,1,-,1,-,-,1,1,-,1,-,-,1,-,-,-,10.0
Totals,5,8,11,3,5,6,8,4,7,12,9,19,7,7,12,13,16,6,9,167.0
Opponent,SM,ME,GE,FI,SK,ES,CA,SM,ME,GE,FI,SK,ES,CA,SM,FI,GE,FI,ES,
