Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,Tot
"Alvin, Tom",15,2,8,3,2,2,,,,-,-,2,,,,2,,3,,,,,,6,45.0
"Ashman, Rodney",,,,,,,,,1,,5,4,7,2,-,,3,2,5,2,5,4,4,4,48.0
"Austin, Rod",,,7,1,3,3,3,-,-,3,2,,,,1,1,3,3,,-,2,-,-,,32.0
"Blackwell, Wayne",1,,8,4,4,4,3,8,6,16,1,6,6,6,4,5,4,4,4,6,5,13,7,5,130.0
"Buckley, Jim",1,-,7,5,3,4,3,2,-,7,2,-,4,2,3,,-,3,7,6,2,4,5,3,73.0
"Buckley, Mark",,,,,,-,-,,,,,,,,,,,,,,,,,,
"Dean, Peter",,,,,,,,,,,7,4,3,8,6,3,,7,3,7,4,4,3,5,64.0
"Doull, Bruce",6,7,5,1,4,2,1,3,1,7,3,3,2,4,-,2,2,3,5,7,4,7,6,8,93.0
"English, Des",8,6,10,7,,,,,8,7,6,14,6,14,7,,7,11,7,6,2,7,5,,138.0
"Glascott, David",5,12,11,9,3,,4,7,4,,,,12,12,7,2,3,5,4,11,4,,7,5,127.0
"Harmes, Wayne",6,2,,7,6,5,,1,,,,,,,,,,,4,6,4,9,5,5,60.0
"Hartney, Brendan",,,,,,6,9,1,,,,,,,,8,3,,,,,,,,27.0
"Honybun, David",2,1,6,,,,2,,-,,,,,,,,,,,,,,,,11.0
"Howell, Scott",,,,,3,-,3,2,,,,,,,,,,,1,,,,,,9.0
"Hunter, Ken",11,4,3,4,,,,4,3,5,3,,2,2,-,,1,4,4,5,8,7,1,,71.0
"Johnston, Wayne",11,5,10,-,5,3,5,4,-,13,,,1,1,3,4,-,,,,,,,3,68.0
"Jones, Warren",,,,2,3,1,,,,6,8,6,5,2,4,3,2,2,4,7,4,5,1,4,69.0
"Kennedy, Michael",,,,,,,,,,,,,,,,,,,,,,3,,,3.0
"Kourkoumelis, Spiro",17,13,10,12,9,7,,,,14,8,9,14,6,4,6,5,2,1,4,4,,,,145.0
"Maclure, Mark",7,4,4,3,,2,7,3,3,10,,,,,1,2,3,3,4,2,6,7,7,5,83.0
"Madden, Justin",3,4,4,3,1,,,4,2,4,1,3,3,1,1,3,1,2,2,1,1,2,1,6,53.0
"Marcou, Alex",,9,6,3,13,4,8,5,,2,1,2,2,-,,,,5,2,,6,4,9,,81.0
"Maylin, Phil",,,,,2,4,9,4,1,,,,,,,5,1,,11,16,8,8,,,69.0
"McConville, Peter",6,1,8,7,5,11,,4,4,8,7,9,6,13,7,7,4,9,3,7,1,,,11,138.0
"Meldrum, Paul",9,6,10,3,1,4,6,,1,5,2,4,7,9,3,6,5,6,6,9,4,13,8,4,131.0
"Montgomery, Allan",2,4,,,3,6,-,2,1,7,4,10,4,3,2,5,,,2,,,3,4,6,68.0
"Muller, Ian",,,,,,,,,,,,,,1,,,6,-,,,,,,,7.0
"Murphy, Fraser",10,7,3,,,,8,9,,5,6,6,6,8,5,8,1,1,,3,,8,9,7,110.0
"Nixon, Ricky",,,,,,,,,,,,4,1,,,,,,,,,,,,5.0
"Perovic, Val",1,2,3,5,4,1,4,2,-,,,1,3,1,-,,4,-,,,,,,5,36.0
"Ralph, Warren",6,3,-,2,2,1,-,-,-,,,2,,,,1,,,,,1,,2,-,20.0
"Reid, Bruce",,,,,,,,,,10,8,5,11,4,6,1,,,4,7,8,4,5,4,77.0
"Robertson, Shane",,,,,,,,,2,7,5,3,,,,-,,,,,,,,,17.0
"Sheldon, Ken",,,,,,,,,,,,,,,,,,,,,,5,6,2,13.0
"Southby, Geoff",4,5,-,6,2,,4,8,5,3,10,,,,,,,,,-,,,,,47.0
"Williams, Mark",,,,,,,2,,,,,,,,,,,,,,,,,,2.0
Totals,131,97,123,87,78,70,81,73,42,139,89,97,105,99,64,74,58,75,83,112,83,117,95,98,2170.0
Opponent,NM,FI,GE,RI,CW,SK,ME,HW,ES,SY,FO,FI,GE,RI,CW,SK,ME,HW,ES,NM,FO,SY,HW,CW,
