Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,Tot
"Alvin, Tom",-,-,1,-,-,-,,,,-,-,-,,,,-,,-,,,,,,-,1.0
"Ashman, Rodney",,,,,,,,,-,,-,1,-,-,1,,1,-,-,-,1,-,-,1,5.0
"Austin, Rod",,,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,,-,-,-,-,,
"Blackwell, Wayne",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Buckley, Jim",-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,,-,-,-,-,-,-,-,-,2.0
"Buckley, Mark",,,,,,-,-,,,,,,,,,,,,,,,,,,
"Dean, Peter",,,,,,,,,,,-,-,2,1,-,1,,-,-,-,2,-,-,-,6.0
"Doull, Bruce",1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,7.0
"English, Des",-,-,-,-,,,,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,
"Glascott, David",-,-,-,-,-,,-,-,-,,,,-,-,-,-,-,-,-,-,-,,-,-,
"Harmes, Wayne",-,-,,-,-,-,,-,,,,,,,,,,,-,-,-,-,-,-,
"Hartney, Brendan",,,,,,-,-,-,,,,,,,,-,-,,,,,,,,
"Honybun, David",10,27,14,,,,20,,10,,,,,,,,,,,,,,,,81.0
"Howell, Scott",,,,,3,5,7,15,,,,,,,,,,,3,,,,,,33.0
"Hunter, Ken",-,-,-,-,,,,-,-,3,-,,-,-,-,,-,-,-,-,-,-,-,,3.0
"Johnston, Wayne",-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,,,,,,,-,
"Jones, Warren",,,,20,16,30,,,,31,17,16,17,14,23,17,31,34,9,26,28,22,20,16,387.0
"Kennedy, Michael",,,,,,,,,,,,,,,,,,,,,,-,,,
"Kourkoumelis, Spiro",-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"Maclure, Mark",-,-,1,-,,-,2,2,2,-,,,,,-,1,3,-,-,1,2,-,-,-,14.0
"Madden, Justin",21,21,17,2,20,,,35,15,16,14,9,11,21,19,15,7,5,18,15,8,21,13,16,339.0
"Marcou, Alex",,-,-,-,-,-,-,-,,-,-,-,-,-,,,,-,-,,-,-,-,,
"Maylin, Phil",,,,,-,-,-,-,-,,,,,,,-,-,,-,-,-,-,,,
"McConville, Peter",-,-,-,-,-,-,,-,-,-,1,-,-,-,-,1,-,-,-,-,-,,,-,2.0
"Meldrum, Paul",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Montgomery, Allan",-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,-,-,
"Muller, Ian",,,,,,,,,,,,,,-,,,-,1,,,,,,,1.0
"Murphy, Fraser",-,-,-,,,,-,-,,-,-,-,-,-,-,-,-,-,,-,,-,-,-,
"Nixon, Ricky",,,,,,,,,,,,-,-,,,,,,,,,,,,
"Perovic, Val",-,1,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,,,,,,1,2.0
"Ralph, Warren",-,-,1,1,-,-,2,1,-,,,-,,,,2,,,,,-,,-,-,7.0
"Reid, Bruce",,,,,,,,,,-,-,3,-,-,1,-,,,1,-,-,-,-,-,5.0
"Robertson, Shane",,,,,,,,,-,-,-,-,,,,-,,,,,,,,,
"Sheldon, Ken",,,,,,,,,,,,,,,,,,,,,,-,-,-,
"Southby, Geoff",-,1,-,-,-,,-,-,-,-,-,,,,,,,,,-,,,,,1.0
"Williams, Mark",,,,,,,1,,,,,,,,,,,,,,,,,,1.0
Totals,32,50,34,23,39,35,33,53,28,50,33,29,30,36,45,37,42,41,31,42,41,43,33,37,897.0
Opponent,NM,FI,GE,RI,CW,SK,ME,HW,ES,SY,FO,FI,GE,RI,CW,SK,ME,HW,ES,NM,FO,SY,HW,CW,
