Player,R1,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Beasy, Maurie",-,1,-,-,,,,,,,,,,,,,,,,1.0
"Bell, Harry",,-,,,,,,,,,,,,,,,,,,
"Bickford, Edric",-,,-,,,,,,,3,1,-,,2,2,-,,1,,9.0
"Blackman, Billy",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Boromeo, Bert",-,-,-,1,-,-,-,-,-,-,-,,-,-,-,,-,-,1,2.0
"Canet, Charlie",-,,-,-,1,-,-,-,-,-,-,-,,,,,,,,1.0
"Chandler, Newton",,,,,,,,,,,,-,-,-,-,-,1,-,-,1.0
"Clover, Horrie",1,2,,1,5,2,2,6,6,13,-,5,1,3,3,3,4,,-,57.0
"Clowe, Clarrie",,,,,-,,,,,,-,-,,,,,,,,
"Daykin, Percy",2,3,2,-,2,2,3,1,1,3,1,1,2,1,1,-,,2,-,27.0
"Downs, Lyle",,,,,,,-,-,,,,,,,,,,,,
"Duncan, Alex",-,-,1,,2,1,,1,-,-,-,-,-,,-,1,-,-,1,7.0
"Ewans, Morrie",,,-,,,,,,,,,,,,,,,,,
"Fisher, Charlie",3,4,-,-,-,1,-,-,-,,-,1,1,-,1,-,-,1,-,12.0
"Green, Gordon",,,,2,2,1,1,2,-,-,1,-,-,1,6,1,-,1,-,18.0
"Greenhill, Jack",-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,2.0
"Hiskins, Rupe",-,-,-,-,-,-,-,-,-,-,-,,,,-,-,1,-,-,1.0
"Jamieson, Ernie",,,,,,,,-,-,-,,-,-,-,-,-,-,-,-,
"Johnson, Fred",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Keily, Dan",-,,,-,,,,,,,,,,,,,,,,
"Martin, Frank",-,-,-,-,-,-,-,-,1,1,-,-,-,-,,,-,1,-,3.0
"McKenzie, Croft",,-,-,,,-,-,,-,,,,,,,,-,,-,
"McLatchie, Stewart",1,-,1,1,2,2,-,1,2,2,-,1,3,-,1,3,2,1,1,24.0
"Morgan, Harry",,5,1,5,4,2,2,1,3,,,2,-,,,,,,,25.0
"Murphy, Frank",,,,,,,,,,,,,,,,-,,,,
"OBrien, Paddy",,,,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Raleigh, Wally",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stephenson, Jack",-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,1,1.0
"Toole, Harry",,,,,,,,,,,,,-,1,-,1,1,-,-,3.0
"Watson, Jim",,-,-,-,,,,,,,,,,,,,,,,
"Whannell, Dan",,,,,,,,,,,,,,-,,,,,,
"Wittmann, Dick",1,-,-,,,,,,,-,,,,,,,,,,1.0
Totals,8,15,5,10,18,11,8,12,14,22,3,11,7,8,14,9,9,7,4,195.0
Opponent,RI,SK,FI,SM,ES,GE,ME,CW,RI,SK,FI,SM,ES,GE,ME,CW,CW,RI,RI,
