Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Abbott, Ernie",,,,,,,,,,,,,,,1,,,,,1.0
"Bant, Chris",,-,,-,-,,-,-,-,-,-,-,,,-,-,-,1,,1.0
"Bant, Horrie",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,-,
"Barwick, Vic",-,-,1,1,-,-,2,2,1,1,1,-,-,-,,,,,-,9.0
"Clymo, Charlie",-,-,-,-,1,-,2,1,-,-,1,-,-,-,3,1,-,-,,9.0
"Cowell, Jim",1,-,-,,-,-,-,-,-,-,-,,,-,-,-,-,-,1,2.0
"Cromie, Bob",,,,,,-,,,,,,,,,,,,,,
"Cumberland, Vic",,,1,-,,,,,-,-,1,-,-,1,2,-,,,-,5.0
"Dangerfield, Gordon",,,,,-,1,-,-,-,-,-,-,-,-,2,1,-,,-,4.0
"Duff, Leo",,,,,,,-,1,,,,,,,,,,,,1.0
"Ellin, Percy",-,-,-,,-,-,-,-,-,-,-,-,-,-,,,,,,
"Farmer, Horrie",-,-,,,,,,,,,,,,,,,,,,
"Feehan, Dan",-,-,-,-,-,,-,,-,-,-,-,-,-,-,-,,-,-,
"Gant, Wally",,,,,,,,,,,,,,,,,,-,-,
"Grace, Mick",1,3,1,-,4,2,,2,3,4,-,-,-,2,,,1,2,1,26.0
"Grant, Jack",,,,,,-,,,,,,,,,,,,,,
"Hall, Harry",,,,,,,,,,,,,,,-,,,,-,
"Hill, Doug",,,,,,,,,,,,,,,,1,,,,1.0
"Julian, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,
"Kulpa, Bismarck",-,,,-,,,,,,,,,,,,,,,,
"Landt, Alby",-,,,,,-,,,,,,,-,-,,,,,,
"Lever, Harry",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,1,1.0
"Madden, Bill",-,1,-,-,-,1,2,1,-,-,1,-,-,1,-,-,2,-,-,9.0
"McNamara, Dave",1,1,2,2,2,-,2,1,1,-,-,1,1,,-,1,-,1,-,16.0
"Mitchell, Hector",,,,,,,,,,,,,,,,-,,,,
"Morrissey, George",-,1,-,-,,,1,-,-,-,1,-,1,2,2,1,-,-,-,9.0
"Northey, Bob",,,,,,,,,,,,,,,,1,-,,,1.0
"OConnell, Bert",,,,,,,,,,,,,,,,,-,-,,
"Parsons, Harry",,,,1,-,1,-,1,-,,-,,,-,,,-,-,,3.0
"Prince, Joe",,,,,,,,,,,,,,,,,,-,,
"Scott, Wally",,-,-,,,,,,,,,1,-,-,-,-,-,-,-,1.0
"Smith, Jimmy",-,1,,,,,,,,,,,,,,,,,,1.0
"Stewart, Billy",-,,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,1,-,4.0
"Stewart, Jim",,-,1,-,2,1,2,2,2,-,3,3,3,2,4,1,1,1,-,28.0
"Wells, Jack",-,-,-,-,-,,,,,,,,,,,,,,,
"Woodcock, Bill",,,1,1,-,-,-,1,2,1,-,-,-,-,1,-,-,-,-,7.0
Totals,3,7,7,5,9,6,12,12,9,6,8,5,5,8,17,7,4,6,3,139.0
Opponent,CA,ES,SM,UN,ME,GE,CW,FI,RI,CA,ES,SM,UN,ME,GE,CW,FI,RI,CA,
