Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Bant, Chris",,,,,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Bant, Horrie",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Barwick, Vic",1,-,1,1,,,,,2,-,-,1,-,-,1,1,2,-,10.0
"Brain, Horrie",,-,,-,-,-,-,-,,,-,,,-,,-,-,-,
"Brown, Frank",,,,,,,,,,-,,,,,,,,,
"Clymo, Charlie",3,1,-,-,-,-,-,-,,,,-,1,1,-,-,-,-,6.0
"Cowell, Jim",-,-,1,-,-,1,1,-,-,-,1,-,1,,2,1,,1,9.0
"Cumberland, Vic",3,2,-,-,1,2,1,-,1,2,2,,-,-,1,-,-,-,15.0
"Dangerfield, Gordon",,,,,,,,,,,,,,,,-,-,,
"Ellin, Percy",-,,1,-,-,-,,,-,,,,-,,,,,,1.0
"Farmer, Horrie",,,,,,,,,,,-,,,,,,,,
"Feehan, Dan",,,-,1,1,,,,-,-,,-,-,-,-,-,-,-,2.0
"Fisher, Ted",,,,,,,,,,,,,,,,,-,,
"Gilding, John",,,,-,,,,,,,,,,,,,,,
"Jackson, Tommy",,-,,,,,,,,,,-,,-,-,-,-,-,
"Julian, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Lawson, Ivor",,,,-,,,,,-,,,,,,,,,,
"Lever, Harry",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
"Matthews, Jimmy",1,4,2,,3,3,1,1,,2,-,,,1,-,,-,,18.0
"McNamara, Dave",-,-,1,-,6,4,-,-,3,-,1,-,1,2,-,-,-,3,21.0
"Miles, Arthur",,,,,,,,,,,,-,,,,,,,
"Morrissey, George",-,1,-,2,1,-,-,-,-,1,-,-,-,-,-,,-,-,5.0
"OBrien, Dan",,,,,,,,,,,-,,,-,,,,,
"OConnor, Pat",-,,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,-,1.0
"Outen, Wyn",-,-,1,,,-,-,-,-,,,,,,,,,,1.0
"Renfrey, Bert",-,-,-,,-,,-,-,-,-,-,-,-,,-,-,-,-,
"Scott, Wally",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stewart, Billy",-,-,,,1,-,-,-,1,1,2,-,-,,,,,,5.0
"Stewart, Jim",-,-,1,7,,3,1,1,,3,-,1,1,-,3,-,,-,21.0
"Wells, Jack",-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,3.0
"Williams, Billy",,,,,,,,,,,,-,-,1,-,2,1,-,4.0
Totals,8,8,9,11,13,15,4,3,7,9,6,3,4,5,8,4,3,4,124.0
Opponent,CA,CW,ES,GE,FI,ME,SM,CA,CW,ES,GE,FI,ME,SM,CW,GE,FI,CA,
