Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,Tot
"Allan, Matthew",4,5,5,,,2,6,,2,4,1,3,4,,,4,6,8,6,1,3,9,3,8,84.0
"Beaumont, Simon",,,,8,10,,,,7,2,,5,4,,,,,,8,,,,,,44.0
"Bradley, Craig",,,25,13,19,23,17,22,18,14,7,,,16,,12,13,15,13,24,10,18,13,22,314.0
"Brown, Fraser",,14,1,,,17,12,3,13,16,15,13,17,12,,,,,,,11,12,14,14,184.0
"Camporeale, Scott",14,7,3,17,14,14,,12,8,15,15,21,11,11,11,8,4,17,4,5,19,15,19,4,268.0
"Christou, Ang",10,9,14,14,14,13,12,14,11,15,12,9,13,8,10,15,12,20,4,11,10,20,10,3,283.0
"Clape, Matt",,,8,13,15,6,14,8,5,5,7,13,9,2,,,3,5,6,,,4,5,,128.0
"De Iulio, Ron",,,,8,9,4,14,8,13,10,17,11,15,14,10,16,6,15,11,12,16,11,9,8,237.0
"Dean, Peter",12,2,,,,,,4,,,,,,,,,,,,11,3,4,4,7,47.0
"Devonport, Craig",,,,4,,,,,,,,,,,,,,,,,,,,,4.0
"Gleeson, Adrian",,,,,,,,,,,,,,,6,7,4,9,,,,,,,26.0
"Hamill, Aaron",,,,,,,,,,,,,,,7,7,9,,,,,,,7,30.0
"Hanna, Mil",,,,,,,,,,,,13,12,10,,,6,15,7,9,12,10,9,,103.0
"Heaver, Brent",9,,6,8,5,,12,,17,14,19,9,7,9,18,15,5,,15,10,10,9,1,,198.0
"Hickmott, Adrian",10,14,6,,5,14,9,4,14,7,13,11,14,11,28,8,9,7,,6,12,4,7,6,219.0
"Hogg, Matthew",9,12,8,16,3,3,3,4,-,,,,,,12,12,,,,,,,,,82.0
"Kernahan, Stephen",12,3,,11,,,,,14,12,8,9,6,7,12,8,5,4,11,9,11,13,6,11,172.0
"Koutoufides, Anthony",9,18,12,10,26,13,10,26,17,6,14,8,15,10,3,16,13,14,12,8,6,14,21,17,318.0
"Lynn, Tony",4,,,,,,,,,,,,,,,,,,,,,,,,4.0
"Madden, Justin",11,6,-,10,2,7,4,1,4,7,4,1,5,5,9,3,,,,6,5,2,7,5,104.0
"Manton, Glenn",10,6,11,7,7,7,6,7,9,9,4,11,9,6,9,12,11,10,6,7,10,7,5,8,194.0
"McKay, Andrew",,8,10,,,4,,,5,,3,,6,4,6,3,,9,8,,8,3,7,13,97.0
"Mitchell, Barry",,,,,,,,,,,,,,,,,,14,6,4,5,,,,29.0
"Murphy, Justin",13,8,3,4,,7,9,4,,,,,,,5,,8,12,11,8,7,10,6,6,121.0
"OSullivan, Luke",,2,,,,,,,,,,,,,,,,,,,,,,,2.0
"Pearce, Brad",8,7,,,7,6,11,8,,9,6,12,4,5,13,8,,,8,3,,,,,115.0
"Ratten, Brett",10,15,9,13,16,11,18,19,9,9,18,12,10,5,9,20,18,2,16,10,21,4,10,13,297.0
"Rice, Dean",6,,,,,,7,2,,,,,,5,,,,,,9,5,5,,2,41.0
"Sexton, Ben",,,5,,2,,,,,,,8,,5,,,,,,,,,,,20.0
"Sexton, Michael",7,17,13,4,11,6,5,19,8,17,14,16,15,12,5,13,18,10,6,6,17,17,,12,268.0
"Silvagni, Stephen",6,7,13,4,8,11,6,3,6,6,6,4,4,6,7,9,12,8,9,9,11,7,4,7,173.0
"Spalding, Earl",10,8,11,6,9,4,3,,,,,,,,,,,6,5,10,,,7,6,85.0
"Turner, Peter",,,,,,,,,,,,,,,,,2,1,,,,,,,3.0
"Welsh, Rohan",,,,2,3,2,11,8,5,4,-,,,,7,,,,,,,,,,42.0
"Whitehead, Adrian",8,2,8,4,3,,7,8,,5,2,5,3,,16,3,9,,,,,,4,9,96.0
"Williams, Greg",10,17,8,8,15,1,,4,12,7,8,8,9,6,21,7,17,4,7,,,,,,169.0
Totals,192,187,179,184,203,175,196,188,197,193,193,202,192,169,224,206,190,205,179,178,212,198,171,188,4601.0
Opponent,CW,ES,FR,ME,WC,FO,FI,GE,SK,RI,BB,CW,SY,NM,AD,HW,ES,FR,ME,WC,FO,GE,WC,BB,
