Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,SF,PF,GF,Tot
"Brown, Charlie",-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Buck, Bill",,-,,,,-,,,,,,,,,,,,,,
"Colechin, Bert",,,,,-,1,,,,,,-,-,-,-,,,,-,1.0
"Coventry, Gordon",,,,,,,,,,,,,,1,,3,1,5,3,13.0
"Curtis, Harry",-,1,-,,,,1,1,-,4,-,2,-,1,-,2,,-,-,12.0
"Dillon, Artie",,-,-,,,,,,,,,,,,,,,,,
"Dobrigh, Gus",-,,,,-,-,-,-,-,-,,,,-,1,-,-,-,-,1.0
"Drummond, Tom",-,-,-,1,-,,,,,-,1,-,-,-,1,,-,-,-,3.0
"Haysom, Wally",-,,,1,-,,-,,,,-,,-,,-,,,,,1.0
"Hughes, Les",-,,-,-,-,1,2,1,-,1,2,-,-,,,1,-,-,-,8.0
"Jackson, Jim",,,-,1,-,-,1,-,-,-,-,1,-,,-,,,,,3.0
"Laxton, Charlie",2,-,-,-,1,1,1,1,-,1,,-,2,2,-,1,-,1,-,13.0
"Lee, Dick",3,2,2,-,3,1,3,3,,,,,,,,2,1,,,20.0
"Lobb, Les",,,,,,-,,,,-,-,,,,-,-,,,,
"Ludbrooke, Len",,,,,,,,,,,,,,,,2,,,,2.0
"Lumsden, Ernie",-,3,1,1,2,2,1,1,3,-,-,-,-,3,-,,1,2,1,21.0
"McCarthy, Con",-,-,-,-,-,-,-,-,-,1,-,-,1,2,1,3,-,-,-,8.0
"McHale, Jock",-,,,,,,,,,,,,,,,,,,,
"Mutch, Alec",,-,-,-,-,-,-,-,-,-,-,,-,,,,,,,
"Outram, Roy",,,,,,,,,,,,,,,,-,,,,
"Pannam, Charles",-,-,-,-,-,,-,-,-,,,-,,-,1,-,-,1,-,2.0
"Rowe, Percy",,,,,,-,-,1,1,1,3,-,-,3,-,-,-,-,-,9.0
"Saunders, Harry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Seddon, Mal",-,-,-,1,-,2,-,-,-,,,1,1,-,1,,1,-,,7.0
"Sheehy, Maurie",-,-,-,-,-,-,,,-,-,-,-,-,-,1,,-,-,1,2.0
"Twomey, Bill",,,,,,,,,,,-,-,,,-,-,-,-,-,
"Tyson, Charles",,-,-,-,-,,-,-,-,-,1,-,-,-,,1,-,-,-,2.0
"Utting, Ernest",,1,-,2,3,1,3,,5,2,2,1,1,2,,,,,,23.0
"Wilson, Ernie",-,-,,-,,-,-,-,-,,1,,,,1,-,-,-,-,2.0
"Wilson, Percy",-,-,1,-,1,,-,-,-,1,-,-,2,-,,1,-,3,-,9.0
"Wraith, Tom",-,,,,,3,,2,,-,,,,3,,,,,,8.0
Totals,5,7,4,7,10,12,12,10,9,11,10,5,7,17,7,16,4,12,5,170.0
Opponent,ES,GE,ME,FI,RI,SK,CA,SM,ES,GE,ME,RI,FI,SK,CA,SM,FI,CA,RI,
