Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Bergman, Miller",13,10,14,,,,,16,10,11,11,18,4,5,12,124.0
"Bonar, Aiden",15,,,9,,,,,,,,,,,,24.0
"Coleman-Jones, Callum",,,,,,,3,,,16,10,11,13,6,9,68.0
"Comben, Charlie",13,6,11,5,9,10,1,,,,,,,,,55.0
"Corr, Aidan",,22,16,13,11,6,18,17,14,,,,8,12,15,152.0
"Cunnington, Ben",16,24,21,10,22,27,27,7,,,,,,,,154.0
"Curtis, Paul",8,8,9,9,,10,5,8,17,5,2,,11,11,13,116.0
"Davies-Uniacke, Luke",32,30,,30,23,20,,25,29,,,,,,22,211.0
"Drury, Blake",,,,,,,,13,7,6,,,,,,26.0
"Ford, Eddie",,,,,,,,,,21,16,9,19,11,13,89.0
"Goater, Josh",15,15,9,,,,,,,,,,,,,39.0
"Goldstein, Todd",,7,18,16,11,14,11,16,24,17,15,11,14,15,4,193.0
"Greenwood, Hugh",15,14,10,11,10,,,,17,23,25,10,,12,7,154.0
"Hall, Aaron",,,,,,22,30,,,21,15,27,25,,,140.0
"Howe, Daniel",,8,21,18,23,9,13,,,11,19,,,,,122.0
"Larkey, Nick",9,9,5,5,6,4,9,7,9,14,13,12,12,11,9,134.0
"Lazzaro, Charlie",,,,,,,,1,,,5,,,,,6.0
"Logue, Griffin",10,13,16,,13,17,11,9,12,11,16,13,17,12,16,186.0
"Mahony, Jack",,,,,,,,16,9,,,,,,,25.0
"McDonald, Luke",22,15,20,22,19,16,24,19,17,20,19,18,14,15,21,281.0
"McKay, Ben",,,,,9,9,10,15,10,10,5,18,12,19,14,131.0
"Perez, Flynn",,,,,,,,16,7,,,,,,,23.0
"Phillips, Will",17,,16,17,19,8,,,,16,29,27,18,22,17,206.0
"Powell, Tom",24,19,20,15,21,15,12,,,12,16,8,16,12,,190.0
"Scott, Bailey",17,12,17,22,15,11,18,16,20,33,30,19,23,20,24,297.0
"Sheezel, Harry",34,30,26,37,31,11,30,30,22,25,21,21,24,32,31,405.0
"Shiels, Liam",19,19,14,16,14,3,27,28,17,12,,19,29,17,11,245.0
"Simpkin, Jy",25,25,,29,12,,24,14,26,28,22,3,,19,21,248.0
"Spicer, Phoenix",,,,,,,,,7,10,2,8,8,4,,39.0
"Stephenson, Jaidyn",8,13,11,14,9,12,10,12,14,5,14,12,11,13,7,165.0
"Taylor, Curtis",17,11,14,18,11,17,15,11,11,,,,,,,125.0
"Thomas, Tarryn",,,,,,,,,,,,17,19,24,23,83.0
"Tucker, Darcy",,,6,24,16,17,17,18,3,,,24,16,,22,163.0
"Turner, Kayne",8,12,9,6,5,10,5,,,,,,,,,55.0
"Wardlaw, George",,,,,,,,,,16,12,17,22,9,22,98.0
"Xerri, Tristan",5,,,,,,,,,,,,,,,5.0
"Ziebell, Jack",26,26,19,29,24,23,20,36,27,21,23,18,30,14,22,358.0
"Zurhaar, Cameron",14,26,20,17,9,15,15,20,18,,15,12,10,14,14,219.0
Totals,382,374,342,392,342,306,355,370,347,364,355,352,375,329,369,5354.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,AD,
