Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Bowey, Jake",2,2,-,2,2,1,-,1,3,1,-,1,,,-,15.0
"Brayshaw, Angus",3,2,1,3,1,3,2,3,1,6,3,4,3,2,4,41.0
"Brown, Ben",1,1,-,,,,,,,,,,,,2,4.0
"Chandler, Kade",7,2,2,2,3,2,3,1,1,5,4,5,4,4,1,46.0
"Fritsch, Bayley",,3,2,1,4,1,1,-,-,2,2,1,1,3,-,21.0
"Gawn, Max",1,-,,,,-,3,5,2,2,2,1,3,4,2,25.0
"Grundy, Brodie",3,5,3,6,2,1,3,4,3,4,3,1,4,1,-,43.0
"Harmes, James",4,2,,,,,2,1,,,7,1,,,4,21.0
"Hibberd, Michael",,,-,-,,1,1,,3,-,1,,-,2,,8.0
"Hunter, Lachie",3,4,-,-,4,2,2,-,-,3,,-,1,4,3,26.0
"Jordon, James",,,3,3,3,2,1,3,1,1,-,,2,3,,22.0
"Langdon, Ed",1,2,2,4,2,5,4,1,-,-,1,2,1,3,2,30.0
"Laurie, Bailey",1,,,,,-,,,,,,,,,,1.0
"Lever, Jake",-,1,-,4,,-,-,1,3,1,1,2,2,-,1,16.0
"May, Steven",,,1,-,2,1,1,1,1,2,7,2,1,3,2,24.0
"McDonald, Tom",3,2,,3,-,,,,,1,2,,,,,11.0
"McVee, Judd",1,-,2,2,1,-,3,2,1,6,1,1,-,1,1,22.0
"Melksham, Jake",-,2,-,,-,,,,,,,,,,3,5.0
"Neal-Bullen, Alex",2,5,2,11,4,4,2,6,6,4,9,7,6,4,3,75.0
"Oliver, Clayton",7,9,7,10,2,2,3,4,3,9,,,,,,56.0
"Petracca, Christian",5,6,3,3,4,5,3,2,1,5,5,4,7,6,3,62.0
"Petty, Harry",3,3,3,3,2,3,,3,-,,,,,3,2,25.0
"Pickett, Kysaiah",8,,,5,4,2,5,7,5,2,4,3,3,5,5,58.0
"Rivers, Trent",1,2,1,6,4,3,1,1,5,4,3,2,-,3,3,39.0
"Salem, Christian",,,,,,,,,,5,7,3,2,3,4,24.0
"Schache, Josh",,,,,,,2,,,,,,,,,2.0
"Smith, Joel",,,,,,,,,,,,2,2,5,3,12.0
"Spargo, Charlie",1,6,2,1,-,,,,-,2,2,1,3,1,,19.0
"Sparrow, Tom",6,-,4,4,1,1,4,7,5,,6,3,5,4,2,52.0
"Tomlinson, Adam",2,1,,,2,,,,,,,-,3,,,8.0
"Turner, Daniel",,,,,,,,2,,,,,,,,2.0
"Viney, Jack",,6,3,6,7,2,4,7,6,5,3,6,11,8,7,81.0
"van Rooyen, Jacob",,,6,-,1,-,3,4,2,2,2,2,1,3,,26.0
Totals,65,66,47,79,55,41,53,66,52,72,75,54,65,75,57,922.0
Opponent,WB,BL,SY,WC,ES,RI,NM,GC,HW,PA,FR,CA,CW,GE,GW,
