Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Anderson, Jim",-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,5.0
"Barker, George",2,1,1,,,2,,,,,,,4,1,1,1,3,3,19.0
"Barry, Son",-,-,-,-,-,,1,-,1,-,-,,-,-,-,-,-,-,2.0
"Baxter, Ben",,-,-,-,-,-,-,-,,,,,,,-,-,-,-,
"Belcher, Norman",-,,,,,-,,,,,,,,,,,,,
"Busbridge, Bill",-,,,-,-,-,-,-,1,-,-,-,-,-,-,3,2,-,6.0
"Callan, Hughie",-,-,,,,-,-,,,-,1,1,-,,-,2,1,-,5.0
"Carkeek, William",-,-,-,1,,-,-,1,,,-,-,,,,,,,2.0
"Cochrane, George",-,,,-,,,,,,,,,,,-,,,,
"Collins, Maurie",-,-,-,-,-,,,,,,,,,,,,,,
"Gavin, Hugh",,-,-,,-,-,-,-,1,-,-,-,-,-,,-,-,-,1.0
"Geggie, Jack",-,-,,,-,,-,-,-,2,-,-,-,-,-,-,1,-,3.0
"Gilligan, Arthur",1,1,-,,2,-,-,-,,-,,,,,,,,,4.0
"Griffith, Billy",,1,,,,,,-,-,-,-,-,-,-,-,,,,1.0
"Hastings, George",,,,,-,,,,,,,,,,,,,,
"Hedley, Tom",1,-,-,1,-,-,-,-,-,-,,,,,,,,,2.0
"Laxton, Bert",,-,-,-,1,1,-,-,-,-,-,-,-,-,,-,-,-,2.0
"Legge, Arthur",,,2,1,-,-,1,-,1,-,-,-,-,-,-,-,2,-,7.0
"Madden, Mick",1,,1,2,2,-,3,2,1,4,-,2,1,2,2,1,-,1,25.0
"Martin, George",-,,,,,,,,,,,,,,,,,,
"McDonald, Jim",,,,-,,,,,-,,,,,-,-,-,-,-,
"McKenzie, Jack",,1,5,-,,,,,2,-,1,-,-,-,4,1,4,2,20.0
"Phipps, Jim",,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Pleass, Mick",,,,,-,-,-,-,,,,,,,,,,,
"Robinson, Alex",1,,-,-,-,-,,,,,2,-,2,-,,,,,5.0
"Robinson, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Robinson, Fred",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Dave",2,1,-,,,,,1,2,-,-,-,-,1,1,-,-,-,8.0
"Swift, Alf",,,1,-,1,,-,,-,-,,-,,,,,,,2.0
"Vollugi, Herc",-,-,,1,,-,-,-,-,,-,-,-,-,-,-,-,-,1.0
Totals,8,5,10,6,6,6,7,4,9,6,4,3,7,5,8,8,13,6,121.0
Opponent,SM,GE,SK,ME,FI,CW,CA,SM,GE,SK,ME,FI,CW,CA,GE,SM,FI,CA,
