Player,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Bendle, Alby",-,1,-,-,-,-,-,-,-,-,,,-,,-,-,1.0
"Brownlees, Tom",1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,1.0
"Coghlan, Arthur",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Craven, Harold",-,,,,,-,-,-,-,-,-,2,,1,3,2,8.0
"Fleming, Eric",-,1,1,3,-,1,,,1,-,-,1,-,2,-,1,11.0
"Gross, Vic",-,,,,,,,,,,,,,,,,
"Hagger, Lloyd",-,1,-,1,-,2,2,4,2,,,2,2,4,1,4,25.0
"Hall, Syd",,,,,,,,,,,,,,,-,,
"Hudd, Bill",,,,,,,,,,,,,,,-,-,
"Johns, Keith",-,-,1,-,-,-,-,-,-,1,1,1,-,-,-,-,4.0
"Jones, Jockie",-,1,,,,1,-,2,2,-,2,,-,1,1,1,11.0
"Keane, Bill",-,-,1,1,1,-,-,2,-,-,2,-,2,-,,-,9.0
"Kroger, Max",-,-,-,-,1,,-,-,-,-,-,-,-,1,-,-,2.0
"Marchesi, Val",,1,-,-,-,-,-,1,1,-,-,-,-,-,1,-,4.0
"Mathieson, Jim",-,1,1,-,-,-,1,-,3,-,1,1,-,1,2,-,11.0
"McCarter, Billy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Murrell, Jack",-,-,,,-,-,-,-,,,-,-,,-,-,,
"Plane, Charlie",-,-,,,,-,,1,1,-,-,1,-,-,-,-,3.0
"Rankin, Bert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rankin, Cliff",5,4,7,1,3,5,4,-,2,4,3,2,2,-,,,42.0
"Rollason, Neville",,-,,,,,,,,,,,,,,,
"Ross, Jack",,,-,-,,,,,,,,,,,,,
"Sharland, Wallace",-,,-,3,,,-,,,-,2,1,-,,,,6.0
"Smith, Harry",,,,,1,,,,,,,,,,1,-,2.0
"Smith, Les",,,-,-,2,,,,,,,,-,,,,2.0
"Stevenson, Edward",,,-,-,-,,,,,,,,,,,,
"Thomas, Stan",,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,1.0
"Todd, George",,,,,,-,-,6,1,-,-,-,,-,,-,7.0
Totals,6,10,11,9,8,9,7,16,13,5,11,11,6,11,10,8,151.0
Opponent,ES,FI,RI,ME,CW,CA,SK,SM,ES,FI,RI,ME,CW,CA,SK,SM,
