teams,round,Player,disposals,odds,home,away
carlton v west-coast,R19,paddy dow,To Get 15 or More Disposals,SUS,CAR,WCE
carlton v west-coast,R19,adam saad,To Get 15 or More Disposals,1.11,CAR,WCE
carlton v west-coast,R19,nic newman,To Get 15 or More Disposals,1.13,CAR,WCE
carlton v west-coast,R19,ed curnow,To Get 15 or More Disposals,1.33,CAR,WCE
carlton v west-coast,R19,matthew cottrell,To Get 15 or More Disposals,1.51,CAR,WCE
carlton v west-coast,R19,charlie curnow,To Get 15 or More Disposals,1.55,CAR,WCE
carlton v west-coast,R19,mitch mcgovern,To Get 15 or More Disposals,1.55,CAR,WCE
carlton v west-coast,R19,brodie kemp,To Get 15 or More Disposals,1.56,CAR,WCE
carlton v west-coast,R19,oliver hollands,To Get 15 or More Disposals,1.56,CAR,WCE
carlton v west-coast,R19,jack silvagni,To Get 15 or More Disposals,1.68,CAR,WCE
carlton v west-coast,R19,david cuningham,To Get 15 or More Disposals,1.69,CAR,WCE
carlton v west-coast,R19,lachlan fogarty,To Get 15 or More Disposals,1.70,CAR,WCE
carlton v west-coast,R19,jacob weitering,To Get 15 or More Disposals,1.86,CAR,WCE
carlton v west-coast,R19,tom de koning,To Get 15 or More Disposals,1.94,CAR,WCE
carlton v west-coast,R19,alex cincotta,To Get 15 or More Disposals,2.05,CAR,WCE
carlton v west-coast,R19,lachie cowan,To Get 15 or More Disposals,2.95,CAR,WCE
carlton v west-coast,R19,shannon hurn,To Get 15 or More Disposals,1.06,CAR,WCE
carlton v west-coast,R19,liam duggan,To Get 15 or More Disposals,1.08,CAR,WCE
carlton v west-coast,R19,dom sheed,To Get 15 or More Disposals,1.10,CAR,WCE
carlton v west-coast,R19,alex witherden,To Get 15 or More Disposals,1.26,CAR,WCE
carlton v west-coast,R19,andrew gaff,To Get 15 or More Disposals,1.38,CAR,WCE
carlton v west-coast,R19,jayden hunt,To Get 15 or More Disposals,1.40,CAR,WCE
carlton v west-coast,R19,jack petruccelle,To Get 15 or More Disposals,1.49,CAR,WCE
carlton v west-coast,R19,brady hough,To Get 15 or More Disposals,1.54,CAR,WCE
carlton v west-coast,R19,tom cole,To Get 15 or More Disposals,1.54,CAR,WCE
carlton v west-coast,R19,elijah hewett,To Get 15 or More Disposals,1.69,CAR,WCE
carlton v west-coast,R19,sam petrevski-seton,To Get 15 or More Disposals,2.05,CAR,WCE
carlton v west-coast,R19,bailey j. williams (wce),To Get 15 or More Disposals,2.30,CAR,WCE
carlton v west-coast,R19,jamie cripps,To Get 15 or More Disposals,2.40,CAR,WCE
carlton v west-coast,R19,campbell chesser,To Get 15 or More Disposals,2.95,CAR,WCE
carlton v west-coast,R19,noah long,To Get 15 or More Disposals,3.10,CAR,WCE
carlton v west-coast,R19,jack darling,To Get 15 or More Disposals,3.80,CAR,WCE
carlton v west-coast,R19,,To Get 20 or More Disposals,,CAR,WCE
