Player,R3,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Abbott, Paul",-,,-,1,1,,2,1,,,,,,,,,2,-,,,,,,-,,,7.0
"Ayres, Gary",2,1,-,,3,2,-,1,1,1,2,1,-,1,4,2,2,-,1,,2,3,-,2,1,2,34.0
"Bennett, James",,2,2,,,,,3,-,-,-,,,,,,,,,,,,,,,,7.0
"Brereton, Dermott",3,4,4,4,2,4,2,7,2,,4,-,6,4,1,-,1,4,1,1,2,2,2,1,3,1,65.0
"Buckenara, Gary",,,,,2,3,2,,2,-,3,2,2,1,2,-,1,3,1,1,1,1,1,2,,,30.0
"Byrne, Michael",,1,3,2,-,4,,,-,2,2,2,4,3,1,1,,3,-,2,3,2,-,2,,,37.0
"Considine, Paul",,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Curran, Peter",2,1,,,,,,,,,,3,-,,,1,-,,,1,,,,,,,8.0
"Dear, Greg",,,,,,,3,2,,,,-,2,3,,,,,,,,,,,,,10.0
"DiPierdomenico, Robert",3,,4,1,2,2,,,,,,,,,4,6,3,4,5,7,3,2,3,5,5,1,60.0
"Dunstall, Jason",,,2,1,3,,,,,-,,,,,-,1,3,-,-,-,-,2,-,2,2,1,17.0
"Eade, Rodney",1,,1,3,2,1,1,3,-,-,-,1,2,1,-,1,1,-,,1,-,,-,,1,,20.0
"Greene, Russell",1,2,1,2,-,1,1,1,-,-,2,2,1,1,2,1,,,,1,2,2,4,3,1,1,32.0
"Handley, Robert",,,,,,2,,,,,,2,-,,-,2,1,3,2,-,2,-,1,2,2,2,21.0
"Judge, Ken",1,-,,,,2,-,3,,,2,4,1,,4,1,4,1,-,,,,,,1,1,25.0
"Kennedy, John",1,-,1,2,6,2,1,2,3,3,6,1,-,-,,1,6,3,5,4,5,1,3,3,2,2,63.0
"Knights, Peter",,,,1,4,4,2,,1,2,1,,2,2,,,1,-,1,,,,,,-,,21.0
"Langford, Chris",,2,2,,,,-,1,3,-,2,-,1,2,1,-,2,1,1,-,5,2,1,2,3,5,36.0
"Lester-Smith, Rod",1,1,1,1,1,-,-,1,1,1,2,2,1,1,2,-,-,2,-,4,-,1,1,2,1,3,30.0
"Loveridge, Richard",,,,,,,,,-,-,3,1,4,1,1,2,1,2,-,1,1,3,-,2,1,3,26.0
"Malaxos, Stephen",-,-,2,1,,,2,3,,,,,2,2,,2,,,,,,,,,,,14.0
"Matthews, Leigh",2,1,,2,2,2,4,1,2,2,1,3,,2,4,,,,4,-,1,1,1,4,1,3,43.0
"McCarthy, Michael",4,-,1,,,2,,1,-,3,4,,,-,2,,,,,,,,,,1,-,18.0
"Mew, Chris",1,1,-,1,,-,3,-,2,-,2,4,-,-,3,3,-,1,1,1,2,1,1,1,-,1,29.0
"Morris, Russell",1,1,-,1,-,2,2,-,1,1,1,1,,,,,-,-,-,3,1,-,1,1,-,1,18.0
"OHalloran, David",,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0
"Paton, Ian",1,-,,1,1,,,,,,,,,,,,,,,,,,,,,,3.0
"Robertson, Colin",4,2,2,2,-,1,1,2,-,,,1,,1,,,,,,,,2,1,1,,,20.0
"Russo, Peter",3,4,4,1,1,4,1,1,2,1,,2,1,1,2,1,1,1,-,4,1,-,2,1,-,-,39.0
"Schwab, Peter",1,,,1,3,,,,,1,2,,,,-,,,,-,3,1,-,1,-,2,-,15.0
"Tuck, Michael",4,1,2,5,2,3,2,1,3,1,1,3,4,2,2,2,-,2,1,3,3,-,,,,1,48.0
"Wallace, Terry",,,3,1,1,2,-,2,1,1,-,,1,1,3,-,1,4,2,3,1,4,1,3,4,3,42.0
Totals,36,25,35,34,36,43,29,36,24,19,40,35,34,29,38,27,30,34,25,40,36,29,24,39,31,32,840.0
Opponent,ES,GE,ME,SY,RI,FI,SK,CW,FO,CA,NM,GE,ME,ES,SY,RI,FI,SK,CW,FO,CA,NM,FO,ES,FO,ES,
