Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,Tot
"Ainsworth, Ben",3,1,-,-,-,-,1,,,-,2,1,-,8.0
"Anderson, Noah",2,1,1,2,2,-,-,1,1,1,1,1,1,14.0
"Andrew, Mac",,,,3,5,2,,,10,5,4,,3,32.0
"Atkins, Rory",,,,,,,1,1,1,2,-,-,-,5.0
"Ballard, Charlie",9,5,4,13,3,4,5,3,10,5,9,6,6,82.0
"Berry, Tom",,,,,,,,-,4,-,1,-,-,5.0
"Casboult, Levi",-,2,-,5,,-,,3,,2,1,1,2,16.0
"Chol, Mabior",2,,,,1,2,-,1,1,,,,,7.0
"Collins, Sam",5,10,6,16,10,7,7,13,8,7,9,12,14,124.0
"Constable, Charlie",5,1,,,,,,,,,,,,6.0
"Davies, Alex",1,,,,,,-,-,4,2,2,4,2,15.0
"Day, Sam",,,,,,,,,2,1,,,,3.0
"Ellis, Brandon",,,,,1,-,1,-,2,-,,,,4.0
"Farrar, Jy",6,,4,,,,,,,,-,1,,11.0
"Fiorini, Brayden",1,-,,,1,3,-,-,5,2,-,1,1,14.0
"Flanders, Sam",-,1,2,,,,,-,,,,,,3.0
"Hollands, Elijah",-,2,-,-,,,,,,,,,,2.0
"Holman, Nick",4,2,1,2,1,-,1,,,1,2,-,2,16.0
"Humphrey, Bailey",,,,-,-,-,-,-,1,-,1,2,1,5.0
"Jeffrey, Joel",1,2,1,2,,,,,,,3,2,-,11.0
"King, Ben",2,1,4,-,-,-,1,1,1,-,1,-,2,13.0
"Lemmens, Sean",,,,,2,5,2,3,-,-,,,,12.0
"Long, Ben",4,2,6,-,3,4,5,1,,,3,3,4,35.0
"Lukosius, Jack",1,4,2,4,4,-,3,2,2,2,2,3,5,34.0
"Macpherson, Darcy",1,3,2,1,2,2,-,1,-,-,1,-,1,14.0
"Miller, Touk",1,-,1,4,2,-,,,,,,,,8.0
"Moyle, Ned",,,,1,2,,,,,,,,,3.0
"Oea, Hewago",,,2,1,,,,,2,,,,,5.0
"Powell, Wil",,,4,1,-,1,3,2,1,2,3,4,3,24.0
"Rosas, Malcolm",,-,1,1,-,-,1,1,-,-,1,1,-,6.0
"Rowell, Matt",3,-,2,1,1,1,1,-,2,2,2,1,1,17.0
"Sexton, Alex",,-,1,-,-,,1,,,,,,-,2.0
"Swallow, David",2,3,1,3,1,-,-,3,3,2,3,1,-,22.0
"Tsitas, James",,,,,,,,-,-,,,,,
"Uwland, Bodhi",5,1,,,,,,,,,,1,,7.0
"Weller, Lachie",,2,-,1,-,2,3,,,,,,,8.0
"Witts, Jarrod",2,2,4,,,1,2,3,3,2,3,9,3,34.0
Totals,60,45,49,61,41,34,38,39,63,38,54,54,51,627.0
Opponent,SY,ES,GE,SK,FR,NM,RI,ME,WC,BL,WB,AD,CA,
