Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Anderson, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Atkins, Bert",,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Belcher, Vic",-,-,-,-,-,-,1,-,2,-,-,-,2,-,-,-,1,1,-,7.0
"Bourke, Peter",-,-,,,,,,,,,,,,,,,,,,
"Buist, Teddy",-,,,,,,,,,,,,,,,,,,,
"Callan, Hughie",,,,,,1,-,-,-,-,-,-,-,-,1,2,1,1,-,6.0
"Cameron, Jim",-,3,-,-,-,-,,,,,-,-,-,-,-,-,-,1,-,4.0
"Casey, Dick",2,1,1,-,-,3,1,,1,1,,-,1,3,2,1,4,1,1,23.0
"Curran, Gil",,,,,,,,,,,,,,,,,-,-,,
"Dolphin, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Drane, Horrie",,,,,-,-,-,,,-,-,,-,,,-,-,-,-,
"Franks, Bert",2,1,1,1,-,-,1,-,-,1,-,-,-,2,1,,,,,10.0
"Gent, Billy",-,-,-,,2,-,-,2,-,1,4,-,,-,-,,,,,9.0
"Goddard, Bill",-,,-,1,-,-,-,-,-,-,-,-,,,-,,3,-,,4.0
"Howson, Bert",,,,,1,,,,,,,,,,,,,,,1.0
"Jackson, Johnny",,,1,-,1,-,-,-,,-,,,,,,,,,,2.0
"Kerr, Alex",,,,,,,,,,,,,,,,1,1,4,-,6.0
"Kerr, Bill",,1,1,2,2,-,-,-,-,-,-,-,2,,-,-,,,-,8.0
"Lacey, Jim",,,,,,,,,,,,,,,,-,,,,
"Lampe, Harry",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Main, Jack",,,,,,,,1,,,,,,,,,,,,1.0
"Maine, Lindsay",,-,-,-,-,,-,-,,-,-,-,-,-,,-,-,,,
"McCabe, Dick",,-,-,-,,,,,,,,,,,,,,,,
"Mortimer, Len",2,1,3,1,2,2,1,,-,3,2,3,-,3,2,2,4,4,2,37.0
"Moxham, Billy",-,-,-,-,,,1,-,-,-,,,,-,-,-,,-,-,1.0
"Ricketts, Charlie",-,,,1,1,-,,1,-,,,,-,-,2,-,-,-,-,5.0
"Roach, Wally",-,,,,,,,,,,,,,,,,,,,
"Strang, Bill",-,-,1,-,,,2,1,3,,2,-,1,-,,4,1,-,3,18.0
"Thomas, Bill",-,-,,,-,-,,,,,,,,,,,,,,
"Wade, Ted",-,-,1,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0
"Weate, Les",,-,,,,,,,,,,,,,,,,,,
"Wilson, Harry",,,,,,,,,-,1,-,-,1,-,-,,,,-,2.0
"Wood, Phonse",-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,6,7,9,6,9,6,7,5,6,7,8,3,7,8,8,10,15,12,6,145.0
Opponent,ME,FI,CW,ES,CA,GE,SK,ME,FI,CW,ES,CA,GE,SK,CA,ME,ES,CW,CA,
