Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Beck, Les",,,,,,,,1,-,,,,,,-,-,-,,1,2.0
"Bickford, Albert",,,,,,,,,-,,,,,,,,,,,
"Boyle, Bob",-,,,,,,,,,,,,,,,,,,,
"Bruce, George",-,1,,-,1,-,-,-,-,-,1,-,-,-,-,-,,1,-,4.0
"Caine, Frank",4,5,4,3,1,4,1,2,-,1,2,2,2,-,-,2,1,-,3,37.0
"Clark, Norman",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,
"Elliott, Fred",1,-,-,2,1,-,-,-,2,-,1,-,-,-,1,1,2,-,1,12.0
"Flynn, Jim",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,2,-,-,3.0
"Gibson, Harvey",,,,,,,,,-,,,,,,,,,,,
"Gillespie, Doug",,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Gotz, Martin",-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,
"Grace, Mick",4,3,3,1,4,-,1,4,3,3,1,2,2,1,5,6,2,2,3,50.0
"Grant, Jack",,,,,,,1,,,,,,,,,,,,,1.0
"Grant, Wal",-,,,,,,,,-,,,,,,,,,,,
"Hammond, Charlie",-,-,1,-,-,-,-,,-,-,-,1,-,-,-,1,1,-,1,5.0
"Hammond, Jack",,,,,,,1,-,,,,,,,,,,,,1.0
"Harris, Dick",,,,1,,,,-,1,-,1,-,1,,,-,,,,4.0
"Harry, William",,,,,,,,,,,-,,,,,,,,,
"Hince, Frank",,,1,,,,,,,,,,,,,,,,,1.0
"Ingleman, Alby",,,-,,-,-,,,,,,,,,,-,,,,
"Jinks, Fred",,,,,,,,-,-,-,-,1,-,-,1,-,1,2,1,6.0
"Johnson, George",1,2,2,-,-,-,-,2,,-,2,-,-,-,-,-,-,-,-,9.0
"Johnston, Alex",,-,-,-,-,-,-,,,,,,,,,,,,,
"Kennedy, Andy",,,,,,,,-,,-,,,,,,,,,,
"Kennedy, Jim",-,-,,,,,-,,,,,,,,,,,,,
"Kennedy, Ted",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Lang, Alex",1,1,-,-,2,1,-,-,-,2,1,1,-,2,1,,-,-,-,12.0
"Little, Ike",,,,,,,,,,-,1,-,,1,1,,1,-,1,5.0
"Marchbank, Jim",,,,,,,,,,,,,,-,-,-,-,1,1,2.0
"McGregor, Rod",-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,4.0
"Meadway, Barney",,,,,,,,,,,,,-,,,,,,,
"Payne, Billy",-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,
"Snell, Archie",-,1,-,1,-,1,-,-,-,-,-,-,,,,,,,,3.0
"Topping, George",1,2,3,-,1,1,-,-,,2,,-,-,5,1,2,2,2,3,25.0
Totals,12,15,16,8,10,7,4,9,6,8,11,7,5,10,10,13,12,9,15,187.0
Opponent,ME,SK,GE,CW,SM,FI,ES,ME,SK,GE,CW,SM,FI,ES,ES,GE,SM,CW,FI,
