Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Baldwin, Kaine",,,,,,,,,4,5,,,,9.0
"Bryan, Nick",,,,,,,,,,,3,,,3.0
"Caldwell, Jye",7,8,11,5,4,16,13,9,7,14,16,6,15,131.0
"DAmbrosio, Massimo",,5,10,,,,6,,3,3,4,-,-,31.0
"Davey, Alwyn",2,5,5,6,,3,,6,2,1,,,,30.0
"Draper, Sam",1,4,4,6,5,4,4,5,3,4,4,4,1,49.0
"Durham, Sam",7,12,7,8,18,4,7,,4,10,8,9,8,102.0
"Guelfi, Matt",,2,,,,,,,,,4,7,9,22.0
"Heppell, Dyson",8,7,10,10,7,9,,8,9,5,10,6,12,101.0
"Hind, Nick",,,3,,2,,6,4,6,5,4,5,2,37.0
"Hobbs, Ben",,,,,,3,5,8,10,16,5,8,9,64.0
"Jones, Harry",6,1,5,4,-,,,,,,,,,16.0
"Kelly, Jake",8,5,14,9,6,4,2,4,,,,,,52.0
"Langford, Kyle",5,2,4,4,7,7,4,5,1,7,5,4,5,60.0
"Laverde, Jayden",11,5,6,3,5,3,,,,,3,4,4,44.0
"Martin, Nic",10,7,9,11,6,9,10,11,7,11,9,7,15,122.0
"McDonald-Tipungwuti, Anthony",1,,,,,,1,7,4,5,3,,,21.0
"McGrath, Andrew",13,12,12,11,10,8,12,4,7,11,12,5,9,126.0
"Menzie, Jye",5,2,4,10,4,6,,2,4,3,3,4,5,52.0
"Merrett, Zach",15,15,12,10,17,,7,12,11,12,19,15,5,150.0
"Parish, Darcy",15,14,18,12,16,17,24,24,,,,,,140.0
"Perkins, Archie",3,3,3,4,6,3,7,5,-,1,2,7,10,54.0
"Phillips, Andrew",1,3,,1,3,3,3,3,6,-,,5,3,31.0
"Redman, Mason",2,5,5,11,2,5,4,7,6,6,8,4,8,73.0
"Ridley, Jordan",4,5,4,3,4,2,4,2,,11,10,6,3,58.0
"Setterfield, Will",13,11,9,10,8,12,12,6,5,,,,,86.0
"Shiel, Dylan",11,15,7,13,12,11,14,12,11,,,8,,114.0
"Snelling, Will",,,,,6,7,3,,,5,5,8,7,41.0
"Stringer, Jake",,,3,1,4,6,9,10,4,4,5,7,8,61.0
"Weideman, Sam",4,,5,3,,4,5,3,3,3,5,1,9,45.0
"Wright, Peter",,,,,,,,,,,,,-,
"Zerk-Thatcher, Brandon",7,6,,3,3,4,4,5,5,8,5,6,2,58.0
Totals,159,154,170,158,155,150,166,162,122,150,152,136,149,1983.0
Opponent,HW,GC,SK,GW,ME,CW,GE,PA,BL,RI,WC,NM,CA,
