Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,Tot
"Atkins, Tom",2,-,2,1,-,1,1,1,-,-,-,1,1,10.0
"Bews, Jed",2,1,2,1,,,1,-,2,1,1,4,1,16.0
"Blicavs, Mark",-,1,-,-,1,1,1,1,-,-,-,-,1,6.0
"Bowes, Jack",,6,1,-,1,3,1,,,,,,1,13.0
"Bruhn, Tanner",1,-,1,,,,-,1,2,-,1,1,2,9.0
"Cameron, Jeremy",-,1,-,1,-,1,-,-,1,-,-,1,-,5.0
"Ceglar, Jonathon",,,-,,,,,-,1,1,1,1,,4.0
"Clark, Jhye",,,,,,,,,2,,,,,2.0
"Close, Brad",-,-,-,-,-,-,-,-,,-,-,1,-,1.0
"Dangerfield, Patrick",-,-,2,2,-,-,-,1,,,,,1,6.0
"De Koning, Sam",-,4,1,,2,1,2,,,,1,3,1,15.0
"Dempsey, Oliver",,,,,,,,-,-,-,,,,
"Duncan, Mitch",,,,7,4,3,2,5,-,,,,7,28.0
"Guthrie, Cameron",2,1,3,1,2,-,,,,,,,,9.0
"Guthrie, Zach",3,1,1,2,3,2,2,2,3,3,4,5,6,37.0
"Hawkins, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henry, Jack",,,,,,,,,,-,2,2,2,6.0
"Henry, Oliver",1,-,2,-,-,-,-,-,-,,1,-,-,4.0
"Holmes, Max",1,2,-,-,-,3,1,1,2,1,,,2,13.0
"Knevitt, Mitch",,,,,,1,1,1,2,2,3,2,,12.0
"Kolodjashnij, Jake",,,,1,2,2,3,2,2,2,1,1,1,17.0
"Miers, Gryan",-,1,2,1,-,1,-,-,1,-,1,1,-,8.0
"Mullin, Oisin",,,,,,,,,,,2,-,,2.0
"OConnor, Mark",4,3,3,1,-,3,-,3,4,3,1,-,2,27.0
"Parfitt, Brandan",-,,,,2,,,,-,-,1,,,3.0
"Ratugolea, Esava",5,2,2,4,4,1,1,5,3,1,2,,,30.0
"Rohan, Gary",-,1,1,-,,-,-,,,,,-,1,3.0
"Simpson, Sam",,,,,,-,-,-,-,-,,-,,
"Smith, Isaac",6,5,2,-,3,1,1,5,2,3,5,2,2,37.0
"Stanley, Rhys",4,2,,2,-,,,,,,,,,8.0
"Stengle, Tyson",-,-,1,-,-,,,,,-,-,-,-,1.0
"Stewart, Tom",3,,8,7,8,7,13,4,8,4,7,9,4,82.0
"Tuohy, Zach",9,3,5,1,3,3,,2,5,6,4,6,7,54.0
"Whyte, Cooper",,-,,,,,,,,,,,,
Totals,43,34,39,32,35,34,30,34,40,27,38,40,42,468.0
Opponent,CW,CA,GC,HW,WC,SY,ES,AD,RI,FR,GW,WB,PA,
