Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,Tot
"Atkins, Tom",-,-,1,2,1,2,2,-,2,1,3,1,-,15.0
"Bews, Jed",1,1,-,1,,,2,1,1,3,3,1,1,15.0
"Blicavs, Mark",1,3,3,2,2,2,2,-,6,2,1,3,3,30.0
"Bowes, Jack",,1,1,2,3,2,1,,,,,,-,10.0
"Bruhn, Tanner",1,2,-,,,,-,1,1,-,-,-,-,5.0
"Cameron, Jeremy",1,2,2,1,2,2,2,1,2,2,1,1,3,22.0
"Ceglar, Jonathon",,,3,,,,,4,4,5,2,1,,19.0
"Clark, Jhye",,,,,,,,,-,,,,,
"Close, Brad",2,1,-,2,1,2,-,-,,1,1,-,2,12.0
"Dangerfield, Patrick",3,1,-,2,-,-,2,1,,,,,-,9.0
"De Koning, Sam",4,5,3,,6,1,-,,,,1,4,8,32.0
"Dempsey, Oliver",,,,,,,,-,1,-,,,,1.0
"Duncan, Mitch",,,,3,1,1,5,1,-,,,,1,12.0
"Guthrie, Cameron",3,1,3,1,1,-,,,,,,,,9.0
"Guthrie, Zach",4,1,2,2,1,3,-,4,5,4,3,1,1,31.0
"Hawkins, Tom",-,1,1,1,2,-,-,-,1,-,-,-,-,6.0
"Henry, Jack",,,,,,,,,,2,7,7,7,23.0
"Henry, Oliver",-,-,-,-,2,2,1,-,2,,4,1,1,13.0
"Holmes, Max",2,2,1,3,1,-,-,1,-,1,,,1,12.0
"Knevitt, Mitch",,,,,,-,1,2,1,-,-,-,,4.0
"Kolodjashnij, Jake",,,,5,5,2,4,7,-,8,5,2,1,39.0
"Miers, Gryan",2,-,1,2,-,1,1,-,2,1,-,-,-,10.0
"Mullin, Oisin",,,,,,,,,,,1,1,,2.0
"OConnor, Mark",1,-,3,3,-,2,4,4,1,3,1,2,-,24.0
"Parfitt, Brandan",-,,,,-,,,,2,-,-,,,2.0
"Ratugolea, Esava",11,8,5,7,5,4,12,7,8,7,5,,,79.0
"Rohan, Gary",1,1,1,3,,1,-,,,,,1,2,10.0
"Simpson, Sam",,,,,,1,1,-,1,-,,-,,3.0
"Smith, Isaac",1,-,-,-,-,2,1,1,-,-,3,-,-,8.0
"Stanley, Rhys",3,3,,9,3,,,,,,,,,18.0
"Stengle, Tyson",1,-,1,-,1,,,,,-,1,1,-,5.0
"Stewart, Tom",1,,2,1,4,2,4,4,2,-,4,5,1,30.0
"Tuohy, Zach",-,1,-,2,-,2,,1,-,1,-,-,-,7.0
"Whyte, Cooper",,-,,,,,,,,,,,,
Totals,43,34,33,54,41,34,45,40,42,41,46,32,32,517.0
Opponent,CW,CA,GC,HW,WC,SY,ES,AD,RI,FR,GW,WB,PA,
