Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Alvin, Tom",5,10,15,16,13,7,8,11,5,10,12,15,16,12,13,24,17,12,17,-,,15,,4,16,273.0
"Ashman, Rodney",16,13,13,12,15,10,17,5,,,,,,,9,,,,,,,,,,,110.0
"Baynes, Rhett",,,,,,,,,,,,,,,,,,,,2,5,,,,,7.0
"Blackwell, Wayne",17,20,15,13,14,7,21,15,17,24,8,16,21,19,9,14,,,18,21,13,16,13,,10,341.0
"Bradley, Craig",9,21,19,18,15,11,18,15,16,10,18,15,23,20,9,13,8,15,14,20,15,20,24,14,6,386.0
"Buckley, Jim",,,,,,,,,,,9,7,8,4,17,,,,,11,,,,,,56.0
"Burke, Rohan",,9,18,5,5,,,,,,15,,,,,,,,,,,,,,,52.0
"Dean, Peter",8,8,11,7,8,12,13,5,5,8,,4,1,2,5,8,5,8,1,7,4,8,7,14,8,167.0
"Dorotich, Jon",7,5,5,7,10,11,13,8,10,7,9,9,9,9,,8,5,13,13,,,14,15,5,8,200.0
"Doull, Bruce",8,3,8,5,9,13,5,7,6,5,7,5,9,15,6,6,8,4,6,4,5,9,11,5,5,174.0
"English, Des",13,,8,,,,,,,,,,,,,,,,,8,15,8,11,15,9,87.0
"Evans, Bernie",-,,,,,,,,,15,13,11,27,16,15,12,,10,9,17,12,8,16,17,8,206.0
"Glascott, David",,,,,,,,,,,,14,21,11,13,12,10,9,14,12,10,6,7,15,15,169.0
"Gleeson, Adrian",,,,,,,10,4,6,,,,,,,,,,,,,,,,,20.0
"Hanna, Mil",1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Harmes, Wayne",,,,,,,13,12,15,11,14,9,8,5,23,8,11,10,11,15,13,15,12,16,10,231.0
"Hunter, Ken",16,,,,9,14,14,15,20,10,,,,,,,,15,5,1,,,8,,10,137.0
"Johnston, Wayne",14,,,17,23,20,12,16,13,17,17,14,,19,-,5,18,18,18,19,22,,16,22,9,329.0
"Kennedy, Michael",,,,,,,,,,1,,,,,,,,,,,8,2,,,,11.0
"Kenny, Peter",8,8,10,9,1,,,,,4,6,9,4,,,4,-,,,,,,,,,63.0
"Kernahan, Stephen",11,12,4,8,2,10,9,6,7,12,8,7,15,6,8,10,9,14,10,11,12,7,13,15,7,233.0
"Kourkoumelis, Spiro",,6,9,9,6,1,,,,,,,,,,,,,,,,,,,,31.0
"Maclure, Mark",10,15,15,9,7,12,8,,7,9,8,6,7,15,4,13,10,,6,,,,2,7,7,177.0
"Madden, Justin",13,10,14,14,7,8,7,9,8,17,11,7,9,6,8,7,11,11,3,5,,12,6,6,4,213.0
"Marcou, Alex",,,,,,,3,12,7,12,16,,,,,,,,,,,,,,,50.0
"McKenzie, Warren",,,,,,,,6,-,6,1,,,,,,,,,,9,5,,3,3,33.0
"Meldrum, Paul",11,16,7,18,16,11,15,10,9,14,15,8,11,14,9,9,8,15,16,6,12,14,9,5,7,285.0
"Motley, Peter",,4,,4,7,1,,,,,,,,,,13,20,18,23,7,18,12,,16,13,156.0
"Murphy, Fraser",,1,5,,,2,,,4,,,,8,12,8,9,9,-,,,-,,,12,,70.0
"Ogier, Darren",,,,,,,,,,,,,,8,5,,,,,,,,,,,13.0
"Ralph, Warren",,,,,,,5,4,,,,,,,,,,,,,15,12,2,,,38.0
"Rhys-Jones, David",12,,,,,,,4,10,,10,,11,13,13,6,9,9,8,6,11,7,12,15,10,166.0
"Robertson, Shane",,11,18,2,,15,9,,8,14,9,3,7,,,20,15,9,12,7,,,7,9,6,181.0
"Rohde, Peter",12,8,14,17,11,9,14,17,10,15,18,11,15,14,11,,,11,3,,14,,7,,,231.0
"Sheldon, Ken",,,,,,,,,,,,8,,,,,9,,,,,17,,,,34.0
"Shine, Brad",14,13,6,8,8,9,2,4,,,,,,,,,,,,,,,,,,64.0
"Silvagni, Stephen",,,,,,,,,,,,9,6,6,7,6,6,6,11,6,2,11,7,4,,87.0
"Strauch, Dean",,,,,,,,,,,,,,,,,11,-,,,,,,,,11.0
"Williams, Mark",,6,7,8,4,4,,,,,,,,,,,,,,,,,,,,29.0
Totals,205,199,221,206,190,187,216,185,183,221,224,187,236,226,192,207,199,207,218,185,215,218,205,219,171,5122.0
Opponent,HW,RI,SK,FI,ES,SY,CW,GE,FO,ME,NM,HW,RI,SK,FI,NM,ES,SY,CW,GE,FO,ME,SY,HW,HW,
