Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Alvin, Tom",1,4,2,-,2,1,-,1,1,2,2,2,2,4,-,4,1,2,3,-,,2,,-,1,37.0
"Ashman, Rodney",3,1,3,4,4,1,3,1,,,,,,,-,,,,,,,,,,,20.0
"Baynes, Rhett",,,,,,,,,,,,,,,,,,,,-,3,,,,,3.0
"Blackwell, Wayne",3,-,2,3,-,2,1,1,2,4,-,-,1,1,-,2,,,2,-,1,1,2,,2,30.0
"Bradley, Craig",1,5,1,1,2,2,2,2,-,-,4,-,2,1,2,2,-,-,-,1,2,7,-,-,1,38.0
"Buckley, Jim",,,,,,,,,,,1,2,3,-,2,,,,,1,,,,,,9.0
"Burke, Rohan",,2,4,-,2,,,,,,2,,,,,,,,,,,,,,,10.0
"Dean, Peter",-,-,3,-,1,1,2,1,3,1,,1,1,-,2,1,-,-,-,1,4,4,1,1,1,29.0
"Dorotich, Jon",2,5,2,1,1,1,-,1,1,1,1,2,1,1,,2,-,3,2,,,4,-,2,3,36.0
"Doull, Bruce",1,-,4,-,-,3,1,1,-,2,1,-,1,3,-,-,1,1,-,1,1,1,1,1,-,24.0
"English, Des",5,,1,,,,,,,,,,,,,,,,,1,2,1,1,1,3,15.0
"Evans, Bernie",-,,,,,,,,,-,2,-,1,1,1,1,,1,2,2,1,1,1,1,3,18.0
"Glascott, David",,,,,,,,,,,,1,1,1,-,3,-,-,1,1,-,4,-,1,-,13.0
"Gleeson, Adrian",,,,,,,2,3,1,,,,,,,,,,,,,,,,,6.0
"Hanna, Mil",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Harmes, Wayne",,,,,,,1,1,3,-,2,-,-,-,-,2,-,-,-,-,1,1,-,1,2,14.0
"Hunter, Ken",4,,,,-,2,2,-,-,1,,,,,,,,3,-,-,,,-,,1,13.0
"Johnston, Wayne",3,,,3,3,3,1,2,1,2,3,1,,1,-,2,-,4,2,1,-,,2,-,2,36.0
"Kennedy, Michael",,,,,,,,,,-,,,,,,,,,,,1,-,,,,1.0
"Kenny, Peter",3,-,2,-,1,,,,,-,2,1,3,,,2,-,,,,,,,,,14.0
"Kernahan, Stephen",2,1,2,7,2,4,2,3,-,1,1,1,2,2,3,-,5,2,3,2,-,3,5,4,1,58.0
"Kourkoumelis, Spiro",,-,5,1,3,-,,,,,,,,,,,,,,,,,,,,9.0
"Maclure, Mark",7,4,1,2,1,3,2,,2,1,2,1,3,5,1,1,1,,1,,,,-,2,-,40.0
"Madden, Justin",3,2,4,2,2,2,5,2,2,1,1,2,-,2,2,3,3,3,4,1,,2,1,1,1,51.0
"Marcou, Alex",,,,,,,-,1,2,2,1,,,,,,,,,,,,,,,6.0
"McKenzie, Warren",,,,,,,,-,-,3,-,,,,,,,,,,-,-,,-,-,3.0
"Meldrum, Paul",3,1,2,1,1,1,1,1,-,1,1,3,2,2,-,-,-,3,3,1,1,4,4,1,1,38.0
"Motley, Peter",,-,,-,1,1,,,,,,,,,,2,1,1,2,1,1,2,,1,2,15.0
"Murphy, Fraser",,1,2,,,-,,,1,,,,1,2,1,1,2,1,,,-,,,1,,13.0
"Ogier, Darren",,,,,,,,,,,,,,2,3,,,,,,,,,,,5.0
"Ralph, Warren",,,,,,,-,-,,,,,,,,,,,,,1,2,-,,,3.0
"Rhys-Jones, David",5,,,,,,,3,4,,-,,4,1,3,1,2,2,-,1,2,3,-,2,2,35.0
"Robertson, Shane",,4,-,-,,2,4,,-,-,2,-,-,,,2,-,2,1,1,,,-,1,-,19.0
"Rohde, Peter",2,2,-,2,-,1,-,1,4,-,-,1,1,-,2,,,2,-,,1,,2,,,21.0
"Sheldon, Ken",,,,,,,,,,,,-,,,,,-,,,,,4,,,,4.0
"Shine, Brad",3,4,2,-,-,-,-,-,,,,,,,,,,,,,,,,,,9.0
"Silvagni, Stephen",,,,,,,,,,,,1,2,-,3,-,1,1,1,2,-,-,1,1,,13.0
"Strauch, Dean",,,,,,,,,,,,,,,,,1,-,,,,,,,,1.0
"Williams, Mark",,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,6.0
Totals,51,37,43,28,28,31,29,25,27,22,28,19,31,29,25,31,18,31,27,18,22,46,21,22,26,715.0
Opponent,HW,RI,SK,FI,ES,SY,CW,GE,FO,ME,NM,HW,RI,SK,FI,NM,ES,SY,CW,GE,FO,ME,SY,HW,HW,
