Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Alvin, Tom",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,1.0
"Ashman, Rodney",-,-,-,-,-,-,-,-,,,,,,,-,,,,,,,,,,,
"Baynes, Rhett",,,,,,,,,,,,,,,,,,,,4,19,,,,,23.0
"Blackwell, Wayne",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,,-,
"Bradley, Craig",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Buckley, Jim",,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,
"Burke, Rohan",,-,-,-,-,,,,,,-,,,,,,,,,,,,,,,
"Dean, Peter",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dorotich, Jon",-,-,-,-,-,2,-,-,-,1,-,-,-,-,,-,-,-,-,,,-,-,-,-,3.0
"Doull, Bruce",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"English, Des",-,,-,,,,,,,,,,,,,,,,,-,1,-,-,-,-,1.0
"Evans, Bernie",-,,,,,,,,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Glascott, David",,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gleeson, Adrian",,,,,,,-,-,-,,,,,,,,,,,,,,,,,
"Hanna, Mil",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Harmes, Wayne",,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hunter, Ken",-,,,,-,-,-,-,-,-,,,,,,,,-,-,-,,,-,,-,
"Johnston, Wayne",-,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,
"Kennedy, Michael",,,,,,,,,,-,,,,,,,,,,,-,-,,,,
"Kenny, Peter",-,-,-,-,-,,,,,-,-,-,-,,,-,-,,,,,,,,,
"Kernahan, Stephen",6,1,-,6,2,5,4,1,3,1,3,3,2,3,3,5,1,1,1,2,-,-,3,2,2,60.0
"Kourkoumelis, Spiro",,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Maclure, Mark",1,-,1,1,-,-,-,,1,1,2,-,3,-,-,1,-,,-,,,,1,-,1,13.0
"Madden, Justin",16,23,21,36,21,21,18,18,12,21,20,17,12,19,22,21,15,15,17,15,,12,25,22,38,477.0
"Marcou, Alex",,,,,,,-,-,-,-,-,,,,,,,,,,,,,,,
"McKenzie, Warren",,,,,,,,-,-,4,-,,,,,,,,,,-,6,,1,-,11.0
"Meldrum, Paul",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Motley, Peter",,-,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,,-,-,
"Murphy, Fraser",,-,-,,,-,,,-,,,,-,-,-,-,-,-,,,-,,,-,,
"Ogier, Darren",,,,,,,,,,,,,,-,-,,,,,,,,,,,
"Ralph, Warren",,,,,,,-,-,,,,,,,,,,,,,-,-,-,,,
"Rhys-Jones, David",-,,,,,,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Robertson, Shane",,-,-,-,,-,-,,-,-,-,-,-,,,-,-,-,-,-,,,-,-,-,
"Rohde, Peter",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,1,-,,-,,-,,,1.0
"Sheldon, Ken",,,,,,,,,,,,-,,,,,-,,,,,-,,,,
"Shine, Brad",-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
"Silvagni, Stephen",,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Strauch, Dean",,,,,,,,,,,,,,,,,-,-,,,,,,,,
"Williams, Mark",,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,1.0
Totals,23,25,22,44,23,28,22,19,16,28,25,20,17,22,25,27,16,17,18,21,20,18,29,25,41,591.0
Opponent,HW,RI,SK,FI,ES,SY,CW,GE,FO,ME,NM,HW,RI,SK,FI,NM,ES,SY,CW,GE,FO,ME,SY,HW,HW,
