Player,R1,R2,R3,R4,R5,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R22,Tot
"Aitken, Ian",,,,,,,-,2,,,,,,,,-,,,1,-,3.0
"Anderson, Dean",1,,-,2,5,1,1,1,1,4,1,-,1,2,-,-,-,2,1,-,23.0
"Arceri, Mark",3,2,-,-,,-,,,,,,,,,,,,,,,5.0
"Atkinson, Brodie",,,,,,,,,,2,3,,,,,,,,,,5.0
"Bingham, Lawrence",1,1,2,-,1,-,-,1,1,2,2,2,-,1,,,,,,,14.0
"Bourke, Darren",1,-,2,2,2,1,3,-,1,,,,,,,3,3,-,4,5,27.0
"Bowey, Brett",,1,1,1,1,2,-,,1,,,,,-,,,,-,,,7.0
"Burke, Nathan",1,3,2,2,-,-,1,-,1,2,1,1,1,2,-,-,-,2,-,3,22.0
"Capsalis, Leigh",,,,,,,,,,,,,,,,,-,,,,
"Devonport, Craig",2,1,1,-,1,1,,2,4,-,2,-,5,-,,,,,-,-,19.0
"Dwyer, Mick",,,,,1,,-,,,,,,,1,-,3,-,-,1,-,6.0
"Everitt, Peter",-,2,-,1,-,-,,,,,,,,1,3,-,1,5,2,2,17.0
"Fode, Gordon",,-,-,1,-,,2,1,,,,1,-,,1,2,2,,,,10.0
"Frawley, Danny",3,2,-,-,-,1,1,1,2,3,1,,-,4,1,,3,2,3,2,29.0
"Georgiou, John",,,,,,,,,1,3,,,,,,,,,,,4.0
"Grant, David",,,,,,,,,,-,-,2,3,1,-,,,1,1,1,9.0
"Greig, Dean",,1,3,1,,,,,,-,-,1,1,,,,,,,,7.0
"Hanson, Nick",,,,,,,-,,,,,,,,,,,,,,
"Harvey, Robert",1,1,1,-,,,-,,1,-,1,-,1,3,1,1,1,2,1,4,19.0
"Heppell, Martin",,,,,,,,,,,,,,1,-,-,,,,,1.0
"Hollow, Chris",1,,,,,,,,,,,2,-,-,1,4,2,-,2,1,13.0
"Lockett, Tony",,,1,,,-,3,-,-,1,1,1,-,-,,,,,,,7.0
"Loewe, Stewart",3,1,2,3,-,3,2,2,5,2,4,-,6,2,2,3,4,3,4,3,54.0
"McAdam, Gilbert",-,1,-,1,-,1,-,1,1,,-,,,,1,3,1,3,2,-,15.0
"Morris, Russell",3,2,1,1,1,3,,3,4,3,2,3,2,,7,3,1,2,1,2,44.0
"Newport, Stephen",,,,,,1,,,,,,,,,,,,,,,1.0
"OBrien, Craig",,2,,,4,5,1,1,,,,,,1,1,-,3,2,2,1,23.0
"Peckett, Justin",2,-,2,1,1,1,2,1,3,2,-,-,,,-,-,1,-,-,-,16.0
"Pekin, Tim",2,-,,,2,,,-,3,1,2,1,2,-,-,-,-,-,1,-,14.0
"Ralphsmith, Sean",-,1,1,-,1,1,,,,,,,,,,,,,,,4.0
"Rice, Dean",,,,1,-,1,-,-,-,2,1,-,3,1,,,,,,,9.0
"Shanahan, Jamie",1,3,1,2,3,1,-,1,-,1,-,1,2,-,-,1,-,1,1,-,19.0
"Shaw, Damen",,,,,,,,,,-,4,1,3,2,-,1,4,-,2,5,22.0
"Taylor, Kain",4,,,,1,,,,,,,1,3,3,1,2,3,2,,5,25.0
"Vidovic, Lazar",,,,,,,,2,2,,,,,,,,,,,,4.0
"Winmar, Nicky",1,2,6,4,,,-,4,2,2,-,3,3,,-,-,1,4,1,,33.0
"Wittman, Chris",-,,,,,-,1,-,3,1,4,1,2,,,,,,,,12.0
Totals,30,26,26,23,24,23,17,23,36,31,29,21,38,25,19,26,30,31,30,34,542.0
Opponent,GE,NM,SY,CW,CA,RI,ES,FO,WC,BB,HW,FI,ME,AD,GE,NM,SY,CW,CA,RI,
