Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Bergman, Miller",86,76,80,,,,,84,75,75,86,73,53,27,71.3/876:08
"Bonar, Aiden",85,,,88,,,,,,,,,,,86.5/220:57
"Coleman-Jones, Callum",,,,,,,43,,,90,85,78,82,61,72.9/552:35
"Comben, Charlie",81,84,80,83,89,86,8,,,,,,,,72.4/630:06
"Corr, Aidan",,84,91,96,88,84,91,88,94,,,,25,88,83.0/1019:20
"Cunnington, Ben",75,68,72,46,74,71,74,53,,,,,,,66.8/654:12
"Curtis, Paul",78,36,74,70,,77,71,68,73,72,28,,75,84,67.3/996:28
"Davies-Uniacke, Luke",87,86,,87,84,69,,88,75,,,,,,82.2/709:39
"Drury, Blake",,,,,,,,70,78,41,,,,,62.6/230:53
"Ford, Eddie",,,,,,,,,,64,70,80,76,77,73.4/459:47
"Goater, Josh",81,78,74,,,,,,,,,,,,77.8/284:17
"Goldstein, Todd",,81,86,90,84,84,84,85,90,90,81,86,79,89,85.4/1371:44
"Greenwood, Hugh",76,72,53,30,39,,,,75,80,84,41,,86,63.7/795:28
"Hall, Aaron",,,,,,78,83,,,87,80,83,84,,82.6/621:00
"Howe, Daniel",,49,75,75,86,81,74,,,34,87,,,,69.9/694:18
"Larkey, Nick",95,96,100,87,89,87,96,94,100,100,98,97,100,94,95.2/1650:17
"Lazzaro, Charlie",,,,,,,,25,,,68,,,,47.6/110:03
"Logue, Griffin",96,95,97,,96,85,92,86,93,94,94,100,87,97,93.3/1499:04
"Mahony, Jack",,,,,,,,72,57,,,,,,63.9/152:05
"McDonald, Luke",89,90,93,94,87,92,91,88,91,86,87,88,88,79,88.8/1539:37
"McKay, Ben",,,,,81,90,98,94,94,97,96,96,97,95,93.8/1164:25
"Perez, Flynn",,,,,,,,83,44,,,,,,61.9/147:25
"Phillips, Will",53,,76,73,75,39,,,,77,67,75,82,75,69.2/859:57
"Powell, Tom",78,72,76,74,72,88,66,,,79,82,63,83,81,76.1/1137:24
"Scott, Bailey",84,81,78,83,86,82,87,77,89,89,83,91,80,84,84.0/1456:07
"Sheezel, Harry",86,91,81,84,89,83,83,79,86,90,78,82,79,91,84.5/1465:06
"Shiels, Liam",84,83,79,77,82,38,80,75,75,77,,84,90,80,77.3/1246:58
"Simpkin, Jy",86,82,,90,28,,85,80,89,90,84,22,,90,75.1/1033:43
"Spicer, Phoenix",,,,,,,,,58,64,47,74,61,52,59.4/448:03
"Stephenson, Jaidyn",66,75,80,77,73,79,83,74,88,80,76,86,78,82,78.4/1359:20
"Taylor, Curtis",84,85,85,77,82,86,83,88,90,,,,,,84.4/935:52
"Thomas, Tarryn",,,,,,,,,,,,79,79,81,79.7/298:21
"Tucker, Darcy",,,26,79,82,80,85,79,10,,,82,82,,67.3/744:25
"Turner, Kayne",69,71,77,72,73,81,75,,,,,,,,73.9/643:10
"Wardlaw, George",,,,,,,,,,63,66,70,70,59,65.6/410:58
"Xerri, Tristan",15,,,,,,,,,,,,,,15.0/19:07
"Ziebell, Jack",84,83,83,82,77,82,77,84,89,84,86,83,84,64,81.5/1413:04
"Zurhaar, Cameron",81,80,82,87,84,80,91,85,88,,86,88,86,84,84.8/1361:36
Totals,,,,,,,,,,,,,,,
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,
