Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Ayres, Gary",20,10,20,15,10,,,,,,,21,12,7,9,21,20,16,14,23,4,,20,22,20,284.0
"Bennett, Andy",,,,,,,,,,11,13,,,,,,,,,,,,,,,24.0
"Brereton, Dermott",17,6,21,16,,,14,8,11,,,,,,,13,11,9,10,12,20,20,6,17,17,228.0
"Buckenara, Gary",22,16,19,15,15,15,19,,,17,21,26,16,9,14,21,29,20,12,12,9,,,13,1,341.0
"Byrne, Michael",15,7,9,8,,22,,,10,9,,,,,,,,,,7,8,8,7,,9,119.0
"Considine, Paul",,,,,,,9,,,13,,9,,,,,,,,,,,,,,31.0
"Curran, Peter",,,,,14,9,,,,,3,,,,,,,,,,,,,,,26.0
"DiPierdomenico, Robert",,,,,21,29,19,18,,,,,11,25,18,23,13,17,20,12,27,8,2,19,12,294.0
"Eade, Rodney",21,16,31,10,,17,22,18,7,,15,26,15,19,27,,22,18,12,20,16,31,11,29,26,429.0
"Flintoff, David",,,,,,,,,,,,,,2,,,,,,,,,,,,2.0
"Fowler, Grant",,,,,,,,,,,,,,,,,,,2,,,,,,,2.0
"Greene, Russell",15,16,20,18,32,22,21,22,24,27,23,24,21,22,14,29,25,22,20,26,30,26,24,28,22,573.0
"Howard, Glenn",,,,,,,,,12,,,,,,,,,,,,,,,,,12.0
"Judge, Ken",13,13,23,5,,,3,,,17,14,15,9,5,12,15,7,,,,13,15,10,3,14,206.0
"Kennedy, John",24,15,20,21,24,26,16,21,18,26,22,,18,12,13,19,14,17,10,14,21,23,14,24,30,462.0
"Knights, Peter",,,,,23,23,16,17,24,15,13,24,21,24,20,16,14,13,19,18,21,14,23,11,18,387.0
"Langford, Chris",,,,,,,,,,20,11,19,17,20,17,8,20,15,12,12,,,,,,171.0
"Loveridge, Richard",14,19,26,7,,32,22,19,23,33,18,7,,,,,,22,,,,24,18,34,22,340.0
"Matthews, Leigh",,14,24,18,29,,11,25,24,20,39,23,21,20,15,14,16,19,21,24,22,,13,14,16,442.0
"McCarthy, Michael",,,,,6,,5,5,,,16,14,8,13,9,14,7,6,7,,,18,8,11,16,163.0
"Mew, Chris",16,13,17,16,15,12,10,10,14,17,21,17,20,13,18,23,28,16,10,15,22,26,13,19,16,417.0
"Moncrieff, Michael",10,5,12,7,4,8,,17,11,9,,-,1,,,,,,,2,,,,,,86.0
"Moore, Kelvin",25,11,8,15,9,13,18,12,8,20,18,14,11,9,10,13,19,10,11,,,14,,,,268.0
"OHalloran, David",14,18,16,7,,,9,11,17,3,14,,,,,,,,,15,20,16,17,10,14,201.0
"Paton, Ian",14,7,13,11,11,8,17,14,4,,,17,19,11,10,19,17,18,15,11,23,9,17,18,15,318.0
"Polkinghorne, David",,,,,11,17,13,18,18,17,15,18,14,5,3,26,5,2,15,24,10,17,15,1,,264.0
"Robertson, Colin",6,15,10,27,13,2,,,,,,,,,2,19,24,17,31,33,18,33,22,23,29,324.0
"Russo, Peter",16,26,11,13,20,22,17,,,,,,,,,,,,,,,,,,,125.0
"Schwab, Peter",16,16,9,11,22,25,12,5,9,23,17,25,30,15,14,4,15,-,14,25,22,25,21,20,21,416.0
"Shields, Russell",,,,,9,24,,9,19,24,7,20,21,16,16,9,,23,8,16,20,23,,,,264.0
"Tuck, Michael",19,34,20,21,24,,,25,23,19,21,23,29,23,20,27,4,,,,31,16,22,20,27,448.0
"Turner, Mark",,,,,,,,16,17,,,,,,,,,,,,,,,,,33.0
"Wade, Scott",2,,,,,19,,,,,,,,,,,,,,,,,,,,21.0
"Wallace, Terry",24,25,29,22,25,41,26,32,42,31,25,32,36,28,30,30,33,26,36,31,44,34,24,27,32,765.0
Totals,323,302,358,283,337,386,299,322,335,371,346,374,350,298,291,363,343,306,299,352,401,400,307,363,377,8486.0
Opponent,FI,SY,SK,FO,CW,RI,NM,ES,CA,ME,GE,FI,SY,SK,FO,CW,RI,NM,ES,CA,ME,GE,FI,NM,ES,
