Player,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,SF,GF,Tot
"Baker, Edward",-,-,2,-,1,-,1,-,1,-,1,1,-,1,-,-,-,1,9.0
"Baker, Reg",,,,,,,,,,,-,,,,,,,,
"Brown, Charlie",-,,,,,-,-,-,-,-,-,,,,-,-,-,-,
"Buck, Bill",-,-,-,-,-,-,-,-,-,,-,,,,,,,,
"Chesswas, Harry",,,,,,,,,,,,-,-,1,-,4,-,-,5.0
"Cock, Eric",,,-,,2,2,2,2,-,-,2,,,,,,,-,10.0
"Coventry, Gordon",3,4,4,3,7,3,2,1,-,1,-,3,1,3,3,-,1,3,42.0
"Coventry, Syd",-,2,-,2,-,1,-,1,1,1,-,-,1,1,1,1,-,2,14.0
"Curtis, Harry",,,-,1,,1,-,1,-,-,,-,1,-,3,1,-,,8.0
"Drummond, Tom",-,-,-,-,-,-,-,-,-,,,,,,,-,-,1,1.0
"Glynn, Bill",-,-,,,-,-,,-,,,,-,-,,,,,,
"Hammond, Tom",,-,,,-,,,,,,,-,-,-,-,-,-,,
"Hannah, Rupe",,,,,,,,-,,-,,-,-,-,-,-,-,,
"Hughes, Les",,,,,,,,,,,,-,,,1,,,,1.0
"Keays, Fred",,-,,,-,,,,,-,,,,,,,,,
"Lee, Dick",,,3,1,6,4,2,2,2,2,4,2,3,4,1,,,2,38.0
"Lingwood-Smith, Hector",,,,,,,,,,1,-,,,,-,,,,1.0
"Murphy, Laurie",-,-,-,-,,,,,-,-,-,-,-,-,,-,1,-,1.0
"Pannam, Charles",-,,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,3.0
"Plant, Frank",-,,,,,,,,,,,,,,,,,,
"Rowe, Percy",,2,-,-,-,-,-,-,2,-,-,-,1,-,1,-,-,-,6.0
"Saunders, Harry",-,-,-,-,-,-,-,-,-,,-,,,,,,,-,
"Sheehy, Maurie",1,,-,3,1,-,-,-,-,1,-,-,-,-,-,-,-,-,6.0
"Smith, Clyde",-,-,-,-,,,,,,,,,-,-,,,,,
"Splatt, Clem",,-,,,,,-,,,,,,,,,,,,
"Tory, George",1,-,,,,,,,,,,,,,,,,,1.0
"Twomey, Bill",,,,,,,,,,,,,-,-,1,-,-,-,1.0
"Tyson, Charles",-,-,-,1,1,1,-,1,-,1,-,1,,-,,-,-,-,6.0
"Utting, Ernest",,1,1,2,,,,,,,,,,,,,,,4.0
"Wall, Charles",-,,,,,,,,,,,,,,,,,,
"Webb, Reynolds",3,-,,2,1,1,-,1,-,1,2,1,1,1,-,-,2,-,16.0
"Wescott, Leo",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Wilson, Ernie",,,-,-,-,-,-,,-,-,1,-,-,-,-,-,1,-,2.0
Totals,8,9,10,15,19,15,7,10,6,8,11,8,8,11,11,6,5,9,176.0
Opponent,RI,SM,CA,SK,GE,FI,ME,ES,RI,SM,CA,SK,GE,FI,ME,ES,FI,FI,
