Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Angus, George",1,-,2,1,1,,,-,-,1,-,-,,1,-,-,1,1,9.0
"Bowden, Bob",,-,,,,,,,,,,,,,,,,,
"Condon, Dick",2,-,1,-,-,,,-,2,-,-,-,-,2,1,,4,-,12.0
"Drohan, Eddie",2,2,1,-,-,1,2,1,1,-,-,-,-,-,1,-,1,-,12.0
"Dummett, Alf",-,-,-,-,3,1,-,-,-,-,,,,-,,-,-,-,4.0
"Fraser, Don",-,-,,,,,,,,,,,,,,-,-,,
"Gaudion, Frank",,,,,1,,-,,,-,,,,,,,,,1.0
"Gibb, Percy",-,,,,-,-,1,-,-,-,-,-,-,,-,,-,-,1.0
"Green, George",,-,-,-,-,-,-,-,-,-,-,1,-,,,,-,,1.0
"Hambridge, Vic",-,-,1,,,-,,,2,-,,,,-,,,,,3.0
"Hay, Johnny",,,,,,,-,,,,,,,,,,,,
"Holland, Alex",,,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,
"Hyman, Oscar",-,-,,-,-,1,2,-,-,-,-,-,,-,-,-,,-,3.0
"Incoll, Jack",,,1,1,,2,,,,,-,-,1,-,1,-,-,-,6.0
"Leach, Arthur",1,-,1,-,3,1,1,1,-,1,1,-,-,1,-,-,2,-,13.0
"Lee, Dick",,,,,,,3,3,1,2,2,2,3,7,4,-,4,4,35.0
"McHale, Jock",1,-,-,-,-,-,-,-,-,-,,,-,-,1,-,-,-,2.0
"Michael, Robert",,,,,,,,,,-,,,,,,,,,
"Monohan, Jack",-,-,-,-,-,-,,,,,-,-,-,-,,-,,-,
"Nash, Bob",-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,
"Nelson, Tom",,,,,,,,,,,,,,-,-,,-,,
"Pannam, Charlie",1,1,4,1,1,-,,1,5,1,2,3,1,1,-,1,-,1,24.0
"Pears, Harry",-,1,,-,,-,-,2,,,-,3,-,2,1,-,,,9.0
"Proudfoot, Bill",,,,,,,,,,,,,,,-,,,,
"Punch, Bill",,,-,-,,,,,,,,,,,,-,,,
"Reitman, Bert",-,1,-,,-,,-,,-,,-,-,-,,-,,-,,1.0
"Rowell, Ted",4,2,3,1,3,-,4,3,1,1,1,-,3,,2,-,2,2,32.0
"Rush, Bob",-,-,-,-,,-,-,-,,-,,,,,,,,,
"Stancliffe, Fred",,,,,,,,,,,,,,,,,1,,1.0
"Strachan, Bob",-,1,-,-,1,-,-,-,2,,-,2,1,1,-,-,,-,8.0
"Wilcher, Frank",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wright, Tom",,,,,,,,,,,,,-,,,2,-,-,2.0
Totals,12,8,14,4,13,6,13,11,14,6,6,11,9,15,11,3,15,8,179.0
Opponent,GE,SM,FI,CA,SK,ES,ME,GE,SM,FI,CA,SK,ES,ME,SK,FI,ME,CA,
