Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R20,R21,R22,Tot
"Bennett, Darren",,,1,,,,,,,,,,1,,,,,,,,2.0
"Campbell, Adrian",,,,,,,,,,,,,,,,,,,9,4,13.0
"Charles, Sean",3,1,,,,,,,,,,,,,,,,,,,4.0
"Cuthbertson, Darren",,,,,,,,,,,,,-,5,3,3,-,,,,11.0
"Doyle, Greg",,,,2,,,,,,,,,,1,,,,,,,3.0
"Dyson, Kevin",,,,,,,,,,,,,,1,11,10,11,3,6,7,49.0
"Febey, Matthew",8,10,8,,,17,10,5,14,11,17,8,12,11,7,11,14,9,12,7,191.0
"Febey, Steven",6,13,3,10,11,17,7,11,11,5,8,8,12,3,10,13,14,2,10,5,179.0
"Gilbert, Phil",3,-,,,1,1,1,-,2,4,2,3,,,-,5,3,-,,1,26.0
"Goodwin, Andy",,,,1,,,,,,,,,,,,-,,,3,5,9.0
"Grinter, Rod",,,,9,2,4,2,2,2,4,3,2,2,3,1,1,4,-,,,41.0
"Healy, Greg",5,7,16,9,8,8,8,3,,,,,,,,,,,,,64.0
"Hopgood, Paul",,,,12,8,4,14,7,7,6,11,3,8,7,6,9,5,1,11,2,121.0
"Jakovich, Allen",-,,,,,,,1,3,3,1,2,,,,,,1,6,1,18.0
"Kowal, Darren",,,3,,3,6,2,5,7,7,5,4,7,2,7,3,5,4,5,8,83.0
"Lamprill, Andrew",,,,,,,,,,,,,,,,,,,4,3,7.0
"Lovell, Andy",10,6,4,9,5,7,5,7,5,,,9,6,3,7,5,10,7,4,4,113.0
"Lovett, Brett",17,3,6,6,13,4,9,5,9,3,,,9,3,6,7,11,9,14,8,142.0
"Lovett, Glenn",6,3,10,6,8,11,8,6,13,13,11,13,10,15,9,9,11,3,7,7,179.0
"Lyon, Garry",2,,,4,2,3,3,6,-,9,6,4,10,7,8,6,9,8,6,7,100.0
"Molloy, Glenn",,,,,,,,,4,,,,,,,,,,,,4.0
"Neitz, David",5,2,6,3,3,2,-,4,3,4,5,9,7,7,3,4,9,7,7,6,96.0
"Norrish, Jason",,,,,,,,,,,,,6,8,7,,-,,3,,24.0
"Obst, Andrew",,4,11,7,8,15,4,16,8,5,5,13,4,10,9,11,12,9,5,7,163.0
"Pickering, Michael",4,,,,7,2,4,,,,,,,,,,,,,,17.0
"Pike, Martin",7,7,3,7,4,3,7,2,,,,,,,,,,,,,40.0
"Robins, Haydn",7,1,7,,,,,,,7,5,1,,,,,,,,,28.0
"Rohde, Peter",8,7,8,7,11,9,4,10,2,7,2,5,4,6,7,6,5,6,5,3,122.0
"Schwarz, David",3,7,2,3,5,6,3,8,5,,,,,,,,,,,,42.0
"Simister, Scott",,,,,,,,,,3,-,9,,,,,,,,,12.0
"Stretch, Steven",8,6,7,1,,,,,5,7,5,5,-,8,2,4,3,7,,,68.0
"Stynes, Jim",5,8,3,3,14,13,9,15,5,16,9,11,13,4,9,8,12,9,3,10,179.0
"Tingay, Stephen",3,4,1,7,8,12,6,12,6,12,4,10,9,12,9,14,14,1,9,9,162.0
"Viney, Todd",3,9,10,9,5,7,8,13,20,9,11,17,12,12,6,17,19,6,20,15,228.0
"Wight, Sean",,2,3,,4,,,,,,7,,-,,,,,,,,16.0
"Yeats, Graeme",,5,5,8,,,,,,1,3,1,,,,,,1,,,24.0
Totals,113,105,117,123,130,151,114,138,131,136,120,137,132,128,127,146,171,93,149,119,2580.0
Opponent,HW,FO,BB,NM,AD,RI,FI,WC,CA,CW,ES,SY,SK,GE,HW,FO,BB,AD,RI,FI,
