Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Baird, Des",-,-,-,,,,,,,,,-,-,,,,,,,,,
"Barry, Dave",,1,-,-,-,-,-,-,-,,,,,,,,,,,-,-,1.0
"Belcher, Vic",-,-,3,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,7.0
"Bower, George",-,-,-,-,-,-,-,1,-,-,-,,-,-,-,3,,-,-,1,-,5.0
"Caldwell, Jim",-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,,-,-,,2.0
"Callan, Hughie",,,,,,,,,,-,-,-,-,-,-,-,,,,,,
"Cameron, Jim",-,-,-,1,-,,,,,,,-,-,1,-,1,1,-,2,-,-,6.0
"Casey, Dick",1,3,2,-,2,1,2,1,1,1,3,1,-,-,-,1,-,-,1,-,,20.0
"Deas, Bob",4,-,3,3,1,1,2,-,2,5,-,1,1,2,-,-,1,3,-,,-,29.0
"Dolphin, Bill",-,-,-,-,-,-,-,-,-,-,-,,,,,-,,,-,-,,
"Drane, Horrie",,,,,,,,,,,,,,-,,,,,,,-,
"Franks, Bert",-,-,-,1,1,1,-,-,-,2,-,1,1,-,1,-,1,-,2,1,1,13.0
"Gough, Alf",,,,4,-,-,2,2,1,2,-,1,-,-,-,-,-,2,1,3,1,19.0
"Grimshaw, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Harrison, Ed",,,,,,-,,,,,,,,,,,,,,,,
"Hiskins, Arthur",-,-,-,-,-,-,-,,,-,-,-,-,1,6,-,-,-,-,-,-,7.0
"Jones, Jack",,,,,,,,2,2,,,-,-,1,-,,,,,,,5.0
"Kerr, Alex",-,-,-,-,-,1,-,-,2,-,1,1,1,-,2,-,-,-,1,-,-,9.0
"Moore, Herbert",-,,,,,,,,,,,,,,,,,,,,,
"Mortimer, Len",3,3,4,1,1,2,2,5,5,4,1,1,-,1,5,1,5,1,3,1,1,50.0
"Moxham, Billy",,,,,,,,-,-,-,,,,,,-,-,-,-,-,-,
"Pentland, Alan",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Richardson, Jack",,,,,,,-,,,,,,,,,,,,,,,
"Ricketts, Charlie",-,-,-,1,1,2,-,-,-,1,1,-,-,,2,-,1,1,-,-,1,11.0
"Scobie, Jack",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,
"Streckfuss, Bert",,,,,,,,,,,,,,,,,-,-,,,,
"Thomas, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2.0
"Wade, Ted",-,-,-,-,-,-,-,,,,-,,,,,,-,-,,,-,
Totals,8,7,12,11,6,8,9,11,14,17,6,6,4,6,18,6,9,7,10,7,4,186.0
Opponent,GE,CA,ME,FI,CW,RI,ES,UN,SK,GE,CA,ME,FI,CW,RI,ES,UN,SK,CW,CA,CA,
