Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Baquie, Jack",,,,,,,,,,,,,,,,,,,-,1,1.0
"Barningham, Alick",1,2,,,,,,,,,-,,,,,2,-,-,-,-,5.0
"Bartlett, Herman",,,,,-,,,,-,,,,,,,,,,,,
"Bowen, Ned",-,-,-,-,-,1,4,2,2,-,1,-,-,,-,,,,,,10.0
"Bruce, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Challis, George",-,-,-,2,1,1,1,-,1,-,-,1,1,-,1,-,-,-,-,-,9.0
"Clancy, Tom",-,-,-,-,-,-,-,-,,-,-,,-,1,,,-,-,2,-,3.0
"Clark, Norman",-,-,-,-,-,-,-,-,-,1,1,,,,,,,,,,2.0
"Cochran, Eric",,,,,,,,,,,-,1,-,-,-,-,-,-,-,,1.0
"Dick, Billy",2,1,,,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,5.0
"Ford, Arthur",,,,,,,,,,,,,,,,,-,-,,,
"Gardiner, Vin",2,2,3,2,2,5,,,,4,3,3,2,1,2,5,3,4,3,1,47.0
"Gillespie, Doug",,,,,,,,,,,,-,-,-,-,-,-,,-,-,
"Green, Gordon",,1,3,,,-,,,,-,-,1,-,1,2,1,,,4,-,13.0
"Haughton, Harry",,,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Jamieson, Ernie",-,-,-,-,1,-,1,-,-,-,,-,-,,-,,,-,,,2.0
"Johnson, Bill",,,,-,-,-,-,,,,,,,,-,-,-,,,,
"Johnson, Roy",,,-,,-,,4,-,1,-,,,,,,,,,,,5.0
"Loughnan, Jack",,,,,,,,,-,,,,,,,,,,,,
"Marchbank, Jim",1,1,-,-,-,-,-,1,-,,,-,-,-,-,-,-,1,-,-,4.0
"Matheson, Harry",,,,,1,,,,,,,,,,,,,,,,1.0
"McDonald, Andy",-,-,-,-,-,-,1,,,1,,,-,-,-,-,1,,,-,3.0
"McDonald, Fen",-,-,-,1,,,,-,-,,,-,,,,-,,2,,,3.0
"McGregor, Rod",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Mills, Paddy",,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Moran, Richard",,,,,,,,3,3,,,2,3,1,,-,1,1,-,2,16.0
"ODonnell, Andy",,,-,,,,,,,,,,,,,,,,,,
"Payne, Billy",-,,-,,,-,-,-,-,-,-,,,,,,,,,,
"Rauber, Charles",,,,,,,,,,1,,,,,,,,,,,1.0
"Stewart, Jim",,2,,-,,,,,,,,,,,,,,,,,2.0
"Topping, George",3,,,,,,,,,,,,,,,,,,,,3.0
"Triplett, Frank",,-,-,-,,,1,-,-,,-,,1,-,-,,,-,,,2.0
"Valentine, Viv",-,-,-,1,-,1,3,1,2,1,-,1,,-,1,-,1,1,-,2,15.0
"Wells, Jack",-,-,-,-,,3,1,1,1,-,1,1,1,-,1,,,-,1,-,11.0
"Williamson, Alf",,,,-,-,,,,,,,,,,,,,,,,
"Wilson, Archie",-,,,,,-,-,-,,-,-,-,,-,,-,1,-,-,-,1.0
Totals,9,9,6,6,5,12,17,8,10,8,6,10,8,4,7,8,7,10,10,6,166.0
Opponent,GE,FI,ES,CW,ME,SK,RI,SM,UN,GE,FI,ES,CW,ME,SK,RI,SM,UN,GE,ES,
