Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R18,SF,SF.1,SF.2,Tot
"Alexander, Harold",1,-,-,-,2,2,1,-,-,-,-,1,-,-,-,1,1,-,-,9.0
"Allison, Bobby",,,3,-,5,1,3,1,,,1,,,,1,-,1,,,16.0
"Brooks, Phil",,,,,,,,,,,,,,,,1,,-,,1.0
"Brown, Martin",-,-,1,-,-,-,-,-,2,1,1,-,-,,1,-,1,-,1,8.0
"Cazaly, Roy",2,1,1,4,-,2,2,1,3,2,1,3,4,-,2,-,2,1,1,32.0
"Condon, Bill",3,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,7.0
"De Araugo, Maurie",,,,,,,,,,,,,,-,,,,,,
"Fleiter, Fred",,,-,-,-,-,-,-,1,1,1,-,2,-,1,-,-,,,6.0
"Hando, Arthur",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,
"Harris, Jacky",,,,,,,,,,,,,,,,,,,3,3.0
"Hynes, Tammy",-,-,,,,,,,,,,,,,,,,,,
"Johnson, Ted",4,4,2,6,2,2,3,3,2,2,2,4,3,2,5,6,3,1,4,60.0
"Joyce, Tom",-,1,-,-,-,-,-,-,,,-,-,-,1,-,-,-,-,,2.0
"Laird, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Mahony, Harold",-,,,,,,,,,,,,,,,,,,-,
"Matthews, Herb",-,-,,,1,2,-,1,-,1,3,-,1,2,-,1,-,,,12.0
"Matthews, Wal",,,,,,,,,-,-,,,,,,,,,,
"McDonald, Bob",-,,,,,,,,,,,,,,,-,,-,-,
"McDonald, Charles",,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Miller, Gil",,,,,,,,,,,,,,,,,,,1,1.0
"Nicholls, Charlie",,,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2.0
"OConnell, Jack",,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,3.0
"OMeara, Ted",,,,,,,,,1,1,,3,2,-,,,,,-,7.0
"Ross, Frank",,,,,,,,,,,,,,,,,,1,-,1.0
"Scanlan, Joe",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Scanlan, Merv",-,-,,,,,,,,,,,,,,,,,,
"Scanlan, Paddy",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Sivies, Ted",,,,-,,,,,,,,,,,,,,,,
"Sutherland, Jim",,,,,,,,,,,,,,,,-,,,,
"Sutton, Bert",-,1,-,-,,,,,,,,,,,,,,,,1.0
"Tandy, Mark",3,-,1,1,-,-,1,-,-,-,-,1,-,-,1,,1,-,1,10.0
"Woodfield, Les",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,13,7,8,12,10,9,11,7,9,9,9,12,12,6,13,9,9,4,13,182.0
Opponent,RI,FI,ES,SK,ME,CW,CA,GE,RI,FI,ES,SK,ME,CW,CA,GE,RI,ES,FI,
