Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Allen, Oscar",-,1,-,2,1,-,-,1,1,1,1,-,1,1,2,12.0
"Barnett, Harry",,,,,,,,,,,,,,,-,
"Barrass, Tom",1,2,2,1,3,1,2,-,2,,-,,,3,5,22.0
"Bazzo, Rhett",,,,,,1,1,,,1,2,2,7,1,2,17.0
"Chesser, Campbell",1,1,4,,,,,,,2,,,3,3,1,15.0
"Clark, Greg",,,,2,5,1,3,-,7,4,-,1,6,,,29.0
"Cole, Tom",2,3,3,4,,,,,,,,,,,,12.0
"Cripps, Jamie",1,4,-,,,,,,,,,,,,4,9.0
"Culley, Jai",,,,5,5,1,1,-,,,,,,,,12.0
"Darling, Jack",1,1,-,1,2,1,-,7,1,,,,4,1,-,19.0
"Duggan, Liam",4,1,1,5,2,-,3,8,4,1,3,6,,1,-,39.0
"Edwards, Harry",,,,,,,,,1,7,,,,,,8.0
"Edwards, Luke",,,,1,1,2,2,1,2,,1,,-,-,,10.0
"Foley, Luke",,,,,,1,1,4,3,-,1,4,2,,,16.0
"Gaff, Andrew",-,2,4,4,5,-,2,3,3,3,3,5,5,-,1,40.0
"Ginbey, Reuben",2,4,-,4,3,3,3,3,-,6,5,3,6,5,1,48.0
"Hewett, Elijah",,2,3,1,,,,,,,,-,,3,2,11.0
"Hough, Brady",,,,1,1,,,,-,2,1,2,-,1,1,9.0
"Hunt, Jayden",2,3,3,5,2,1,4,3,2,6,5,3,2,1,1,43.0
"Hurn, Shannon",3,-,5,-,,,1,2,,,1,-,,,1,13.0
"Jamieson, Callum",1,,,,,,,,3,1,,5,,,,10.0
"Jones, Jamaine",3,6,2,3,5,2,4,2,2,4,,,,,,33.0
"Kelly, Tim",7,4,6,4,6,9,7,9,2,5,5,3,4,6,,77.0
"Long, Noah",4,-,1,1,1,,,,,1,-,1,-,3,1,13.0
"Maric, Ryan",,,,,,,,,,,,,2,1,-,3.0
"McGovern, Jeremy",3,3,1,,,,,,,,,,,,,7.0
"ONeill, Xavier",3,,,,2,,1,3,3,2,1,4,4,,-,23.0
"Petrevski-Seton, Sam",,3,1,1,1,1,1,,,,,,1,-,,9.0
"Petruccelle, Jack",1,,,,-,3,-,1,3,2,1,2,2,4,2,21.0
"Rotham, Josh",,,,1,3,5,2,2,3,-,2,6,,,,24.0
"Ryan, Liam",3,3,3,,,,,,,,,,,,,9.0
"Sheed, Dom",4,4,4,,,,,4,1,5,4,8,5,1,10,50.0
"Shuey, Luke",4,2,4,,,2,,,,,,,5,2,4,23.0
"Trew, Zane",,,,,,1,,2,,,,,4,,,7.0
"Waterman, Jake",,1,2,3,1,5,-,4,1,4,4,5,,,,30.0
"West, Connor",,,,5,-,4,2,1,3,2,-,1,,,,18.0
"Williams, Bailey",3,4,-,7,5,4,4,2,1,4,3,4,1,3,5,50.0
"Williams, Jack",,,,,,,,,,,,,,-,1,1.0
"Witherden, Alex",2,4,1,,2,-,-,2,3,2,4,4,3,1,3,31.0
"Yeo, Elliot",,,,2,4,,,,,,5,1,4,4,,20.0
Totals,55,58,50,63,60,48,44,64,51,65,52,70,71,45,47,843.0
Opponent,NM,GW,FR,ME,GE,PA,CA,RI,GC,HW,ES,CW,AD,SY,SK,
