Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Allen, Oscar",1,1,5,2,2,2,1,1,1,1,-,-,1,1,1,20.0
"Barnett, Harry",,,,,,,,,,,,,,,1,1.0
"Barrass, Tom",1,-,-,-,2,1,-,-,-,,-,,,-,1,5.0
"Bazzo, Rhett",,,,,,-,-,,,1,2,-,-,-,2,5.0
"Chesser, Campbell",2,2,3,,,,,,,3,,,6,-,3,19.0
"Clark, Greg",,,,4,3,5,1,3,2,5,-,1,2,,,26.0
"Cole, Tom",1,2,4,3,,,,,,,,,,,,10.0
"Cripps, Jamie",3,1,1,,,,,,,,,,,,14,19.0
"Culley, Jai",,,,6,4,2,3,-,,,,,,,,15.0
"Darling, Jack",1,5,2,-,2,3,4,4,-,,,,3,-,2,26.0
"Duggan, Liam",4,1,2,5,4,2,2,3,4,3,4,2,,2,4,42.0
"Edwards, Harry",,,,,,,,,1,1,,,,,,2.0
"Edwards, Luke",,,,-,7,1,1,6,5,,-,,2,4,,26.0
"Foley, Luke",,,,,,3,1,-,2,3,1,2,4,,,16.0
"Gaff, Andrew",4,-,5,9,3,4,2,1,3,2,-,2,3,2,5,45.0
"Ginbey, Reuben",12,6,8,5,4,8,7,4,16,3,5,5,7,3,4,97.0
"Hewett, Elijah",,-,1,-,,,,,,,,-,,-,4,5.0
"Hough, Brady",,,,-,1,,,,6,1,-,2,2,-,1,13.0
"Hunt, Jayden",2,1,1,3,3,4,3,2,3,6,2,3,1,4,1,39.0
"Hurn, Shannon",2,2,-,3,,,-,4,,,1,1,,,3,16.0
"Jamieson, Callum",-,,,,,,,,1,3,,4,,,,8.0
"Jones, Jamaine",2,1,4,5,2,2,5,-,1,1,,,,,,23.0
"Kelly, Tim",3,-,4,5,11,5,8,5,6,8,3,5,5,6,,74.0
"Long, Noah",3,4,1,2,3,,,,,3,2,1,-,5,2,26.0
"Maric, Ryan",,,,,,,,,,,,,2,2,4,8.0
"McGovern, Jeremy",1,-,-,,,,,,,,,,,,,1.0
"ONeill, Xavier",5,,,,4,,5,2,8,7,3,-,3,,2,39.0
"Petrevski-Seton, Sam",,1,3,5,3,3,3,,,,,,1,3,,22.0
"Petruccelle, Jack",1,,,,3,2,5,4,3,10,1,2,4,2,8,45.0
"Rotham, Josh",,,,-,-,2,2,1,2,-,2,1,,,,10.0
"Ryan, Liam",5,4,2,,,,,,,,,,,,,11.0
"Sheed, Dom",3,1,2,,,,,5,5,5,2,1,-,1,9,34.0
"Shuey, Luke",8,3,3,,,3,,,,,,,5,8,9,39.0
"Trew, Zane",,,,,,5,,-,,,,,1,,,6.0
"Waterman, Jake",,2,4,5,-,1,2,3,1,1,1,3,,,,23.0
"West, Connor",,,,3,1,2,2,1,3,1,2,2,,,,17.0
"Williams, Bailey",5,2,1,3,-,3,4,5,5,10,4,6,2,4,7,61.0
"Williams, Jack",,,,,,,,,,,,,,1,2,3.0
"Witherden, Alex",3,4,-,,-,1,3,1,5,4,3,2,2,-,3,31.0
"Yeo, Elliot",,,,-,3,,,,,,4,3,3,10,,23.0
Totals,72,43,56,68,65,64,64,55,83,82,42,48,59,58,92,951.0
Opponent,NM,GW,FR,ME,GE,PA,CA,RI,GC,HW,ES,CW,AD,SY,SK,
