Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Allen, Oscar",1,-,-,-,2,-,1,-,1,-,-,-,-,-,-,5.0
"Barnett, Harry",,,,,,,,,,,,,,,-,
"Barrass, Tom",-,-,-,-,-,-,-,-,-,,-,,,-,-,
"Bazzo, Rhett",,,,,,-,-,,,-,-,-,-,-,-,
"Chesser, Campbell",-,-,-,,,,,,,-,,,-,-,-,
"Clark, Greg",,,,-,-,-,-,-,-,-,-,-,-,,,
"Cole, Tom",-,-,1,-,,,,,,,,,,,,1.0
"Cripps, Jamie",2,-,-,,,,,,,,,,,,1,3.0
"Culley, Jai",,,,-,-,-,1,-,,,,,,,,1.0
"Darling, Jack",1,1,-,1,1,-,1,-,1,,,,1,-,-,7.0
"Duggan, Liam",1,-,1,1,1,-,-,-,-,-,-,-,,-,-,4.0
"Edwards, Harry",,,,,,,,,-,-,,,,,,
"Edwards, Luke",,,,-,-,1,-,-,-,,-,,-,-,,1.0
"Foley, Luke",,,,,,-,-,-,-,-,1,-,-,,,1.0
"Gaff, Andrew",-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,4.0
"Ginbey, Reuben",-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,4.0
"Hewett, Elijah",,-,-,-,,,,,,,,-,,1,-,1.0
"Hough, Brady",,,,-,1,,,,-,-,-,-,-,-,-,1.0
"Hunt, Jayden",-,1,1,-,1,-,-,-,-,-,1,-,-,1,-,5.0
"Hurn, Shannon",-,-,2,-,,,-,-,,,-,-,,,-,2.0
"Jamieson, Callum",-,,,,,,,,-,-,,-,,,,
"Jones, Jamaine",-,1,-,-,1,-,1,-,-,1,,,,,,4.0
"Kelly, Tim",1,-,-,-,2,1,-,1,-,-,1,2,-,-,,8.0
"Long, Noah",-,2,1,-,-,,,,,1,-,-,-,-,1,5.0
"Maric, Ryan",,,,,,,,,,,,,-,-,-,
"McGovern, Jeremy",-,-,-,,,,,,,,,,,,,
"ONeill, Xavier",-,,,,-,,-,-,-,-,-,1,-,,-,1.0
"Petrevski-Seton, Sam",,2,-,1,-,-,-,,,,,,-,1,,4.0
"Petruccelle, Jack",-,,,,-,1,1,-,1,-,1,1,-,-,-,5.0
"Rotham, Josh",,,,-,-,-,-,-,-,-,1,-,,,,1.0
"Ryan, Liam",-,1,1,,,,,,,,,,,,,2.0
"Sheed, Dom",1,1,-,,,,,2,-,1,-,-,-,-,-,5.0
"Shuey, Luke",1,-,2,,,-,,,,,,,1,1,2,7.0
"Trew, Zane",,,,,,-,,-,,,,,-,,,
"Waterman, Jake",,-,-,2,-,-,-,-,-,-,-,1,,,,3.0
"West, Connor",,,,-,-,-,1,-,-,-,-,-,,,,1.0
"Williams, Bailey",-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,2.0
"Williams, Jack",,,,,,,,,,,,,,-,1,1.0
"Witherden, Alex",-,-,-,,-,-,-,1,-,-,-,1,-,-,-,2.0
"Yeo, Elliot",,,,-,-,,,,,,-,-,-,-,,
Totals,8,10,9,7,10,3,6,4,3,3,6,7,3,4,8,91.0
Opponent,NM,GW,FR,ME,GE,PA,CA,RI,GC,HW,ES,CW,AD,SY,SK,
