Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R18,SF,Tot
"Brown, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Buck, Bill",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,
"Colechin, Bert",-,,-,,-,-,,,,,,-,,-,,,,
"Coventry, Gordon",1,1,3,-,1,2,5,4,-,,1,,,,,,1,19.0
"Curtis, Harry",1,,1,,,,2,1,,,,-,1,1,2,-,1,10.0
"Dobrigh, Gus",-,,-,,,,,,,-,,,,,,,,
"Drummond, Tom",-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2.0
"Hammond, Tom",,,-,-,,1,-,-,,,,,1,,2,-,-,4.0
"Hughes, Les",1,-,2,1,1,-,2,-,-,,-,1,1,1,,-,,10.0
"Keogh, Jim",,-,,,,-,,,-,-,,,,,,,,
"Laxton, Charlie",4,4,,-,-,,1,-,-,,1,-,-,,,-,,10.0
"Lee, Dick",2,7,3,4,3,2,6,4,4,1,2,8,3,4,3,4,4,64.0
"Lloyd, Harry",,,,,,,,,,-,,,,,,,,
"Ludbrooke, Len",,-,,1,-,,,,,,,,,,,,,1.0
"McCarthy, Con",-,-,4,1,1,-,1,1,-,-,-,-,-,-,-,-,-,8.0
"Murphy, Laurie",,,,,,-,-,,,-,-,-,-,-,3,-,-,3.0
"Mutch, Alec",,,,,-,-,-,-,-,,,,-,-,-,,,
"Pannam, Charles",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Petterson, Fred",,,,,,,,,1,-,,-,,-,,-,,1.0
"Rowe, Percy",-,-,-,1,-,2,-,-,3,-,1,-,-,,-,-,1,8.0
"Saunders, Harry",-,-,-,-,-,-,-,-,-,1,-,-,-,,,,-,1.0
"Scanlon, Tommy",,,,,,,,,,-,1,,,1,-,,-,2.0
"Seddon, Mal",,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Sheehy, Maurie",-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,-,
"Smith, Clyde",,,,,,,,,,,,,,,,-,,
"Twomey, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Tyson, Charles",-,-,,-,-,-,-,-,-,1,-,-,-,1,-,1,-,3.0
"Webb, Reynolds",1,-,2,1,-,2,,-,,,-,,,-,2,-,-,8.0
"Wilson, Ernie",-,2,,,,,,,,,-,,,,-,,-,2.0
Totals,10,14,16,9,6,9,17,10,8,3,6,10,6,8,12,5,7,156.0
Opponent,FI,ME,GE,ES,RI,SM,SK,CA,FI,ME,GE,ES,RI,SM,SK,CA,CA,
