Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Bowey, Jake",R1,MEL,WBD,17.0,10.0,7.0,0.0,0.0,3.0,1.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,73.0,-,0.0,1.0,0.0
"Brayshaw, Angus",R1,MEL,WBD,22.0,14.0,8.0,0.0,0.0,10.0,0.0,3.0,5.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,86.0,-,3.0,0.0,0.0
"Brown, Ben",R1,MEL,WBD,15.0,12.0,3.0,4.0,1.0,7.0,0.0,1.0,4.0,12.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,81.0,-,2.0,1.0,0.0
"Chandler, Kade",R1,MEL,WBD,16.0,11.0,5.0,1.0,2.0,8.0,1.0,7.0,4.0,11.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,81.0,-,1.0,0.0,0.0
"Fritsch, Bayley",R1,MEL,WBD,,,,,,,,,,,,,,,,,,,,,,,
"Gawn, Max",R1,MEL,WBD,21.0,14.0,7.0,2.0,0.0,6.0,5.0,1.0,15.0,5.0,21.0,2.0,2.0,0.0,2.0,0.0,5.0,3.0,87.0,-,5.0,6.0,0.0
"Grundy, Brodie",R1,MEL,WBD,17.0,7.0,10.0,1.0,1.0,1.0,0.0,3.0,8.0,7.0,12.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,69.0,-,3.0,2.0,0.0
"Harmes, James",R1,MEL,WBD,15.0,6.0,9.0,0.0,0.0,3.0,1.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,74.0,-,0.0,0.0,0.0
"Hibberd, Michael",R1,MEL,WBD,,,,,,,,,,,,,,,,,,,,,,,
"Hunter, Lachie",R1,MEL,WBD,12.0,8.0,4.0,0.0,0.0,5.0,0.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,87.0,-,1.0,3.0,0.0
"Jordon, James",R1,MEL,WBD,,,,,,,,,,,,,,,,,,,,,,,
"Langdon, Ed",R1,MEL,WBD,14.0,12.0,2.0,0.0,1.0,4.0,0.0,1.0,2.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,89.0,-,3.0,1.0,0.0
"Laurie, Bailey",R1,MEL,WBD,4.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,Off,0.0,0.0,0.0
"Lever, Jake",R1,MEL,WBD,21.0,17.0,4.0,0.0,0.0,9.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,100.0,-,2.0,4.0,0.0
"May, Steven",R1,MEL,WBD,,,,,,,,,,,,,,,,,,,,,,,
"McDonald, Tom",R1,MEL,WBD,13.0,8.0,5.0,0.0,1.0,4.0,0.0,3.0,4.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,80.0,-,2.0,1.0,0.0
"McVee, Judd",R1,MEL,WBD,14.0,11.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,73.0,-,2.0,3.0,0.0
"Melksham, Jake",R1,MEL,WBD,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,17.0,On,1.0,1.0,0.0
"Neal-Bullen, Alex",R1,MEL,WBD,17.0,11.0,6.0,1.0,0.0,6.0,0.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,85.0,-,2.0,1.0,0.0
