Date,Home v Away Teams,Venue,Crowd,round,Home,Away,Home Score,Away Score
Thu 30 Mar 7:20pm,Western Bulldogs v Brisbane,Marvel Stadium,23665,R3,Western Bulldogs , Brisbane,67,53
Fri 31 Mar 7:50pm,Collingwood v Richmond,MCG,85241,R3,Collingwood , Richmond,63,49
Sat 1 Apr 1:45pm,Hawthorn v North Melbourne,UTAS Stadium,11007,R3,Hawthorn , North Melbourne,80,61
Sat 1 Apr 4:35pm,GWS v Carlton,GIANTS Stadium,9691,R3,GWS , Carlton,64,74
Sat 1 Apr 7:00pm,Port Adelaide v Adelaide,Adelaide Oval,48962,R3,Port Adelaide , Adelaide,86,117
Sat 1 Apr 7:25pm,St Kilda v Essendon,MCG,69255,R3,St Kilda , Essendon,92,74
Sun 2 Apr 2:10pm,Gold Coast v Geelong,Heritage Bank Stadium,13122,R3,Gold Coast , Geelong,73,54
Sun 2 Apr 3:20pm,Fremantle v West Coast,Optus Stadium,56090,R3,Fremantle , West Coast,108,67
Thu 6 Apr 7:35pm,Brisbane v Collingwood,Gabba,33565,R4,Brisbane , Collingwood,116,83
Fri 7 Apr 4:20pm,North Melbourne v Carlton,Marvel Stadium,49062,R4,North Melbourne , Carlton,84,107
Sat 8 Apr 1:15pm,Adelaide v Fremantle,Adelaide Oval,33725,R4,Adelaide , Fremantle,111,72
Sat 8 Apr 4:35pm,Richmond v Western Bulldogs,MCG,56449,R4,Richmond , Western Bulldogs,84,89
Sat 8 Apr 7:30pm,Sydney v Port Adelaide,SCG,31686,R4,Sydney , Port Adelaide,64,66
Sat 8 Apr 7:30pm,St Kilda v Gold Coast,Marvel Stadium,21049,R4,St Kilda , Gold Coast,113,60
Sun 9 Apr 2:10pm,Essendon v GWS,Marvel Stadium,28815,R4,Essendon , GWS,88,75
Sun 9 Apr 3:20pm,West Coast v Melbourne,Optus Stadium,42458,R4,West Coast , Melbourne,63,126
Thu 13 Apr 7:10pm,Adelaide v Carlton,Adelaide Oval,47395,R5,Adelaide , Carlton,118,62
Fri 14 Apr 4:40pm,Fremantle v Gold Coast,Norwood Oval,9329,R5,Fremantle , Gold Coast,100,90
Fri 14 Apr 7:40pm,Richmond v Sydney,Adelaide Oval,42134,R5,Richmond , Sydney,78,122
Sat 15 Apr 12:40pm,Brisbane v North Melbourne,Adelaide Hills,7329,R5,Brisbane , North Melbourne,152,77
Sat 15 Apr 3:40pm,Essendon v Melbourne,Adelaide Oval,33832,R5,Essendon , Melbourne,104,77
Sat 15 Apr 7:20pm,Port Adelaide v Western Bulldogs,Adelaide Oval,45115,R5,Port Adelaide , Western Bulldogs,70,56
Sun 16 Apr 12:40pm,Geelong v West Coast,Adelaide Oval,30120,R5,Geelong , West Coast,136,89
Sun 16 Apr 2:50pm,GWS v Hawthorn,Norwood Oval,9057,R5,GWS , Hawthorn,77,75
Fri 21 Apr 6:10pm,Fremantle v Western Bulldogs,Optus Stadium,47503,R6,Fremantle , Western Bulldogs,69,118
Sat 22 Apr 1:15pm,Port Adelaide v West Coast,Adelaide Oval,31638,R6,Port Adelaide , West Coast,109,69
Sat 22 Apr 4:35pm,GWS v Brisbane,Manuka Oval,10461,R6,GWS , Brisbane,87,108
Sat 22 Apr 7:25pm,Geelong v Sydney,GMHBA Stadium,23134,R6,Geelong , Sydney,130,37
Sun 23 Apr 1:10pm,Hawthorn v Adelaide,UTAS Stadium,10119,R6,Hawthorn , Adelaide,76,79
Sun 23 Apr 3:20pm,Carlton v St Kilda,Marvel Stadium,45770,R6,Carlton , St Kilda,60,82
Sun 23 Apr 4:40pm,Gold Coast v North Melbourne,Heritage Bank Stadium,9672,R6,Gold Coast , North Melbourne,97,54
Mon 24 Apr 7:25pm,Melbourne v Richmond,MCG,83985,R6,Melbourne , Richmond,96,78
Fri 28 Apr 7:50pm,St Kilda v Port Adelaide,Marvel Stadium,25845,R7,St Kilda , Port Adelaide,76,83
Sat 29 Apr 1:45pm,Brisbane v Fremantle,Gabba,25528,R7,Brisbane , Fremantle,115,67
Sat 29 Apr 2:10pm,Sydney v GWS,SCG,31615,R7,Sydney , GWS,106,107
Sat 29 Apr 4:35pm,Western Bulldogs v Hawthorn,Marvel Stadium,40119,R7,Western Bulldogs , Hawthorn,94,65
Sat 29 Apr 5:30pm,West Coast v Carlton,Optus Stadium,47940,R7,West Coast , Carlton,44,152
Sat 29 Apr 7:25pm,Melbourne v North Melbourne,MCG,29455,R7,Melbourne , North Melbourne,139,49
Sun 30 Apr 1:10pm,Essendon v Geelong,MCG,67457,R7,Essendon , Geelong,104,132
Sun 30 Apr 3:20pm,Richmond v Gold Coast,Marvel Stadium,23664,R7,Richmond , Gold Coast,48,72
Fri 5 May 7:50pm,Carlton v Brisbane,Marvel Stadium,45458,R8,Carlton , Brisbane,74,100
Sat 6 May 1:45pm,Richmond v West Coast,MCG,28293,R8,Richmond , West Coast,104,58
