Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 18 Mar 7:25pm,MCG,49218,Round 1,2021,RCH,CAR,105,80
Fri 19 Mar 7:50pm,MCG,46051,Round 1,2021,COL,WBD,53,69
Sat 20 Mar 1:45pm,MCG,21365,Round 1,2021,MEL,FRE,80,58
Sat 20 Mar 4:05pm,Adelaide Oval,26985,Round 1,2021,ADE,GEE,103,91
Sat 20 Mar 6:45pm,Gabba,22762,Round 1,2021,BRL,SYD,94,125
Sat 20 Mar 7:25pm,Marvel Stadium,25128,Round 1,2021,ESS,HAW,91,92
Sun 21 Mar 1:10pm,Marvel Stadium,13050,Round 1,2021,NTH,POR,65,117
Sun 21 Mar 3:10pm,Optus Stadium,38493,Round 1,2021,WCE,GCS,83,58
Sun 21 Mar 3:20pm,GIANTS Stadium,5014,Round 1,2021,GWS,STK,78,86
Thu 25 Mar 7:20pm,MCG,51723,Round 2,2021,CAR,COL,85,106
Fri 26 Mar 7:20pm,GMHBA Stadium,20070,Round 2,2021,GEE,BRL,81,80
Sat 27 Mar 1:45pm,SCG,23946,Round 2,2021,SYD,ADE,121,88
Sat 27 Mar 4:05pm,Adelaide Oval,29978,Round 2,2021,POR,ESS,119,65
Sat 27 Mar 7:10pm,Heritage Bank Stadium,6661,Round 2,2021,GCS,NTH,98,39
Sat 27 Mar 7:25pm,Marvel Stadium,25903,Round 2,2021,STK,MEL,73,91
Sun 28 Mar 1:10pm,MCG,41051,Round 2,2021,HAW,RCH,49,78
Sun 28 Mar 3:10pm,Optus Stadium,27625,Round 2,2021,FRE,GWS,87,56
Sun 28 Mar 3:20pm,Marvel Stadium,21391,Round 2,2021,WBD,WCE,100,93
Thu 1 Apr 7:40pm,Marvel Stadium,28057,Round 3,2021,COL,BRL,72,73
Fri 2 Apr 4:20pm,Marvel Stadium,28483,Round 3,2021,NTH,WBD,39,167
Fri 2 Apr 7:20pm,Adelaide Oval,30175,Round 3,2021,ADE,GCS,95,85
Sat 3 Apr 1:45pm,MCG,43637,Round 3,2021,RCH,SYD,72,117
Sat 3 Apr 4:35pm,Marvel Stadium,29234,Round 3,2021,ESS,STK,143,68
Sat 3 Apr 5:10pm,Optus Stadium,42090,Round 3,2021,WCE,POR,108,71
Sun 4 Apr 3:20pm,Marvel Stadium,24551,Round 3,2021,CAR,FRE,109,64
Sun 4 Apr 6:10pm,Manuka Oval,9563,Round 3,2021,GWS,MEL,68,102
Mon 5 Apr 3:20pm,MCG,50030,Round 3,2021,GEE,HAW,69,64
Thu 8 Apr 7:20pm,SCG,28039,Round 4,2021,SYD,ESS,83,80
Fri 9 Apr 7:20pm,Adelaide Oval,33742,Round 4,2021,POR,RCH,79,77
Sat 10 Apr 1:45pm,Mars Stadium,7387,Round 4,2021,WBD,BRL,73,54
Sat 10 Apr 4:35pm,Marvel Stadium,16710,Round 4,2021,STK,WCE,102,82
Sat 10 Apr 7:25pm,MCG,29866,Round 4,2021,COL,GWS,60,90
Sat 10 Apr 7:25pm,Heritage Bank Stadium,11618,Round 4,2021,GCS,CAR,59,70
Sun 11 Apr 1:10pm,Marvel Stadium,13479,Round 4,2021,NTH,ADE,68,109
Sun 11 Apr 2:40pm,Optus Stadium,29490,Round 4,2021,FRE,HAW,96,81
Sun 11 Apr 3:20pm,MCG,33728,Round 4,2021,MEL,GEE,85,60
Thu 15 Apr 7:20pm,Marvel Stadium,32056,Round 5,2021,STK,RCH,48,134
Fri 16 Apr 6:10pm,Optus Stadium,54159,Round 5,2021,WCE,COL,103,76
Sat 17 Apr 1:45pm,Marvel Stadium,18920,Round 5,2021,WBD,GCS,118,56
Sat 17 Apr 4:35pm,SCG,33541,Round 5,2021,SYD,GWS,69,71
Sat 17 Apr 7:25pm,MCG,32893,Round 5,2021,CAR,POR,68,96
Sat 17 Apr 7:25pm,Gabba,23544,Round 5,2021,BRL,ESS,102,45
Sun 18 Apr 12:40pm,Adelaide Oval,31454,Round 5,2021,ADE,FRE,72,84
Sun 18 Apr 3:20pm,MCG,36337,Round 5,2021,HAW,MEL,54,104
Sun 18 Apr 4:40pm,GMHBA Stadium,21282,Round 5,2021,GEE,NTH,77,47
Fri 23 Apr 7:20pm,Manuka Oval,10064,Round 6,2021,GWS,WBD,65,104
Sat 24 Apr 1:45pm,Heritage Bank Stadium,9819,Round 6,2021,GCS,SYD,100,60
Sat 24 Apr 1:45pm,GMHBA Stadium,21282,Round 6,2021,GEE,WCE,136,39
Sat 24 Apr 4:35pm,Marvel Stadium,29576,Round 6,2021,CAR,BRL,85,103
Sat 24 Apr 6:10pm,Optus Stadium,,Round 6,2021,FRE,NTH,99,48
Sat 24 Apr 7:25pm,MCG,56418,Round 6,2021,MEL,RCH,82,48
Sun 25 Apr 12:30pm,UTAS Stadium,9007,Round 6,2021,HAW,ADE,102,99
Sun 25 Apr 3:20pm,MCG,78113,Round 6,2021,COL,ESS,85,109
Sun 25 Apr 6:10pm,Adelaide Oval,33125,Round 6,2021,POR,STK,93,39
Fri 30 Apr 7:50pm,MCG,52402,Round 7,2021,RCH,WBD,77,55
Sat 1 May 1:40pm,Adelaide Oval,28853,Round 7,2021,ADE,GWS,39,106
Sat 1 May 1:45pm,MCG,24397,Round 7,2021,COL,GCS,55,79
Sat 1 May 4:35pm,Marvel Stadium,26433,Round 7,2021,STK,HAW,128,59
Sat 1 May 7:25pm,SCG,29123,Round 7,2021,SYD,GEE,90,88
Sat 1 May 7:25pm,Gabba,20007,Round 7,2021,BRL,POR,93,44
Sun 2 May 1:10pm,Blundstone Arena,6009,Round 7,2021,NTH,MEL,73,103
Sun 2 May 2:40pm,Optus Stadium,,Round 7,2021,WCE,FRE,132,73
Sun 2 May 3:20pm,MCG,57447,Round 7,2021,ESS,CAR,107,123
Fri 7 May 7:50pm,MCG,54857,Round 8,2021,RCH,GEE,63,126
Sat 8 May 1:45pm,Heritage Bank Stadium,9271,Round 8,2021,GCS,STK,54,63
Sat 8 May 2:10pm,GIANTS Stadium,8526,Round 8,2021,GWS,ESS,107,105
Sat 8 May 4:35pm,Marvel Stadium,22329,Round 8,2021,NTH,COL,76,94
Sat 8 May 7:10pm,Adelaide Oval,43069,Round 8,2021,POR,ADE,87,38
Sat 8 May 7:25pm,MCG,35567,Round 8,2021,MEL,SYD,67,58
Sun 9 May 1:10pm,MCG,15277,Round 8,2021,HAW,WCE,60,98
Sun 9 May 3:20pm,Marvel Stadium,27663,Round 8,2021,WBD,CAR,107,91
Sun 9 May 4:40pm,Gabba,15403,Round 8,2021,BRL,FRE,95,71
Fri 14 May 7:50pm,Marvel Stadium,26712,Round 9,2021,STK,GEE,47,68
Sat 15 May 1:45pm,SCG,31448,Round 9,2021,SYD,COL,72,42
Sat 15 May 2:10pm,UTAS Stadium,9121,Round 9,2021,HAW,NTH,80,87
Sat 15 May 4:35pm,Heritage Bank Stadium,12636,Round 9,2021,GCS,BRL,51,124
Sat 15 May 7:10pm,Adelaide Oval,32787,Round 9,2021,POR,WBD,77,96
Sat 15 May 7:25pm,Marvel Stadium,18798,Round 9,2021,RCH,GWS,87,83
Sun 16 May 1:10pm,Marvel Stadium,26357,Round 9,2021,ESS,FRE,68,61
Sun 16 May 2:40pm,Optus Stadium,43427,Round 9,2021,WCE,ADE,106,76
Sun 16 May 3:20pm,MCG,38581,Round 9,2021,MEL,CAR,94,68
Fri 21 May 7:50pm,Gabba,31127,Round 10,2021,BRL,RCH,102,74
Sat 22 May 1:45pm,MCG,45741,Round 10,2021,CAR,HAW,86,63
Sat 22 May 2:10pm,GMHBA Stadium,22055,Round 10,2021,GEE,GCS,91,57
Sat 22 May 4:05pm,Adelaide Oval,31373,Round 10,2021,ADE,MEL,96,95
Sat 22 May 5:40pm,Optus Stadium,29134,Round 10,2021,FRE,SYD,86,84
Sat 22 May 7:25pm,Marvel Stadium,28720,Round 10,2021,WBD,STK,144,33
Sun 23 May 1:10pm,GIANTS Stadium,9046,Round 10,2021,GWS,WCE,93,77
Sun 23 May 3:20pm,MCG,23415,Round 10,2021,COL,POR,58,59
Sun 23 May 4:40pm,Marvel Stadium,33121,Round 10,2021,ESS,NTH,141,69
Fri 28 May 7:50pm,Marvel Stadium,,Round 11,2021,WBD,MEL,59,87
Sat 29 May 1:45pm,MCG,,Round 11,2021,COL,GEE,51,61
Sat 29 May 2:10pm,Gabba,22038,Round 11,2021,BRL,GWS,129,65
Sat 29 May 4:35pm,Marvel Stadium,,Round 11,2021,STK,NTH,88,68
Sat 29 May 5:40pm,Optus Stadium,41883,Round 11,2021,WCE,ESS,71,87
Sat 29 May 7:40pm,SCG,1241,Round 11,2021,GCS,HAW,113,76
Sun 30 May 2:10pm,GIANTS Stadium,4236,Round 11,2021,RCH,ADE,111,83
Sun 30 May 3:20pm,SCG,29882,Round 11,2021,SYD,CAR,100,78
Sun 30 May 4:50pm,Adelaide Oval,26759,Round 11,2021,POR,FRE,115,69
Fri 4 Jun 7:50pm,GIANTS Stadium,3772,Round 12,2021,MEL,BRL,97,75
Sat 5 Jun 1:45pm,SCG,19020,Round 12,2021,SYD,STK,92,83
Sat 5 Jun 4:05pm,Adelaide Oval,30446,Round 12,2021,ADE,COL,73,78
Sat 5 Jun 5:40pm,Optus Stadium,55656,Round 12,2021,ESS,RCH,84,123
Sun 6 Jun 3:20pm,SCG,5137,Round 12,2021,CAR,WCE,73,95
Sun 6 Jun 4:40pm,Optus Stadium,32875,Round 12,2021,FRE,WBD,65,93
Thu 10 Jun 7:10pm,Adelaide Oval,28718,Round 13,2021,POR,GEE,91,112
Fri 11 Jun 7:50pm,SCG,25904,Round 13,2021,SYD,HAW,51,89
Sat 12 Jun 2:15pm,Optus Stadium,27318,Round 13,2021,FRE,GCS,76,49
Sat 12 Jun 7:25pm,Cazaly's Stadium,5969,Round 13,2021,STK,ADE,60,66
Sun 13 Jun 3:20pm,Blundstone Arena,3462,Round 13,2021,NTH,GWS,94,94
Sun 13 Jun 5:20pm,Optus Stadium,50834,Round 13,2021,WCE,RCH,85,81
Mon 14 Jun 3:20pm,SCG,16453,Round 13,2021,MEL,COL,63,80
Fri 18 Jun 7:50pm,GMHBA Stadium,6583,Round 14,2021,GEE,WBD,83,78
Sat 19 Jun 1:45pm,Heritage Bank Stadium,7117,Round 14,2021,GCS,POR,31,81
Sat 19 Jun 4:35pm,Blundstone Arena,5060,Round 14,2021,NTH,BRL,45,68
Sat 19 Jun 7:25pm,GIANTS Stadium,7035,Round 14,2021,GWS,CAR,102,66
Sun 20 Jun 3:20pm,UTAS Stadium,14834,Round 14,2021,HAW,ESS,73,86
Thu 24 Jun 7:30pm,Gabba,29024,Round 15,2021,BRL,GEE,94,50
Fri 25 Jun 7:50pm,MCG,14787,Round 15,2021,RCH,STK,22,62
Sat 26 Jun 1:45pm,Marvel Stadium,11570,Round 15,2021,COL,FRE,79,91
Sat 26 Jun 1:45pm,Blundstone Arena,6719,Round 15,2021,NTH,GCS,72,63
Sat 26 Jun 4:05pm,Adelaide Oval,29631,Round 15,2021,POR,SYD,81,71
Sat 26 Jun 7:25pm,MCG,19414,Round 15,2021,ESS,MEL,57,68
Sun 27 Jun 1:10pm,MCG,9897,Round 15,2021,GWS,HAW,72,90
Sun 27 Jun 1:20pm,Optus Stadium,,Round 15,2021,WCE,WBD,43,98
Sun 27 Jun 4:10pm,Marvel Stadium,14930,Round 15,2021,CAR,ADE,83,73
Thu 1 Jul 7:20pm,Marvel Stadium,9327,Round 16,2021,GCS,RCH,77,67
Fri 2 Jul 7:50pm,GMHBA Stadium,15579,Round 16,2021,GEE,ESS,98,57
Sat 3 Jul 1:45pm,MCG,16963,Round 16,2021,MEL,GWS,55,64
Sat 3 Jul 4:05pm,Adelaide Oval,16178,Round 16,2021,ADE,BRL,59,111
Sat 3 Jul 7:40pm,Marvel Stadium,18251,Round 16,2021,HAW,POR,53,87
Sat 3 Jul 7:40pm,MCG,12103,Round 16,2021,FRE,CAR,64,80
Sun 4 Jul 1:10pm,GMHBA Stadium,9520,Round 16,2021,SYD,WCE,118,26
Sun 4 Jul 3:20pm,MCG,18082,Round 16,2021,COL,STK,61,70
Sun 4 Jul 4:40pm,Marvel Stadium,18216,Round 16,2021,WBD,NTH,108,79
Thu 8 Jul 7:10pm,Adelaide Oval,30908,Round 17,2021,POR,MEL,55,86
Fri 9 Jul 7:50pm,Marvel Stadium,23604,Round 17,2021,ESS,ADE,84,21
