Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 28 Mar,MCG,65316,Round 1,2002,RCH,COL,155,118
Sat 30 Mar,Marvel Stadium,33359,Round 1,2002,STK,CAR,89,65
Sat 30 Mar,MCG,42746,Round 1,2002,GEE,ESS,76,126
Sat 30 Mar,AAMI Stadium,28578,Round 1,2002,POR,NTH,73,83
Sun 31 Mar,SCG,24052,Round 1,2002,SYD,BRL,87,110
Sun 31 Mar,Domain Stadium,39467,Round 1,2002,WCE,FRE,137,118
Sun 31 Mar,Marvel Stadium,18475,Round 1,2002,WBD,ADE,93,112
Mon 1 Apr,MCG,43484,Round 1,2002,HAW,MEL,103,129
Fri 5 Apr,MCG,67453,Round 2,2002,ESS,RCH,112,60
Sat 6 Apr,Princes Park,22435,Round 2,2002,CAR,SYD,33,111
Sat 6 Apr,Marvel Stadium,25985,Round 2,2002,NTH,WBD,110,97
Sat 6 Apr,MCG,29348,Round 2,2002,COL,WCE,120,119
Sat 6 Apr,AAMI Stadium,44386,Round 2,2002,ADE,GEE,110,79
Sun 7 Apr,Gabba,25660,Round 2,2002,BRL,HAW,148,46
Sun 7 Apr,Domain Stadium,21138,Round 2,2002,FRE,STK,76,73
Sun 7 Apr,MCG,19611,Round 2,2002,MEL,POR,109,82
Fri 12 Apr,MCG,63864,Round 3,2002,CAR,COL,75,55
Sat 13 Apr,MCG,37154,Round 3,2002,RCH,MEL,96,76
Sat 13 Apr,AAMI Stadium,42246,Round 3,2002,ADE,SYD,114,84
Sat 13 Apr,Marvel Stadium,27286,Round 3,2002,NTH,GEE,67,75
Sat 13 Apr,Gabba,35898,Round 3,2002,BRL,ESS,117,67
Sun 14 Apr,UTAS Stadium,15066,Round 3,2002,HAW,FRE,89,79
Sun 14 Apr,Domain Stadium,31854,Round 3,2002,WCE,WBD,113,81
Sun 14 Apr,Marvel Stadium,17641,Round 3,2002,STK,POR,56,139
Fri 19 Apr,Marvel Stadium,40322,Round 4,2002,ESS,ADE,122,81
Sat 20 Apr,MCG,48476,Round 4,2002,COL,HAW,104,63
Sat 20 Apr,Princes Park,9421,Round 4,2002,MEL,WCE,137,103
Sat 20 Apr,Marvel Stadium,23928,Round 4,2002,WBD,BRL,78,94
Sat 20 Apr,SCG,23775,Round 4,2002,SYD,NTH,103,100
Sun 21 Apr,AAMI Stadium,29486,Round 4,2002,POR,CAR,148,95
Sun 21 Apr,Domain Stadium,23571,Round 4,2002,FRE,RCH,138,72
Sun 21 Apr,GMHBA Stadium,23563,Round 4,2002,GEE,STK,166,44
Thu 25 Apr,MCG,84894,Round 5,2002,COL,ESS,66,33
Fri 26 Apr,Marvel Stadium,30789,Round 5,2002,WBD,MEL,81,104
