Date,Venue,Crowd,round,Home,Away,Home Score,Away Score,Disposals home,Kicks home,Handballs home,Goals home,Behinds home,Marks home,Clearances home,Tackles home,Contested Possessions home,Uncontested Possessions home,Hit Outs home,Contested Marks home,Marks Inside 50 home,Goal Assists home,Frees home,Frees Against home,Inside 50s home,Rebounds home,Clangers home,One Percenters home,Bounces home,Disposals away,Kicks away,Handballs away,Goals away,Behinds away,Marks away,Clearances away,Tackles away,Contested Possessions away,Uncontested Possessions away,Hit Outs away,Contested Marks away,Marks Inside 50 away,Goal Assists away,Frees away,Frees Against away,Inside 50s away,Rebounds away,Clangers away,One Percenters away,Bounces away
Sat 6 May 5:30pm,Optus Stadium,37160,R8,FRE,HAW,117,48,390.0,242.0,148.0,18.0,8.0,122.0,35.0,60.0,137.0,244.0,41.0,16.0,15.0,14.0,21.0,10.0,54.0,34.0,39.0,38.0,5.0,390.0,242.0,148.0,18.0,8.0,122.0,35.0,60.0,137.0,244.0,41.0,16.0,15.0,14.0,21.0,10.0,54.0,34.0,39.0,38.0,5.0
Sat 6 May 7:30pm,Manuka Oval,10039,R8,GWS,WBD,71,86,429.0,235.0,194.0,10.0,10.0,91.0,37.0,65.0,152.0,275.0,40.0,6.0,8.0,8.0,9.0,12.0,57.0,32.0,45.0,56.0,4.0,429.0,235.0,194.0,10.0,10.0,91.0,37.0,65.0,152.0,275.0,40.0,6.0,8.0,8.0,9.0,12.0,57.0,32.0,45.0,56.0,4.0
Sun 7 May 12:40pm,Adelaide Oval,36247,R8,POR,ESS,92,87,361.0,221.0,140.0,12.0,17.0,101.0,35.0,55.0,146.0,207.0,23.0,22.0,17.0,8.0,16.0,12.0,65.0,33.0,48.0,50.0,7.0,361.0,221.0,140.0,12.0,17.0,101.0,35.0,55.0,146.0,207.0,23.0,22.0,17.0,8.0,16.0,12.0,65.0,33.0,48.0,50.0,7.0
Sun 7 May 3:20pm,MCG,71463,R8,COL,SYD,77,48,354.0,222.0,132.0,11.0,9.0,72.0,35.0,52.0,138.0,195.0,46.0,9.0,13.0,5.0,24.0,10.0,56.0,37.0,44.0,52.0,2.0,354.0,222.0,132.0,11.0,9.0,72.0,35.0,52.0,138.0,195.0,46.0,9.0,13.0,5.0,24.0,10.0,56.0,37.0,44.0,52.0,2.0
Fri 12 May 6:40pm,Optus Stadium,36219,R9,WCE,GCS,43,113,293.0,172.0,121.0,6.0,4.0,75.0,30.0,83.0,116.0,172.0,40.0,8.0,7.0,3.0,22.0,14.0,31.0,47.0,51.0,55.0,7.0,293.0,172.0,121.0,6.0,4.0,75.0,30.0,83.0,116.0,172.0,40.0,8.0,7.0,3.0,22.0,14.0,31.0,47.0,51.0,55.0,7.0
Fri 12 May 7:20pm,MCG,58141,R9,RCH,GEE,102,78,342.0,234.0,108.0,16.0,4.0,103.0,32.0,62.0,129.0,204.0,38.0,10.0,13.0,11.0,21.0,14.0,56.0,46.0,66.0,59.0,5.0,342.0,234.0,108.0,16.0,4.0,103.0,32.0,62.0,129.0,204.0,38.0,10.0,13.0,11.0,21.0,14.0,56.0,46.0,66.0,59.0,5.0
Sat 13 May 1:45pm,SCG,28927,R9,SYD,FRE,86,103,344.0,201.0,143.0,13.0,5.0,90.0,36.0,64.0,143.0,208.0,29.0,11.0,6.0,5.0,23.0,26.0,43.0,45.0,56.0,57.0,7.0,344.0,201.0,143.0,13.0,5.0,90.0,36.0,64.0,143.0,208.0,29.0,11.0,6.0,5.0,23.0,26.0,43.0,45.0,56.0,57.0,7.0
Sat 13 May 2:10pm,Blundstone Arena,6310,R9,NTH,POR,65,135,347.0,189.0,158.0,10.0,3.0,76.0,41.0,62.0,139.0,201.0,63.0,8.0,9.0,9.0,17.0,21.0,42.0,38.0,62.0,43.0,1.0,347.0,189.0,158.0,10.0,3.0,76.0,41.0,62.0,139.0,201.0,63.0,8.0,9.0,9.0,17.0,21.0,42.0,38.0,62.0,43.0,1.0
Sat 13 May 4:35pm,MCG,39818,R9,HAW,MEL,49,103,386.0,181.0,205.0,7.0,4.0,72.0,33.0,58.0,133.0,249.0,23.0,8.0,5.0,5.0,14.0,10.0,41.0,49.0,58.0,49.0,11.0,386.0,181.0,205.0,7.0,4.0,72.0,33.0,58.0,133.0,249.0,23.0,8.0,5.0,5.0,14.0,10.0,41.0,49.0,58.0,49.0,11.0
Sat 13 May 7:25pm,Gabba,31898,R9,BRL,ESS,87,45,376.0,251.0,125.0,12.0,12.0,128.0,32.0,42.0,133.0,241.0,26.0,19.0,17.0,10.0,18.0,12.0,69.0,31.0,51.0,47.0,3.0,376.0,251.0,125.0,12.0,12.0,128.0,32.0,42.0,133.0,241.0,26.0,19.0,17.0,10.0,18.0,12.0,69.0,31.0,51.0,47.0,3.0
Sat 13 May 7:30pm,Marvel Stadium,42756,R9,CAR,WBD,59,79,367.0,225.0,142.0,8.0,9.0,86.0,36.0,51.0,149.0,213.0,53.0,9.0,14.0,7.0,19.0,15.0,50.0,41.0,54.0,68.0,4.0,367.0,225.0,142.0,8.0,9.0,86.0,36.0,51.0,149.0,213.0,53.0,9.0,14.0,7.0,19.0,15.0,50.0,41.0,54.0,68.0,4.0
Sun 14 May 12:40pm,Adelaide Oval,33805,R9,ADE,STK,121,69,441.0,255.0,186.0,19.0,6.0,126.0,43.0,61.0,152.0,289.0,48.0,11.0,12.0,12.0,14.0,18.0,53.0,39.0,66.0,52.0,3.0,441.0,255.0,186.0,19.0,6.0,126.0,43.0,61.0,152.0,289.0,48.0,11.0,12.0,12.0,14.0,18.0,53.0,39.0,66.0,52.0,3.0
Fri 19 May 7:20pm,Adelaide Oval,37565,R10,POR,MEL,80,76,356.0,218.0,138.0,11.0,13.0,70.0,40.0,75.0,144.0,188.0,23.0,3.0,17.0,7.0,24.0,19.0,61.0,37.0,62.0,66.0,1.0,356.0,218.0,138.0,11.0,13.0,70.0,40.0,75.0,144.0,188.0,23.0,3.0,17.0,7.0,24.0,19.0,61.0,37.0,62.0,66.0,1.0
Sat 20 May 1:45pm,Marvel Stadium,21003,R10,NTH,SYD,90,93,364.0,206.0,158.0,14.0,4.0,89.0,47.0,72.0,130.0,237.0,53.0,7.0,13.0,9.0,16.0,22.0,55.0,32.0,50.0,44.0,2.0,364.0,206.0,158.0,14.0,4.0,89.0,47.0,72.0,130.0,237.0,53.0,7.0,13.0,9.0,16.0,22.0,55.0,32.0,50.0,44.0,2.0
Sat 20 May 2:10pm,Mars Stadium,10114,R10,WBD,ADE,85,40,399.0,225.0,174.0,11.0,17.0,77.0,40.0,77.0,164.0,231.0,35.0,7.0,8.0,5.0,19.0,12.0,54.0,36.0,43.0,51.0,0.0,399.0,225.0,174.0,11.0,17.0,77.0,40.0,77.0,164.0,231.0,35.0,7.0,8.0,5.0,19.0,12.0,54.0,36.0,43.0,51.0,0.0
Sat 20 May 2:35pm,Optus Stadium,45811,R10,FRE,GEE,106,77,382.0,224.0,158.0,16.0,8.0,105.0,47.0,70.0,125.0,249.0,56.0,10.0,15.0,10.0,16.0,15.0,45.0,41.0,45.0,32.0,5.0,382.0,224.0,158.0,16.0,8.0,105.0,47.0,70.0,125.0,249.0,56.0,10.0,15.0,10.0,16.0,15.0,45.0,41.0,45.0,32.0,5.0
Sat 20 May 7:30pm,Gabba,23286,R10,BRL,GCS,107,64,371.0,253.0,118.0,16.0,9.0,127.0,40.0,54.0,140.0,228.0,36.0,11.0,13.0,11.0,20.0,15.0,60.0,29.0,54.0,49.0,3.0,371.0,253.0,118.0,16.0,9.0,127.0,40.0,54.0,140.0,228.0,36.0,11.0,13.0,11.0,20.0,15.0,60.0,29.0,54.0,49.0,3.0
Sat 20 May 7:40pm,MCG,78300,R10,ESS,RCH,71,70,421.0,271.0,150.0,10.0,8.0,154.0,29.0,53.0,125.0,294.0,30.0,12.0,11.0,10.0,9.0,10.0,56.0,48.0,57.0,56.0,5.0,421.0,271.0,150.0,10.0,8.0,154.0,29.0,53.0,125.0,294.0,30.0,12.0,11.0,10.0,9.0,10.0,56.0,48.0,57.0,56.0,5.0
Sun 21 May 1:10pm,UTAS Stadium,9135,R10,HAW,WCE,142,26,448.0,233.0,215.0,22.0,7.0,105.0,44.0,90.0,154.0,299.0,64.0,10.0,18.0,17.0,15.0,17.0,70.0,25.0,61.0,35.0,14.0,448.0,233.0,215.0,22.0,7.0,105.0,44.0,90.0,154.0,299.0,64.0,10.0,18.0,17.0,15.0,17.0,70.0,25.0,61.0,35.0,14.0
Sun 21 May 3:20pm,MCG,80354,R10,CAR,COL,57,85,374.0,204.0,170.0,7.0,10.0,79.0,38.0,57.0,127.0,237.0,31.0,13.0,9.0,4.0,22.0,18.0,51.0,37.0,51.0,41.0,4.0,374.0,204.0,170.0,7.0,10.0,79.0,38.0,57.0,127.0,237.0,31.0,13.0,9.0,4.0,22.0,18.0,51.0,37.0,51.0,41.0,4.0
Fri 26 May 7:50pm,SCG,36310,R11,SYD,CAR,77,51,382.0,231.0,151.0,11.0,8.0,87.0,31.0,73.0,143.0,223.0,32.0,16.0,11.0,9.0,13.0,18.0,52.0,51.0,57.0,54.0,7.0,382.0,231.0,151.0,11.0,8.0,87.0,31.0,73.0,143.0,223.0,32.0,16.0,11.0,9.0,13.0,18.0,52.0,51.0,57.0,54.0,7.0
Sat 27 May 1:45pm,Marvel Stadium,32022,R11,STK,HAW,78,88,355.0,224.0,131.0,12.0,4.0,100.0,33.0,53.0,117.0,220.0,18.0,9.0,10.0,8.0,21.0,16.0,43.0,44.0,57.0,36.0,3.0,355.0,224.0,131.0,12.0,4.0,100.0,33.0,53.0,117.0,220.0,18.0,9.0,10.0,8.0,21.0,16.0,43.0,44.0,57.0,36.0,3.0
Sat 27 May 2:10pm,MCG,29154,R11,MEL,FRE,72,79,323.0,177.0,146.0,10.0,10.0,63.0,37.0,75.0,157.0,172.0,56.0,14.0,11.0,6.0,15.0,13.0,58.0,39.0,55.0,43.0,5.0,323.0,177.0,146.0,10.0,10.0,63.0,37.0,75.0,157.0,172.0,56.0,14.0,11.0,6.0,15.0,13.0,58.0,39.0,55.0,43.0,5.0
Sat 27 May 4:35pm,GMHBA Stadium,21349,R11,GEE,GWS,74,81,355.0,205.0,150.0,10.0,9.0,73.0,36.0,62.0,155.0,193.0,36.0,14.0,9.0,6.0,12.0,15.0,48.0,38.0,49.0,46.0,2.0,355.0,205.0,150.0,10.0,9.0,73.0,36.0,62.0,155.0,193.0,36.0,14.0,9.0,6.0,12.0,15.0,48.0,38.0,49.0,46.0,2.0
Sat 27 May 5:40pm,Optus Stadium,39269,R11,WCE,ESS,46,96,367.0,205.0,162.0,6.0,7.0,116.0,28.0,42.0,104.0,254.0,37.0,7.0,12.0,6.0,17.0,16.0,48.0,32.0,52.0,32.0,5.0,367.0,205.0,162.0,6.0,7.0,116.0,28.0,42.0,104.0,254.0,37.0,7.0,12.0,6.0,17.0,16.0,48.0,32.0,52.0,32.0,5.0
Sat 27 May 6:55pm,TIO Stadium,9316,R11,GCS,WBD,84,77,322.0,237.0,85.0,13.0,5.0,62.0,42.0,71.0,158.0,147.0,55.0,9.0,8.0,9.0,13.0,22.0,48.0,55.0,79.0,54.0,1.0,322.0,237.0,85.0,13.0,5.0,62.0,42.0,71.0,158.0,147.0,55.0,9.0,8.0,9.0,13.0,22.0,48.0,55.0,79.0,54.0,1.0
Sun 28 May 1:10pm,MCG,30357,R11,RCH,POR,67,77,358.0,204.0,154.0,9.0,12.0,71.0,29.0,57.0,131.0,214.0,37.0,10.0,13.0,9.0,14.0,23.0,45.0,56.0,72.0,78.0,12.0,358.0,204.0,154.0,9.0,12.0,71.0,29.0,57.0,131.0,214.0,37.0,10.0,13.0,9.0,14.0,23.0,45.0,56.0,72.0,78.0,12.0
Sun 28 May 3:20pm,Marvel Stadium,39467,R11,COL,NTH,105,70,356.0,204.0,152.0,16.0,7.0,92.0,33.0,67.0,127.0,223.0,41.0,14.0,17.0,11.0,16.0,13.0,53.0,32.0,60.0,40.0,7.0,356.0,204.0,152.0,16.0,7.0,92.0,33.0,67.0,127.0,223.0,41.0,14.0,17.0,11.0,16.0,13.0,53.0,32.0,60.0,40.0,7.0
Fri 2 Jun 7:50pm,MCG,49872,R12,MEL,CAR,61,44,378.0,215.0,163.0,8.0,13.0,92.0,38.0,54.0,148.0,237.0,33.0,16.0,15.0,6.0,13.0,22.0,59.0,33.0,56.0,45.0,4.0,378.0,215.0,163.0,8.0,13.0,92.0,38.0,54.0,148.0,237.0,33.0,16.0,15.0,6.0,13.0,22.0,59.0,33.0,56.0,45.0,4.0
Sat 3 Jun 1:15pm,Adelaide Oval,34234,R12,POR,HAW,151,96,356.0,230.0,126.0,23.0,12.0,99.0,42.0,60.0,135.0,215.0,25.0,13.0,15.0,18.0,14.0,17.0,71.0,37.0,45.0,59.0,4.0,356.0,230.0,126.0,23.0,12.0,99.0,42.0,60.0,135.0,215.0,25.0,13.0,15.0,18.0,14.0,17.0,71.0,37.0,45.0,59.0,4.0
Sat 3 Jun 2:35pm,Optus Stadium,41713,R12,WCE,COL,57,120,392.0,224.0,168.0,8.0,6.0,107.0,43.0,48.0,132.0,249.0,23.0,11.0,5.0,7.0,24.0,22.0,55.0,37.0,70.0,29.0,4.0,392.0,224.0,168.0,8.0,6.0,107.0,43.0,48.0,132.0,249.0,23.0,11.0,5.0,7.0,24.0,22.0,55.0,37.0,70.0,29.0,4.0
Sat 3 Jun 7:00pm,TIO Stadium,10772,R12,GCS,ADE,112,87,309.0,219.0,90.0,16.0,11.0,60.0,46.0,54.0,174.0,126.0,56.0,11.0,6.0,7.0,29.0,23.0,61.0,44.0,52.0,54.0,1.0,309.0,219.0,90.0,16.0,11.0,60.0,46.0,54.0,174.0,126.0,56.0,11.0,6.0,7.0,29.0,23.0,61.0,44.0,52.0,54.0,1.0
Sat 3 Jun 7:25pm,Marvel Stadium,41944,R12,WBD,GEE,75,97,400.0,229.0,171.0,10.0,14.0,111.0,37.0,83.0,136.0,267.0,42.0,13.0,15.0,10.0,12.0,18.0,51.0,32.0,57.0,50.0,6.0,400.0,229.0,171.0,10.0,14.0,111.0,37.0,83.0,136.0,267.0,42.0,13.0,15.0,10.0,12.0,18.0,51.0,32.0,57.0,50.0,6.0
Sun 4 Jun 1:10pm,GIANTS Stadium,9723,R12,GWS,RCH,104,110,385.0,214.0,171.0,15.0,10.0,81.0,38.0,75.0,142.0,227.0,32.0,9.0,9.0,10.0,15.0,10.0,70.0,31.0,56.0,42.0,10.0,385.0,214.0,171.0,15.0,10.0,81.0,38.0,75.0,142.0,227.0,32.0,9.0,9.0,10.0,15.0,10.0,70.0,31.0,56.0,42.0,10.0
Thu 8 Jun 7:10pm,SCG,30123,R13,SYD,STK,66,80,370.0,215.0,155.0,9.0,8.0,76.0,46.0,60.0,157.0,208.0,33.0,8.0,5.0,2.0,20.0,22.0,54.0,39.0,74.0,62.0,3.0,370.0,215.0,155.0,9.0,8.0,76.0,46.0,60.0,157.0,208.0,33.0,8.0,5.0,2.0,20.0,22.0,54.0,39.0,74.0,62.0,3.0
Fri 9 Jun 7:50pm,Marvel Stadium,23110,R13,WBD,POR,85,107,381.0,213.0,168.0,13.0,7.0,91.0,46.0,61.0,133.0,244.0,27.0,7.0,12.0,11.0,19.0,20.0,51.0,38.0,59.0,51.0,5.0,381.0,213.0,168.0,13.0,7.0,91.0,46.0,61.0,133.0,244.0,27.0,7.0,12.0,11.0,19.0,20.0,51.0,38.0,59.0,51.0,5.0
Sat 10 Jun 1:45pm,MCG,35869,R13,HAW,BRL,98,73,426.0,215.0,211.0,15.0,5.0,110.0,27.0,50.0,137.0,293.0,36.0,12.0,10.0,10.0,16.0,20.0,62.0,34.0,60.0,40.0,12.0,426.0,215.0,211.0,15.0,5.0,110.0,27.0,50.0,137.0,293.0,36.0,12.0,10.0,10.0,16.0,20.0,62.0,34.0,60.0,40.0,12.0
Sat 10 Jun 4:05pm,Adelaide Oval,39450,R13,ADE,WCE,174,52,424.0,242.0,182.0,27.0,12.0,95.0,44.0,48.0,164.0,245.0,49.0,17.0,18.0,19.0,29.0,19.0,65.0,25.0,52.0,37.0,3.0,424.0,242.0,182.0,27.0,12.0,95.0,44.0,48.0,164.0,245.0,49.0,17.0,18.0,19.0,29.0,19.0,65.0,25.0,52.0,37.0,3.0
Sat 10 Jun 5:25pm,Optus Stadium,46843,R13,FRE,RCH,70,85,344.0,199.0,145.0,10.0,7.0,74.0,40.0,76.0,137.0,202.0,40.0,9.0,9.0,4.0,18.0,7.0,52.0,45.0,47.0,62.0,1.0,344.0,199.0,145.0,10.0,7.0,74.0,40.0,76.0,137.0,202.0,40.0,9.0,9.0,4.0,18.0,7.0,52.0,45.0,47.0,62.0,1.0
Sun 11 Jun 3:20pm,Blundstone Arena,5025,R13,NTH,GWS,75,103,375.0,202.0,173.0,11.0,6.0,81.0,31.0,52.0,129.0,239.0,29.0,7.0,11.0,7.0,15.0,15.0,47.0,46.0,61.0,58.0,4.0,375.0,202.0,173.0,11.0,6.0,81.0,31.0,52.0,129.0,239.0,29.0,7.0,11.0,7.0,15.0,15.0,47.0,46.0,61.0,58.0,4.0
Sun 11 Jun 7:15pm,MCG,83638,R13,CAR,ESS,52,86,388.0,201.0,187.0,6.0,12.0,78.0,26.0,33.0,129.0,260.0,29.0,5.0,9.0,4.0,18.0,32.0,56.0,28.0,68.0,38.0,6.0,388.0,201.0,187.0,6.0,12.0,78.0,26.0,33.0,129.0,260.0,29.0,5.0,9.0,4.0,18.0,32.0,56.0,28.0,68.0,38.0,6.0
Thu 15 Jun 7:10pm,Adelaide Oval,36316,R14,POR,GEE,110,72,325.0,201.0,124.0,16.0,11.0,79.0,45.0,58.0,133.0,191.0,43.0,10.0,17.0,13.0,18.0,19.0,59.0,32.0,52.0,46.0,3.0,325.0,201.0,124.0,16.0,11.0,79.0,45.0,58.0,133.0,191.0,43.0,10.0,17.0,13.0,18.0,19.0,59.0,32.0,52.0,46.0,3.0
Fri 16 Jun 7:50pm,Gabba,28561,R14,BRL,SYD,97,81,339.0,209.0,130.0,13.0,17.0,68.0,48.0,59.0,156.0,179.0,53.0,14.0,12.0,9.0,23.0,18.0,66.0,44.0,50.0,56.0,2.0,339.0,209.0,130.0,13.0,17.0,68.0,48.0,59.0,156.0,179.0,53.0,14.0,12.0,9.0,23.0,18.0,66.0,44.0,50.0,56.0,2.0
Sat 17 Jun 4:35pm,GIANTS Stadium,8633,R14,GWS,FRE,106,36,383.0,227.0,156.0,16.0,10.0,110.0,39.0,63.0,140.0,238.0,33.0,9.0,21.0,13.0,16.0,13.0,68.0,38.0,51.0,49.0,5.0,383.0,227.0,156.0,16.0,10.0,110.0,39.0,63.0,140.0,238.0,33.0,9.0,21.0,13.0,16.0,13.0,68.0,38.0,51.0,49.0,5.0
Sat 17 Jun 7:25pm,MCG,62686,R14,RCH,STK,90,70,394.0,244.0,150.0,13.0,10.0,59.0,47.0,68.0,162.0,209.0,55.0,6.0,7.0,8.0,12.0,25.0,58.0,50.0,89.0,83.0,2.0,394.0,244.0,150.0,13.0,10.0,59.0,47.0,68.0,162.0,209.0,55.0,6.0,7.0,8.0,12.0,25.0,58.0,50.0,89.0,83.0,2.0
Sun 18 Jun 1:10pm,MCG,29602,R14,CAR,GCS,120,61,378.0,221.0,157.0,18.0,9.0,95.0,45.0,69.0,135.0,232.0,32.0,12.0,13.0,16.0,21.0,19.0,54.0,43.0,53.0,47.0,10.0,378.0,221.0,157.0,18.0,9.0,95.0,45.0,69.0,135.0,232.0,32.0,12.0,13.0,16.0,21.0,19.0,54.0,43.0,53.0,47.0,10.0
