Date,Venue,Crowd,round,Home,Away,Home Score,Away Score,Disposals home,Kicks home,Handballs home,Goals home,Behinds home,Marks home,Clearances home,Tackles home,Contested Possessions home,Uncontested Possessions home,Hit Outs home,Contested Marks home,Marks Inside 50 home,Goal Assists home,Frees home,Frees Against home,Inside 50s home,Rebounds home,Clangers home,One Percenters home,Bounces home,Disposals away,Kicks away,Handballs away,Goals away,Behinds away,Marks away,Clearances away,Tackles away,Contested Possessions away,Uncontested Possessions away,Hit Outs away,Contested Marks away,Marks Inside 50 away,Goal Assists away,Frees away,Frees Against away,Inside 50s away,Rebounds away,Clangers away,One Percenters away,Bounces away
Sat 25 Mar 1:45pm,MCG,60744,R2,COL,POR,135,64,352.0,209.0,143.0,21.0,7.0,79.0,39.0,56.0,155.0,197.0,38.0,15.0,14.0,16.0,34.0,15.0,57.0,38.0,53.0,39.0,7.0,352.0,209.0,143.0,21.0,7.0,79.0,39.0,56.0,155.0,197.0,38.0,15.0,14.0,16.0,34.0,15.0,57.0,38.0,53.0,39.0,7.0
Sat 25 Mar 4:05pm,Adelaide Oval,38492,R2,ADE,RCH,76,108,358.0,216.0,142.0,10.0,13.0,94.0,33.0,60.0,139.0,213.0,35.0,15.0,12.0,9.0,20.0,16.0,53.0,33.0,54.0,47.0,9.0,358.0,216.0,142.0,10.0,13.0,94.0,33.0,60.0,139.0,213.0,35.0,15.0,12.0,9.0,20.0,16.0,53.0,33.0,54.0,47.0,9.0
Sat 25 Mar 4:30pm,Optus Stadium,40487,R2,FRE,NTH,72,73,377.0,216.0,161.0,10.0,8.0,101.0,30.0,59.0,140.0,241.0,45.0,6.0,10.0,4.0,34.0,23.0,53.0,34.0,57.0,42.0,1.0,377.0,216.0,161.0,10.0,8.0,101.0,30.0,59.0,140.0,241.0,45.0,6.0,10.0,4.0,34.0,23.0,53.0,34.0,57.0,42.0,1.0
Sat 25 Mar 7:25pm,Marvel Stadium,33294,R2,WBD,STK,41,92,363.0,210.0,153.0,5.0,9.0,111.0,36.0,61.0,120.0,250.0,32.0,12.0,9.0,4.0,16.0,21.0,37.0,42.0,50.0,46.0,2.0,363.0,210.0,153.0,5.0,9.0,111.0,36.0,61.0,120.0,250.0,32.0,12.0,9.0,4.0,16.0,21.0,37.0,42.0,50.0,46.0,2.0
Sun 26 Mar 1:10pm,SCG,37052,R2,SYD,HAW,118,37,372.0,225.0,147.0,17.0,15.0,101.0,28.0,56.0,140.0,228.0,22.0,13.0,18.0,14.0,20.0,17.0,58.0,38.0,50.0,35.0,7.0,372.0,225.0,147.0,17.0,15.0,101.0,28.0,56.0,140.0,228.0,22.0,13.0,18.0,14.0,20.0,17.0,58.0,38.0,50.0,35.0,7.0
Sun 26 Mar 3:20pm,Optus Stadium,44649,R2,WCE,GWS,100,81,373.0,216.0,157.0,14.0,10.0,84.0,37.0,43.0,125.0,231.0,33.0,7.0,15.0,10.0,19.0,20.0,58.0,39.0,58.0,43.0,12.0,373.0,216.0,157.0,14.0,10.0,84.0,37.0,43.0,125.0,231.0,33.0,7.0,15.0,10.0,19.0,20.0,58.0,39.0,58.0,43.0,12.0
Thu 30 Mar 7:20pm,Marvel Stadium,23665,R3,WBD,BRL,67,53,385.0,231.0,154.0,10.0,6.0,99.0,38.0,57.0,151.0,233.0,35.0,10.0,10.0,7.0,22.0,26.0,51.0,40.0,69.0,51.0,5.0,385.0,231.0,154.0,10.0,6.0,99.0,38.0,57.0,151.0,233.0,35.0,10.0,10.0,7.0,22.0,26.0,51.0,40.0,69.0,51.0,5.0
Fri 31 Mar 7:50pm,MCG,85241,R3,COL,RCH,63,49,400.0,229.0,171.0,8.0,10.0,65.0,37.0,61.0,161.0,220.0,31.0,9.0,10.0,8.0,20.0,27.0,59.0,33.0,75.0,75.0,4.0,400.0,229.0,171.0,8.0,10.0,65.0,37.0,61.0,161.0,220.0,31.0,9.0,10.0,8.0,20.0,27.0,59.0,33.0,75.0,75.0,4.0
Sat 1 Apr 1:45pm,UTAS Stadium,11007,R3,HAW,NTH,80,61,424.0,275.0,149.0,11.0,13.0,140.0,43.0,54.0,141.0,290.0,32.0,8.0,14.0,8.0,20.0,17.0,56.0,34.0,68.0,50.0,7.0,424.0,275.0,149.0,11.0,13.0,140.0,43.0,54.0,141.0,290.0,32.0,8.0,14.0,8.0,20.0,17.0,56.0,34.0,68.0,50.0,7.0
Sat 1 Apr 4:35pm,GIANTS Stadium,9691,R3,GWS,CAR,64,74,380.0,213.0,167.0,9.0,5.0,87.0,33.0,53.0,122.0,241.0,17.0,8.0,11.0,6.0,18.0,17.0,54.0,52.0,66.0,55.0,8.0,380.0,213.0,167.0,9.0,5.0,87.0,33.0,53.0,122.0,241.0,17.0,8.0,11.0,6.0,18.0,17.0,54.0,52.0,66.0,55.0,8.0
Sat 1 Apr 7:00pm,Adelaide Oval,48962,R3,POR,ADE,86,117,297.0,188.0,109.0,13.0,6.0,63.0,48.0,76.0,124.0,161.0,38.0,8.0,9.0,10.0,29.0,22.0,49.0,40.0,59.0,51.0,2.0,297.0,188.0,109.0,13.0,6.0,63.0,48.0,76.0,124.0,161.0,38.0,8.0,9.0,10.0,29.0,22.0,49.0,40.0,59.0,51.0,2.0
Sat 1 Apr 7:25pm,MCG,69255,R3,STK,ESS,92,74,404.0,242.0,162.0,14.0,7.0,119.0,29.0,49.0,139.0,253.0,32.0,15.0,10.0,11.0,20.0,18.0,52.0,37.0,63.0,49.0,5.0,404.0,242.0,162.0,14.0,7.0,119.0,29.0,49.0,139.0,253.0,32.0,15.0,10.0,11.0,20.0,18.0,52.0,37.0,63.0,49.0,5.0
Sun 2 Apr 2:10pm,Heritage Bank Stadium,13122,R3,GCS,GEE,73,54,345.0,210.0,135.0,10.0,13.0,83.0,39.0,53.0,145.0,191.0,38.0,15.0,12.0,7.0,15.0,14.0,49.0,45.0,72.0,49.0,6.0,345.0,210.0,135.0,10.0,13.0,83.0,39.0,53.0,145.0,191.0,38.0,15.0,12.0,7.0,15.0,14.0,49.0,45.0,72.0,49.0,6.0
Sun 2 Apr 3:20pm,Optus Stadium,56090,R3,FRE,WCE,108,67,362.0,193.0,169.0,16.0,8.0,80.0,40.0,65.0,130.0,226.0,69.0,9.0,16.0,14.0,18.0,21.0,63.0,44.0,54.0,46.0,5.0,362.0,193.0,169.0,16.0,8.0,80.0,40.0,65.0,130.0,226.0,69.0,9.0,16.0,14.0,18.0,21.0,63.0,44.0,54.0,46.0,5.0
Thu 6 Apr 7:35pm,Gabba,33565,R4,BRL,COL,116,83,344.0,215.0,129.0,18.0,7.0,87.0,46.0,43.0,137.0,190.0,47.0,7.0,16.0,12.0,19.0,22.0,54.0,44.0,71.0,46.0,0.0,344.0,215.0,129.0,18.0,7.0,87.0,46.0,43.0,137.0,190.0,47.0,7.0,16.0,12.0,19.0,22.0,54.0,44.0,71.0,46.0,0.0
Fri 7 Apr 4:20pm,Marvel Stadium,49062,R4,NTH,CAR,84,107,392.0,203.0,189.0,11.0,11.0,74.0,41.0,44.0,134.0,249.0,32.0,6.0,9.0,8.0,20.0,21.0,54.0,36.0,61.0,52.0,7.0,392.0,203.0,189.0,11.0,11.0,74.0,41.0,44.0,134.0,249.0,32.0,6.0,9.0,8.0,20.0,21.0,54.0,36.0,61.0,52.0,7.0
Sat 8 Apr 1:15pm,Adelaide Oval,33725,R4,ADE,FRE,111,72,380.0,222.0,158.0,17.0,7.0,87.0,35.0,55.0,151.0,224.0,34.0,11.0,12.0,12.0,22.0,28.0,51.0,41.0,63.0,53.0,3.0,380.0,222.0,158.0,17.0,7.0,87.0,35.0,55.0,151.0,224.0,34.0,11.0,12.0,12.0,22.0,28.0,51.0,41.0,63.0,53.0,3.0
Sat 8 Apr 4:35pm,MCG,56449,R4,RCH,WBD,84,89,392.0,218.0,174.0,12.0,8.0,72.0,26.0,80.0,145.0,232.0,45.0,8.0,8.0,8.0,17.0,20.0,48.0,51.0,77.0,64.0,1.0,392.0,218.0,174.0,12.0,8.0,72.0,26.0,80.0,145.0,232.0,45.0,8.0,8.0,8.0,17.0,20.0,48.0,51.0,77.0,64.0,1.0
Sat 8 Apr 7:30pm,SCG,31686,R4,SYD,POR,64,66,346.0,206.0,140.0,9.0,10.0,73.0,36.0,68.0,139.0,196.0,34.0,9.0,9.0,6.0,32.0,23.0,67.0,36.0,51.0,43.0,7.0,346.0,206.0,140.0,9.0,10.0,73.0,36.0,68.0,139.0,196.0,34.0,9.0,9.0,6.0,32.0,23.0,67.0,36.0,51.0,43.0,7.0
Sat 8 Apr 7:30pm,Marvel Stadium,21049,R4,STK,GCS,113,60,467.0,266.0,201.0,17.0,7.0,117.0,35.0,60.0,166.0,291.0,37.0,16.0,15.0,13.0,18.0,19.0,64.0,43.0,64.0,55.0,15.0,467.0,266.0,201.0,17.0,7.0,117.0,35.0,60.0,166.0,291.0,37.0,16.0,15.0,13.0,18.0,19.0,64.0,43.0,64.0,55.0,15.0
Sun 9 Apr 2:10pm,Marvel Stadium,28815,R4,ESS,GWS,88,75,381.0,223.0,158.0,11.0,19.0,86.0,34.0,55.0,148.0,231.0,41.0,14.0,11.0,10.0,11.0,6.0,61.0,38.0,42.0,66.0,9.0,381.0,223.0,158.0,11.0,19.0,86.0,34.0,55.0,148.0,231.0,41.0,14.0,11.0,10.0,11.0,6.0,61.0,38.0,42.0,66.0,9.0
Sun 9 Apr 3:20pm,Optus Stadium,42458,R4,WCE,MEL,63,126,336.0,179.0,157.0,9.0,7.0,75.0,31.0,68.0,132.0,206.0,26.0,4.0,8.0,7.0,16.0,22.0,38.0,38.0,63.0,39.0,5.0,336.0,179.0,157.0,9.0,7.0,75.0,31.0,68.0,132.0,206.0,26.0,4.0,8.0,7.0,16.0,22.0,38.0,38.0,63.0,39.0,5.0
Thu 13 Apr 7:10pm,Adelaide Oval,47395,R5,ADE,CAR,118,62,398.0,242.0,156.0,18.0,10.0,116.0,37.0,57.0,156.0,240.0,55.0,19.0,20.0,15.0,22.0,22.0,51.0,43.0,57.0,52.0,3.0,398.0,242.0,156.0,18.0,10.0,116.0,37.0,57.0,156.0,240.0,55.0,19.0,20.0,15.0,22.0,22.0,51.0,43.0,57.0,52.0,3.0
Fri 14 Apr 4:40pm,Norwood Oval,9329,R5,FRE,GCS,100,90,338.0,196.0,142.0,15.0,9.0,77.0,45.0,55.0,119.0,213.0,58.0,17.0,17.0,13.0,13.0,15.0,48.0,32.0,41.0,39.0,2.0,338.0,196.0,142.0,15.0,9.0,77.0,45.0,55.0,119.0,213.0,58.0,17.0,17.0,13.0,13.0,15.0,48.0,32.0,41.0,39.0,2.0
Fri 14 Apr 7:40pm,Adelaide Oval,42134,R5,RCH,SYD,78,122,381.0,217.0,164.0,11.0,8.0,85.0,36.0,48.0,139.0,235.0,32.0,11.0,12.0,6.0,15.0,16.0,56.0,46.0,76.0,55.0,3.0,381.0,217.0,164.0,11.0,8.0,85.0,36.0,48.0,139.0,235.0,32.0,11.0,12.0,6.0,15.0,16.0,56.0,46.0,76.0,55.0,3.0
Sat 15 Apr 12:40pm,Adelaide Hills,7329,R5,BRL,NTH,152,77,379.0,246.0,133.0,22.0,17.0,118.0,37.0,41.0,141.0,242.0,30.0,17.0,33.0,20.0,21.0,14.0,66.0,28.0,53.0,37.0,2.0,379.0,246.0,133.0,22.0,17.0,118.0,37.0,41.0,141.0,242.0,30.0,17.0,33.0,20.0,21.0,14.0,66.0,28.0,53.0,37.0,2.0
Sat 15 Apr 3:40pm,Adelaide Oval,33832,R5,ESS,MEL,104,77,380.0,225.0,155.0,15.0,11.0,89.0,33.0,71.0,157.0,214.0,39.0,11.0,15.0,9.0,19.0,23.0,57.0,43.0,57.0,58.0,2.0,380.0,225.0,155.0,15.0,11.0,89.0,33.0,71.0,157.0,214.0,39.0,11.0,15.0,9.0,19.0,23.0,57.0,43.0,57.0,58.0,2.0
Sat 15 Apr 7:20pm,Adelaide Oval,45115,R5,POR,WBD,70,56,323.0,217.0,106.0,10.0,8.0,70.0,39.0,75.0,152.0,166.0,37.0,8.0,8.0,4.0,23.0,24.0,57.0,41.0,69.0,70.0,2.0,323.0,217.0,106.0,10.0,8.0,70.0,39.0,75.0,152.0,166.0,37.0,8.0,8.0,4.0,23.0,24.0,57.0,41.0,69.0,70.0,2.0
Sun 16 Apr 12:40pm,Adelaide Oval,30120,R5,GEE,WCE,136,89,358.0,210.0,148.0,21.0,7.0,95.0,51.0,65.0,132.0,207.0,62.0,9.0,24.0,18.0,14.0,22.0,63.0,35.0,64.0,41.0,6.0,358.0,210.0,148.0,21.0,7.0,95.0,51.0,65.0,132.0,207.0,62.0,9.0,24.0,18.0,14.0,22.0,63.0,35.0,64.0,41.0,6.0
