Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 25 Mar 7:10pm,MCG,72010,Round 1,2010,RCH,CAR,64,120
Fri 26 Mar 7:40pm,MCG,57772,Round 1,2010,GEE,ESS,125,94
Sat 27 Mar 2:10pm,MCG,45615,Round 1,2010,MEL,HAW,61,117
Sat 27 Mar 7:10pm,Accor Stadium,31330,Round 1,2010,SYD,STK,88,96
Sat 27 Mar 7:30pm,Gabba,29201,Round 1,2010,BRL,WCE,114,82
Sun 28 Mar 12:40pm,AAMI Stadium,21205,Round 1,2010,POR,NTH,96,82
Sun 28 Mar 2:10pm,Marvel Stadium,49000,Round 1,2010,WBD,COL,93,129
Sun 28 Mar 5:10pm,Domain Stadium,30976,Round 1,2010,FRE,ADE,118,62
Thu 1 Apr 7:40pm,Gabba,36780,Round 2,2010,BRL,CAR,107,88
Sat 3 Apr 2:10pm,MCG,50421,Round 2,2010,COL,MEL,86,85
Sat 3 Apr 5:40pm,Domain Stadium,37010,Round 2,2010,WCE,POR,86,89
Sat 3 Apr 7:10pm,Marvel Stadium,32006,Round 2,2010,STK,NTH,143,39
Sun 4 Apr 12:40pm,AAMI Stadium,36041,Round 2,2010,ADE,SYD,75,118
Sun 4 Apr 2:10pm,Marvel Stadium,29651,Round 2,2010,ESS,FRE,69,113
Sun 4 Apr 4:40pm,MCG,27358,Round 2,2010,RCH,WBD,48,120
Mon 5 Apr 2:10pm,MCG,68628,Round 2,2010,HAW,GEE,91,100
Fri 9 Apr 7:40pm,Marvel Stadium,49669,Round 3,2010,STK,COL,69,41
Sat 10 Apr 2:10pm,Marvel Stadium,18394,Round 3,2010,NTH,WCE,116,91
Sat 10 Apr 2:40pm,AAMI Stadium,23306,Round 3,2010,POR,BRL,81,108
Sat 10 Apr 7:10pm,SCG,28414,Round 3,2010,SYD,RCH,111,56
Sat 10 Apr 7:10pm,MCG,71006,Round 3,2010,CAR,ESS,75,95
Sun 11 Apr 1:10pm,MCG,23335,Round 3,2010,MEL,ADE,57,41
Sun 11 Apr 2:10pm,Marvel Stadium,35933,Round 3,2010,WBD,HAW,100,84
Sun 11 Apr 2:40pm,Domain Stadium,38762,Round 3,2010,FRE,GEE,125,118
Fri 16 Apr 6:40pm,Domain Stadium,38676,Round 4,2010,WCE,ESS,101,78
Sat 17 Apr 2:10pm,Marvel Stadium,23646,Round 4,2010,NTH,SYD,60,100
Sat 17 Apr 2:40pm,AAMI Stadium,38321,Round 4,2010,ADE,CAR,55,103
Sat 17 Apr 7:10pm,MCG,67668,Round 4,2010,COL,HAW,123,59
Sat 17 Apr 7:10pm,Gabba,33323,Round 4,2010,BRL,WBD,101,79
Sun 18 Apr 1:10pm,MCG,42594,Round 4,2010,RCH,MEL,78,133
Sun 18 Apr 2:10pm,GMHBA Stadium,25579,Round 4,2010,GEE,POR,159,64
Sun 18 Apr 4:40pm,Marvel Stadium,29814,Round 4,2010,STK,FRE,108,93
Fri 23 Apr 7:40pm,Marvel Stadium,26884,Round 5,2010,WBD,ADE,121,72
Sat 24 Apr 2:15pm,SCG,28422,Round 5,2010,SYD,WCE,115,63
Sat 24 Apr 7:10pm,MCG,36396,Round 5,2010,MEL,BRL,103,53
Sat 24 Apr 7:15pm,AAMI Stadium,23355,Round 5,2010,POR,STK,54,44
Sun 25 Apr 2:40pm,MCG,90070,Round 5,2010,COL,ESS,120,55
