Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Wed 16 Mar 7:10pm,MCG,58002,Round 1,2022,MEL,WBD,97,71
Thu 17 Mar 7:25pm,MCG,72179,Round 1,2022,CAR,RCH,101,76
Fri 18 Mar 7:50pm,Marvel Stadium,40129,Round 1,2022,STK,COL,85,102
Sat 19 Mar 2:10pm,MCG,54495,Round 1,2022,GEE,ESS,138,72
Sat 19 Mar 5:10pm,Accor Stadium,25572,Round 1,2022,GWS,SYD,92,112
Sat 19 Mar 7:10pm,Gabba,25100,Round 1,2022,BRL,POR,80,69
Sun 20 Mar 1:10pm,MCG,38297,Round 1,2022,HAW,NTH,78,58
Sun 20 Mar 3:40pm,Adelaide Oval,28186,Round 1,2022,ADE,FRE,82,83
Sun 20 Mar 4:40pm,Optus Stadium,20932,Round 1,2022,WCE,GCS,80,107
Thu 24 Mar 7:20pm,Marvel Stadium,34961,Round 2,2022,WBD,CAR,90,102
Fri 25 Mar 7:50pm,SCG,36578,Round 2,2022,SYD,GEE,107,77
Sat 26 Mar 1:45pm,MCG,36843,Round 2,2022,COL,ADE,100,58
Sat 26 Mar 4:35pm,Marvel Stadium,30631,Round 2,2022,ESS,BRL,75,97
Sat 26 Mar 7:00pm,Heritage Bank Stadium,8280,Round 2,2022,GCS,MEL,69,82
Sat 26 Mar 7:10pm,Adelaide Oval,30267,Round 2,2022,POR,HAW,56,120
Sun 27 Mar 1:10pm,Marvel Stadium,14204,Round 2,2022,NTH,WCE,74,59
Sun 27 Mar 3:20pm,Optus Stadium,25284,Round 2,2022,FRE,STK,55,65
Sun 27 Mar 3:20pm,MCG,28813,Round 2,2022,RCH,GWS,109,73
Thu 31 Mar 7:20pm,Marvel Stadium,24327,Round 3,2022,WBD,SYD,71,60
Fri 1 Apr 7:20pm,MCG,44503,Round 3,2022,MEL,ESS,99,70
Fri 1 Apr 7:50pm,Adelaide Oval,39190,Round 3,2022,ADE,POR,96,92
Sat 2 Apr 4:35pm,GIANTS Stadium,4014,Round 3,2022,GWS,GCS,83,57
Sat 2 Apr 7:00pm,Gabba,19817,Round 3,2022,BRL,NTH,156,48
Sat 2 Apr 7:25pm,MCG,52974,Round 3,2022,COL,GEE,91,104
Sun 3 Apr 1:10pm,MCG,66317,Round 3,2022,CAR,HAW,74,73
Sun 3 Apr 3:20pm,Marvel Stadium,31933,Round 3,2022,STK,RCH,117,84
Sun 3 Apr 4:20pm,Optus Stadium,38920,Round 3,2022,WCE,FRE,47,102
Thu 7 Apr 7:10pm,Adelaide Oval,23058,Round 4,2022,POR,MEL,36,68
Fri 8 Apr 7:50pm,GMHBA Stadium,20505,Round 4,2022,GEE,BRL,80,70
Sat 9 Apr 2:40pm,SCG,22307,Round 4,2022,SYD,NTH,86,75
Sat 9 Apr 4:35pm,Marvel Stadium,25897,Round 4,2022,COL,WCE,74,87
Sat 9 Apr 5:25pm,Optus Stadium,30201,Round 4,2022,FRE,GWS,88,54
Sat 9 Apr 7:25pm,MCG,43645,Round 4,2022,RCH,WBD,99,61
Sun 10 Apr 1:10pm,Marvel Stadium,24906,Round 4,2022,ESS,ADE,103,99
Sun 10 Apr 3:20pm,MCG,30926,Round 4,2022,HAW,STK,73,142
Sun 10 Apr 4:10pm,Heritage Bank Stadium,14349,Round 4,2022,GCS,CAR,92,62
Thu 14 Apr 7:35pm,Gabba,32312,Round 5,2022,BRL,COL,98,91
Fri 15 Apr 4:20pm,Marvel Stadium,32162,Round 5,2022,NTH,WBD,71,139
Fri 15 Apr 5:40pm,Optus Stadium,42888,Round 5,2022,WCE,SYD,58,121
Sat 16 Apr 1:45pm,Marvel Stadium,18724,Round 5,2022,STK,GCS,87,61
Sat 16 Apr 4:05pm,Adelaide Oval,33031,Round 5,2022,ADE,RCH,101,82
Sat 16 Apr 7:25pm,MCG,20791,Round 5,2022,MEL,GWS,120,53
Sun 17 Apr 1:40pm,MCG,33433,Round 5,2022,CAR,POR,94,91
Sun 17 Apr 4:40pm,Marvel Stadium,23935,Round 5,2022,ESS,FRE,59,107
Mon 18 Apr 3:20pm,MCG,48030,Round 5,2022,HAW,GEE,92,80
Fri 22 Apr 7:50pm,Manuka Oval,11207,Round 6,2022,GWS,STK,60,77
Sat 23 Apr 1:45pm,Mars Stadium,10412,Round 6,2022,WBD,ADE,62,63
Sat 23 Apr 4:05pm,Adelaide Oval,28587,Round 6,2022,POR,WCE,117,33
Sat 23 Apr 5:40pm,Optus Stadium,42302,Round 6,2022,FRE,CAR,97,62
Sun 24 Apr 1:10pm,Blundstone Arena,8663,Round 6,2022,NTH,GEE,61,121
Sun 24 Apr 4:10pm,Heritage Bank Stadium,14897,Round 6,2022,GCS,BRL,80,132
Sun 24 Apr 7:25pm,MCG,70334,Round 6,2022,RCH,MEL,54,76
Mon 25 Apr 12:30pm,UTAS Stadium,14107,Round 6,2022,HAW,SYD,68,109
Mon 25 Apr 3:20pm,MCG,84205,Round 6,2022,ESS,COL,82,93
Fri 29 Apr 6:10pm,Optus Stadium,39430,Round 7,2022,WCE,RCH,56,165
Sat 30 Apr 1:40pm,Adelaide Oval,31811,Round 7,2022,ADE,GWS,54,113
Sat 30 Apr 1:45pm,GMHBA Stadium,20136,Round 7,2022,GEE,FRE,66,69
Sat 30 Apr 4:35pm,MCG,39425,Round 7,2022,MEL,HAW,91,81
Sat 30 Apr 7:25pm,Cazaly's Stadium,6645,Round 7,2022,STK,POR,42,43
Sat 30 Apr 7:25pm,Marvel Stadium,40129,Round 7,2022,CAR,NTH,114,64
Sun 1 May 1:10pm,MCG,28916,Round 7,2022,COL,GCS,115,90
Sun 1 May 3:20pm,Marvel Stadium,33677,Round 7,2022,WBD,ESS,103,71
Sun 1 May 4:40pm,SCG,30110,Round 7,2022,SYD,BRL,89,113
Fri 6 May 6:40pm,Optus Stadium,37040,Round 8,2022,FRE,NTH,102,24
Fri 6 May 7:00pm,Adelaide Oval,29290,Round 8,2022,POR,WBD,86,69
