Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Fri 28 Mar,MCG,61058,Round 1,2003,COL,RCH,94,66
Sat 29 Mar,Domain Stadium,35083,Round 1,2003,WCE,POR,122,74
Sat 29 Mar,MCG,28361,Round 1,2003,NTH,STK,96,70
Sat 29 Mar,Accor Stadium,30803,Round 1,2003,SYD,CAR,146,72
Sat 29 Mar,Gabba,36197,Round 1,2003,BRL,ESS,104,61
Sun 30 Mar,AAMI Stadium,45436,Round 1,2003,ADE,FRE,145,89
Sun 30 Mar,MCG,41888,Round 1,2003,MEL,HAW,106,100
Sun 30 Mar,Marvel Stadium,27931,Round 1,2003,WBD,GEE,130,91
Fri 4 Apr,MCG,51894,Round 2,2003,CAR,COL,91,107
Sat 5 Apr,MCG,43448,Round 2,2003,ESS,MEL,112,75
Sat 5 Apr,Marvel Stadium,19131,Round 2,2003,STK,ADE,99,91
Sat 5 Apr,Domain Stadium,24887,Round 2,2003,FRE,SYD,86,60
Sat 5 Apr,AAMI Stadium,27876,Round 2,2003,POR,BRL,76,86
Sun 6 Apr,UTAS Stadium,16217,Round 2,2003,HAW,WCE,91,89
Sun 6 Apr,GMHBA Stadium,22588,Round 2,2003,GEE,NTH,71,94
Sun 6 Apr,Marvel Stadium,28847,Round 2,2003,RCH,WBD,111,89
Fri 11 Apr,MCG,44268,Round 3,2003,ESS,CAR,94,105
Sat 12 Apr,AAMI Stadium,24902,Round 3,2003,POR,HAW,128,71
Sat 12 Apr,Domain Stadium,32009,Round 3,2003,WCE,STK,144,74
Sat 12 Apr,MCG,43979,Round 3,2003,COL,GEE,116,69
Sat 12 Apr,Marvel Stadium,24359,Round 3,2003,NTH,BRL,109,109
Sun 13 Apr,SCG,23651,Round 3,2003,SYD,ADE,76,103
Sun 13 Apr,Marvel Stadium,20790,Round 3,2003,MEL,WBD,127,95
Sun 13 Apr,MCG,19677,Round 3,2003,RCH,FRE,94,46
Thu 17 Apr,Gabba,36803,Round 4,2003,BRL,COL,95,81
Sat 19 Apr,GMHBA Stadium,23001,Round 4,2003,GEE,MEL,90,44
Sat 19 Apr,MCG,26359,Round 4,2003,HAW,SYD,110,68
Sat 19 Apr,Marvel Stadium,35238,Round 4,2003,WBD,ESS,110,129
Sun 20 Apr,AAMI Stadium,43525,Round 4,2003,ADE,WCE,106,73
Sun 20 Apr,Domain Stadium,25435,Round 4,2003,FRE,NTH,167,122
Sun 20 Apr,Princes Park,22507,Round 4,2003,CAR,POR,84,114
Mon 21 Apr,Marvel Stadium,44382,Round 4,2003,STK,RCH,81,107
Fri 25 Apr,MCG,62589,Round 5,2003,ESS,COL,147,81
Fri 25 Apr,SCG,24286,Round 5,2003,SYD,MEL,109,85
Sat 26 Apr,MCG,45140,Round 5,2003,HAW,RCH,95,115
Sat 26 Apr,AAMI Stadium,51140,Round 5,2003,ADE,POR,66,78
Sat 26 Apr,Marvel Stadium,38094,Round 5,2003,NTH,CAR,113,122
Sun 27 Apr,Gabba,24341,Round 5,2003,BRL,WBD,106,79
Sun 27 Apr,Domain Stadium,41654,Round 5,2003,FRE,WCE,73,108
Sun 27 Apr,Marvel Stadium,27240,Round 5,2003,STK,GEE,119,74
Fri 2 May,Marvel Stadium,38469,Round 6,2003,NTH,ADE,70,124
Sat 3 May,AAMI Stadium,29608,Round 6,2003,POR,RCH,84,57
Sat 3 May,Princes Park,27725,Round 6,2003,CAR,HAW,63,74
Sat 3 May,MCG,17534,Round 6,2003,MEL,WCE,94,127
Sat 3 May,Marvel Stadium,41874,Round 6,2003,COL,SYD,89,109
Sun 4 May,GMHBA Stadium,21246,Round 6,2003,GEE,BRL,78,92
Sun 4 May,Domain Stadium,28492,Round 6,2003,FRE,ESS,131,100
Sun 4 May,Marvel Stadium,27278,Round 6,2003,WBD,STK,85,100
Fri 9 May,Marvel Stadium,32435,Round 7,2003,HAW,NTH,89,117
Sat 10 May,Domain Stadium,36268,Round 7,2003,WCE,GEE,113,97
Sat 10 May,MCG,52196,Round 7,2003,RCH,ESS,84,42
Sat 10 May,AAMI Stadium,44706,Round 7,2003,ADE,COL,109,114
Sat 10 May,Marvel Stadium,45122,Round 7,2003,STK,CAR,113,101
Sun 11 May,SCG,23276,Round 7,2003,SYD,BRL,98,79
Sun 11 May,MCG,12410,Round 7,2003,MEL,POR,111,84
Sun 11 May,Marvel Stadium,12542,Round 7,2003,WBD,FRE,72,155
Fri 16 May,MCG,48006,Round 8,2003,HAW,ESS,53,106
Sat 17 May,Marvel Stadium,39912,Round 8,2003,COL,WCE,103,119
Sat 17 May,AAMI Stadium,24702,Round 8,2003,POR,NTH,103,49
Sat 17 May,MCG,38063,Round 8,2003,RCH,MEL,112,103
Sat 17 May,Gabba,34469,Round 8,2003,BRL,ADE,107,89
Sun 18 May,SCG,22483,Round 8,2003,SYD,GEE,112,73
Sun 18 May,Domain Stadium,26723,Round 8,2003,FRE,STK,123,82
Sun 18 May,Princes Park,20602,Round 8,2003,CAR,WBD,107,100
Fri 23 May,Marvel Stadium,35390,Round 9,2003,ESS,POR,96,146
