Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Sat 26 Mar,Western Oval,18592,Round 1,1994,WBD,RCH,113,111
Sat 26 Mar,MCG,39492,Round 1,1994,ESS,WCE,82,79
Sat 26 Mar,Victoria Park,25602,Round 1,1994,COL, Fitzroy,114,103
Sat 26 Mar,Waverley Park,29582,Round 1,1994,STK,HAW,97,153
Sun 27 Mar,Gabba,7901,Round 1,1994,BRL,SYD,99,89
Sun 27 Mar,AAMI Stadium,44953,Round 1,1994,ADE,CAR,150,84
Sun 27 Mar,MCG,39741,Round 1,1994,MEL,GEE,174,109
Sat 2 Apr,Princes Park,24872,Round 2,1994,Fitzroy ,ESS,112,99
Sat 2 Apr,MCG,27195,Round 2,1994,NTH,STK,142,73
Sat 2 Apr,Waverley Park,29581,Round 2,1994,HAW,MEL,64,118
Sun 3 Apr,Domain Stadium,28228,Round 2,1994,WCE,ADE,97,78
Sun 3 Apr,MCG,15333,Round 2,1994,RCH,BRL,134,72
Mon 4 Apr,GMHBA Stadium,24019,Round 2,1994,GEE,WBD,152,64
Mon 4 Apr,MCG,85063,Round 2,1994,COL,CAR,100,66
Fri 8 Apr,MCG,36726,Round 3,1994,NTH,HAW,173,46
Sat 9 Apr,MCG,19609,Round 3,1994,RCH,WCE,39,135
Sat 9 Apr,Western Oval,8829,Round 3,1994,Fitzroy ,BRL,111,78
Sat 9 Apr,Waverley Park,30454,Round 3,1994,STK,ESS,108,94
Sun 10 Apr,Princes Park,28496,Round 3,1994,CAR,GEE,99,70
Sun 10 Apr,SCG,11068,Round 3,1994,SYD,ADE,135,154
Sun 10 Apr,MCG,38307,Round 3,1994,COL,WBD,95,94
Fri 15 Apr,SCG,9727,Round 4,1994,SYD,RCH,86,72
Sat 16 Apr,Western Oval,21630,Round 4,1994,WBD,NTH,99,112
Sat 16 Apr,MCG,61193,Round 4,1994,ESS,MEL,66,84
Sat 16 Apr,WACA,28980,Round 4,1994,WCE, Fitzroy,129,53
Sat 16 Apr,Waverley Park,30944,Round 4,1994,HAW,CAR,73,160
Sun 17 Apr,Gabba,11290,Round 4,1994,BRL,STK,151,98
Sun 17 Apr,AAMI Stadium,45638,Round 4,1994,ADE,GEE,104,77
Fri 22 Apr,MCG,20946,Round 5,1994,MEL,BRL,117,30
Sat 23 Apr,MCG,74330,Round 5,1994,ESS,COL,98,94
Sat 23 Apr,GMHBA Stadium,23490,Round 5,1994,GEE,NTH,120,105
Sat 23 Apr,Western Oval,10514,Round 5,1994,Fitzroy ,SYD,137,129
Sun 24 Apr,AAMI Stadium,44426,Round 5,1994,ADE,WBD,93,110
Sun 24 Apr,Domain Stadium,27357,Round 5,1994,WCE,HAW,58,129
Mon 25 Apr,Waverley Park,37870,Round 5,1994,STK,RCH,70,112
Sat 30 Apr,Waverley Park,47211,Round 6,1994,MEL,COL,60,55
Sat 30 Apr,MCG,27022,Round 6,1994,NTH,WCE,86,123
Sat 30 Apr,Princes Park,22810,Round 6,1994,CAR,SYD,134,74
Sat 30 Apr,Gabba,9457,Round 6,1994,BRL,ADE,110,121
Sat 7 May,Princes Park,14614,Round 7,1994,RCH, Fitzroy,133,92
Sat 7 May,Waverley Park,33927,Round 7,1994,HAW,ESS,88,75
Sat 7 May,MCG,34601,Round 7,1994,MEL,NTH,58,90
Sun 8 May,Western Oval,12181,Round 7,1994,WBD,BRL,86,49
Sun 8 May,MCG,52342,Round 7,1994,GEE,COL,124,96
Sun 8 May,SCG,9295,Round 7,1994,SYD,STK,109,110
Sun 8 May,Domain Stadium,26676,Round 7,1994,WCE,CAR,115,49
Fri 13 May,MCG,50227,Round 8,1994,RCH,CAR,107,135
Sat 14 May,Western Oval,11334,Round 8,1994,Fitzroy ,NTH,90,119
Sat 14 May,MCG,35851,Round 8,1994,COL,STK,127,78
Sat 14 May,Waverley Park,12233,Round 8,1994,HAW,BRL,166,67
Sun 15 May,SCG,11142,Round 8,1994,SYD,GEE,71,165
Sun 15 May,Princes Park,28626,Round 8,1994,ESS,ADE,131,88
Sun 15 May,MCG,28559,Round 8,1994,MEL,WBD,91,94
Fri 20 May,MCG,72216,Round 9,1994,NTH,COL,121,88
Sat 21 May,Waverley Park,40080,Round 9,1994,ESS,CAR,63,62
Sat 21 May,MCG,19333,Round 9,1994,MEL,SYD,97,106
Sat 21 May,GMHBA Stadium,22777,Round 9,1994,GEE,RCH,142,78
Sat 21 May,Western Oval,14923,Round 9,1994,WBD,WCE,52,83
Sun 22 May,AAMI Stadium,44403,Round 9,1994,ADE,HAW,48,145
Sun 22 May,Waverley Park,15249,Round 9,1994,STK, Fitzroy,75,62
Fri 27 May,WACA,27901,Round 10,1994,WCE,SYD,101,75
Sat 28 May,Victoria Park,26718,Round 10,1994,COL,HAW,110,74
Sat 28 May,Waverley Park,19914,Round 10,1994,STK,MEL,32,106
Sat 28 May,MCG,75129,Round 10,1994,ESS,GEE,112,101
Sat 28 May,Princes Park,23691,Round 10,1994,CAR,WBD,109,97
Sun 29 May,AAMI Stadium,42915,Round 10,1994,ADE, Fitzroy,103,64
Sun 29 May,Gabba,10953,Round 10,1994,BRL,NTH,120,93
Sat 4 Jun,Victoria Park,27390,Round 11,1994,COL,ADE,90,67
Sat 4 Jun,GMHBA Stadium,18599,Round 11,1994,GEE,BRL,101,126
Sat 4 Jun,Princes Park,22547,Round 11,1994,ESS,RCH,154,108
Sat 4 Jun,Waverley Park,19090,Round 11,1994,CAR, Fitzroy,135,80
Sun 5 Jun,Waverley Park,22895,Round 11,1994,HAW,WBD,125,61
Sun 5 Jun,SCG,11182,Round 11,1994,SYD,NTH,106,126
Sun 5 Jun,MCG,31324,Round 11,1994,MEL,WCE,74,118
Sat 11 Jun,GMHBA Stadium,23696,Round 12,1994,GEE,STK,113,110
Sat 11 Jun,Princes Park,16643,Round 12,1994,NTH,ADE,149,69
Sat 11 Jun,MCG,52199,Round 12,1994,MEL,CAR,94,121
Sun 12 Jun,Domain Stadium,23492,Round 12,1994,WCE,BRL,78,69
Sun 12 Jun,SCG,12251,Round 12,1994,SYD,HAW,83,141
Mon 13 Jun,Waverley Park,39181,Round 12,1994,WBD,ESS,92,64
Mon 13 Jun,MCG,61983,Round 12,1994,RCH,COL,102,36
Sat 18 Jun,Waverley Park,17599,Round 13,1994,HAW, Fitzroy,53,66
Sat 18 Jun,Princes Park,22927,Round 13,1994,CAR,STK,145,65
Sat 18 Jun,MCG,26917,Round 13,1994,RCH,NTH,72,67
