Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Fri 26 Mar,MCG,58997,Round 1,1993,WBD,COL,95,115
Sat 27 Mar,Waverley Park,25098,Round 1,1993,HAW,MEL,93,70
Sat 27 Mar,GMHBA Stadium,24337,Round 1,1993,GEE,STK,136,112
Sat 27 Mar,Princes Park,23433,Round 1,1993,CAR, Fitzroy,112,118
Sat 27 Mar,MCG,8653,Round 1,1993,NTH,BRL,166,143
Sun 28 Mar,Domain Stadium,34361,Round 1,1993,WCE,ESS,123,110
Sun 28 Mar,MCG,18473,Round 1,1993,RCH,ADE,84,178
Fri 2 Apr,MCG,14497,Round 2,1993,RCH,BRL,126,80
Sat 3 Apr,Victoria Park,24147,Round 2,1993,COL,GEE,113,103
Sat 3 Apr,Waverley Park,23554,Round 2,1993,STK,NTH,132,125
Sat 3 Apr,Princes Park,13076,Round 2,1993,MEL,WBD,95,103
Sat 3 Apr,MCG,49856,Round 2,1993,ESS,CAR,132,132
Sun 4 Apr,AAMI Stadium,46258,Round 2,1993,ADE,WCE,101,86
Sun 4 Apr,SCG,10144,Round 2,1993,SYD,HAW,92,149
Sat 10 Apr,Waverley Park,25351,Round 3,1993,STK,SYD,132,94
Sat 10 Apr,Princes Park,18265,Round 3,1993,Fitzroy ,WBD,98,101
Sun 11 Apr,Gabba,12821,Round 3,1993,BRL,MEL,115,113
Sun 11 Apr,Domain Stadium,31110,Round 3,1993,WCE,RCH,109,65
Mon 12 Apr,GMHBA Stadium,23428,Round 3,1993,GEE,NTH,84,108
Mon 12 Apr,Princes Park,33274,Round 3,1993,CAR,HAW,112,110
Mon 12 Apr,MCG,87638,Round 3,1993,ESS,COL,109,139
Fri 16 Apr,AAMI Stadium,45671,Round 4,1993,ADE, Fitzroy,103,102
Sat 17 Apr,Victoria Park,28350,Round 4,1993,COL,STK,104,126
Sat 17 Apr,MCG,24362,Round 4,1993,NTH,MEL,128,99
Sat 17 Apr,Waverley Park,31492,Round 4,1993,HAW,GEE,79,125
Sun 18 Apr,SCG,9023,Round 4,1993,SYD,ESS,95,181
Sun 18 Apr,Domain Stadium,30032,Round 4,1993,WCE,BRL,98,46
Fri 23 Apr,MCG,35113,Round 5,1993,RCH,NTH,122,159
Sat 24 Apr,Princes Park,10257,Round 5,1993,Fitzroy ,SYD,167,74
Sat 24 Apr,Western Oval,26923,Round 5,1993,WBD,ESS,127,81
Sun 25 Apr,Gabba,12996,Round 5,1993,BRL,GEE,126,127
Sun 25 Apr,Waverley Park,51211,Round 5,1993,STK,CAR,78,123
Sun 25 Apr,MCG,17011,Round 5,1993,MEL,ADE,77,68
Fri 30 Apr,MCG,33933,Round 6,1993,MEL,RCH,153,60
Fri 30 Apr,AAMI Stadium,46689,Round 6,1993,ADE,HAW,88,105
Sat 1 May,Princes Park,9230,Round 6,1993,NTH,SYD,229,105
Sat 1 May,MCG,46588,Round 6,1993,ESS,GEE,156,132
Sun 2 May,MCG,86196,Round 6,1993,CAR,COL,101,137
Sun 2 May,Gabba,9893,Round 6,1993,BRL, Fitzroy,110,83
Sun 2 May,Domain Stadium,32579,Round 6,1993,WCE,WBD,125,84
Sat 8 May,MCG,29296,Round 7,1993,RCH,STK,136,104
Sat 8 May,Western Oval,20942,Round 7,1993,WBD,NTH,110,141
Sat 8 May,Princes Park,13498,Round 7,1993,Fitzroy ,MEL,79,78
