Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 24 Mar 7:20pm,MCG,75706,Round 1,2016,RCH,CAR,92,83
Sat 26 Mar 1:40pm,MCG,28505,Round 1,2016,MEL,GWS,80,78
Sat 26 Mar 3:35pm,Heritage Bank Stadium,16239,Round 1,2016,GCS,ESS,121,60
Sat 26 Mar 7:25pm,Accor Stadium,33857,Round 1,2016,SYD,COL,133,53
Sat 26 Mar 7:25pm,Marvel Stadium,25485,Round 1,2016,NTH,ADE,107,97
Sun 27 Mar 1:10pm,Marvel Stadium,27832,Round 1,2016,WBD,FRE,103,38
Sun 27 Mar 2:50pm,Adelaide Oval,43807,Round 1,2016,POR,STK,133,100
Sun 27 Mar 4:40pm,Domain Stadium,35201,Round 1,2016,WCE,BRL,166,102
Mon 28 Mar 3:20pm,MCG,74218,Round 1,2016,GEE,HAW,116,86
Fri 1 Apr 7:50pm,MCG,72761,Round 2,2016,COL,RCH,87,86
Sat 2 Apr 1:15pm,Adelaide Oval,51585,Round 2,2016,ADE,POR,144,86
Sat 2 Apr 2:10pm,MCG,50424,Round 2,2016,ESS,MEL,80,67
Sat 2 Apr 3:35pm,Gabba,18021,Round 2,2016,BRL,NTH,83,117
Sat 2 Apr 4:40pm,Domain Stadium,34208,Round 2,2016,FRE,GCS,100,126
Sat 2 Apr 7:25pm,Marvel Stadium,37353,Round 2,2016,STK,WBD,36,93
Sun 3 Apr 1:10pm,Manuka Oval,13656,Round 2,2016,GWS,GEE,89,76
Sun 3 Apr 3:20pm,MCG,42977,Round 2,2016,HAW,WCE,99,53
Sun 3 Apr 4:40pm,Marvel Stadium,33146,Round 2,2016,CAR,SYD,71,131
Fri 8 Apr 7:20pm,Adelaide Oval,44601,Round 3,2016,POR,ESS,112,51
Sat 9 Apr 1:45pm,MCG,50903,Round 3,2016,STK,COL,119,90
Sat 9 Apr 2:10pm,Marvel Stadium,29951,Round 3,2016,RCH,ADE,92,128
Sat 9 Apr 4:35pm,SCG,37045,Round 3,2016,SYD,GWS,93,68
Sat 9 Apr 5:40pm,Domain Stadium,40555,Round 3,2016,WCE,FRE,92,59
Sat 9 Apr 7:25pm,Heritage Bank Stadium,13885,Round 3,2016,GCS,CAR,95,41
Sun 10 Apr 1:10pm,Blundstone Arena,12607,Round 3,2016,NTH,MEL,136,131
Sun 10 Apr 3:20pm,Marvel Stadium,46808,Round 3,2016,WBD,HAW,90,93
Sun 10 Apr 4:40pm,GMHBA Stadium,23320,Round 3,2016,GEE,BRL,125,56
