Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,SF,Tot
"Ashton, Jim",,,-,-,,-,,-,,,,,,,,,
"Belcher, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bollard, Tom",,,,,,,,,-,-,-,,,-,-,-,
"Boyce, Alf",3,2,-,1,-,,,,,1,2,1,-,-,3,-,13.0
"Brennan, Jack",,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Caldwell, Jim",1,1,-,-,-,-,-,1,,-,-,-,-,-,,-,3.0
"Daly, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Deas, Bob",-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,3.0
"Doherty, Jock",1,-,-,1,1,,,,,,,,1,-,-,-,4.0
"Hair, Ben",,,,,-,-,-,,-,-,-,-,-,-,-,-,
"Howell, Jack",3,-,1,-,1,,-,-,-,-,1,-,-,-,-,-,6.0
"Hutchinson, Dick",,,2,2,-,1,,2,1,,3,2,4,-,,-,17.0
"Jenkins, Wal",,,,,,,,,,,,,-,-,,,
"Lakin, Harry",,,,,,,1,,,,,,,,,,1.0
"Lowrie, Mal",,,,-,,,,,3,,,,-,-,,,3.0
"Moloney, George",,-,,,,,,-,,,,,,,,,
"Morgan, Harry",-,2,1,2,1,,2,-,4,2,4,1,-,-,4,-,23.0
"Mullaly, Dick",-,-,,,,-,-,-,-,,,2,3,,-,-,5.0
"ODonoghue, Alan",-,,,,,-,2,1,-,,,-,,,,,3.0
"Payne, George",,-,1,,-,1,,,,1,-,,,,,1,4.0
"Prince, Joe",-,-,-,-,-,-,-,-,,,,,,,-,-,
"Purdy, Harry",-,1,-,,-,1,,,,1,,,,,2,,5.0
"Rademacher, Arthur",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Robertson, Harold",1,2,-,-,1,2,1,2,3,-,2,-,-,1,2,1,18.0
"Ryan, Gerald",-,-,-,-,,-,-,,1,3,1,-,,,,,5.0
"Skehan, Phil",-,-,,-,-,-,-,-,-,-,-,,,,,,
"Stewart, Jim",,,-,-,,,,,,,,1,,,,,1.0
"Strong, Sydney",-,,,,,,,,,,,,,,-,,
"Tandy, Mark",-,-,-,-,1,-,2,1,1,-,-,-,-,1,1,,7.0
"Wood, Artie",,,,,,,-,-,-,-,1,-,-,-,-,-,1.0
Totals,9,8,5,6,5,6,9,7,13,8,14,7,8,2,12,3,122.0
Opponent,GE,RI,CA,CW,FI,GE,RI,CA,CW,FI,GE,RI,CA,CW,FI,CW,
