Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Anderson, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Cordner, Alan",,,,-,,-,-,-,1,-,-,-,,,1,,,,-,2.0
"Fielding, Fred",-,1,1,1,-,1,2,-,-,-,1,1,-,-,,1,-,,1,10.0
"Gibb, Percy",1,-,-,-,-,-,-,,,-,,,-,,,,,,,1.0
"Gibb, Reg",,2,1,-,-,-,,-,-,-,-,-,1,1,-,-,-,-,-,5.0
"Gilchrist, Paddy",2,,,,,,,,,,,,,,,,,,,2.0
"Goodall, George",-,-,,,,,,,,,,,,,,,,,,
"Gray, Roy",-,,5,-,,3,4,1,,,,,-,2,1,-,1,,,17.0
"Green, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hughes, Les",1,3,,-,3,-,-,1,-,2,3,1,2,1,3,1,-,1,-,22.0
"Jackson, Jim",-,2,-,-,-,-,-,1,-,-,-,,-,1,-,-,-,-,-,4.0
"Laxton, Charlie",1,2,1,,-,,1,1,,,1,-,2,-,1,-,-,1,1,12.0
"Lee, Dick",,,,,,,,,,,,,,,3,1,1,2,1,8.0
"Lowe, Jack",-,,1,3,2,1,2,-,,4,1,3,-,,,,,,,17.0
"McDonald, Bert",,,,,,,,,3,1,,,,,-,,,,,4.0
"McHale, Jock",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Minogue, Dan",2,-,-,-,-,1,2,-,-,1,-,-,-,1,-,1,1,-,-,9.0
"Mutch, Alec",,-,-,,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Raleigh, Wally",,,,,,,,,,,,,,,,,,-,,
"Reynolds, Pen",,,,,,,,,,,,,,,,,,-,-,
"Rowan, Paddy",-,-,-,1,2,-,-,1,-,1,-,1,-,-,1,,-,,-,7.0
"Rowell, Ted",-,-,-,-,-,-,,,-,-,-,,-,-,1,-,-,2,-,3.0
"Rush, Bryan",,,,,,,,,-,1,4,1,4,2,-,2,-,-,1,15.0
"Sadler, Jim",,-,-,-,-,,-,-,-,,,-,,-,-,-,,-,,
"Seddon, Mal",1,-,1,-,2,,2,-,3,3,-,1,1,2,,-,-,1,1,18.0
"Shorten, Jack",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,
"Suares, Cyril",,,,,,-,,,,,,-,,,,,-,-,,
"Wilson, Percy",-,-,-,1,-,1,-,-,-,1,-,2,1,-,1,-,1,-,1,9.0
Totals,8,10,10,6,9,7,13,5,7,14,11,10,11,10,12,6,4,7,6,166.0
Opponent,ME,GE,ES,CA,RI,UN,SK,FI,SM,ME,GE,ES,CA,RI,UN,SK,FI,SM,FI,
