Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,GF,Tot
"Beck, Les",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bruce, George",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,-,,-,-,1.0
"Caine, Frank",-,-,-,1,4,2,4,1,-,2,3,2,1,-,,,,,,,20.0
"Carmody, Bill",,,,,,,-,,,,,,,,,,,,,,
"Clark, Norman",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Elliott, Fred",-,-,-,-,1,-,1,1,-,1,-,-,1,-,,,,-,2,1,8.0
"Flynn, Jim",,,,,,,,,,,,,,,,,,-,-,-,
"Ford, Arthur",,,,,,,,,,,,,,,1,-,-,1,1,-,3.0
"Gardiner, Vin",,-,2,1,,,,6,2,5,2,,4,4,1,-,-,3,4,-,34.0
"Gillespie, Dave",,,,,,,,2,-,,-,,,,,,,,,,2.0
"Gillespie, Doug",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"Gotz, Martin",-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,1,4.0
"Hammond, Charlie",-,-,-,1,-,-,-,2,,-,-,-,-,-,-,-,-,-,-,-,3.0
"Ingleman, Alby",-,,-,-,-,-,,-,-,1,1,-,,,-,-,,-,,,2.0
"Jinks, Fred",1,-,-,1,-,-,1,-,1,-,,-,-,-,-,-,-,-,-,-,4.0
"Johnson, George",-,1,,,-,-,1,2,1,-,-,-,1,-,1,-,-,-,-,-,7.0
"Kelly, Ernie",,3,1,,,,,,,-,1,1,,,3,1,1,,,,11.0
"Kelly, Harvey",-,3,-,4,-,3,4,,,,,,,2,1,3,1,4,1,1,27.0
"Kennedy, Ted",-,-,,-,-,-,,2,-,-,-,-,-,-,-,-,-,-,1,1,4.0
"Koochew, Wally",,,-,1,,,1,,-,,,,,,,,,,,,2.0
"Lang, Alex",-,-,1,-,1,2,-,-,1,-,1,1,1,-,-,-,2,-,1,-,11.0
"Laver, Bill",,,-,,,,,,,,,,,,,,,,,,
"Marchbank, Bill",,,,,,,,,,,,-,2,-,,,,,,,2.0
"Marchbank, Jim",,,,-,1,,,,,-,,,,,,,-,-,-,1,2.0
"McGregor, Rod",-,1,,,1,-,-,,2,-,-,-,-,-,-,-,1,-,-,-,5.0
"Pattison, Andy",,,,,,,,,,,,,-,-,-,-,,,,,
"Payne, Billy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Roland, Charlie",,,,,,1,-,1,-,,,,,,,,,,,,2.0
"Topping, George",5,1,1,1,2,-,,,,,,-,-,,,2,1,2,1,-,16.0
"Williams, Frank",-,,,,,,-,-,-,,-,,,,,,-,,,,
Totals,6,9,5,10,10,8,13,17,7,10,8,4,10,6,8,6,6,10,12,5,170.0
Opponent,SK,ME,ES,CW,FI,SM,GE,RI,UN,SK,ME,ES,CW,FI,SM,GE,RI,UN,SK,ES,
