Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Berry, Sam",-,1,-,,,,,,,-,,,,1.0
"Brown, Tyler",-,,,,,,,,,,,,,
"Butts, Jordon",-,,-,-,-,-,-,-,-,-,-,-,-,
"Crouch, Matt",,,,,,,,-,,,,,,
"Dawson, Jordan",1,-,1,-,3,-,-,1,-,-,-,-,-,6.0
"Doedee, Tom",-,-,-,-,-,-,-,-,-,,-,-,,
"Fogarty, Darcy",-,1,,,2,1,-,-,1,1,1,2,-,9.0
"Gollant, Lachlan",,,1,-,,,,,,-,,,,1.0
"Himmelberg, Elliott",2,-,,,,,,,,-,,,,2.0
"Hinge, Mitch",-,-,-,-,1,-,-,-,1,-,,-,-,2.0
"Jones, Chayce",,,-,2,2,-,-,1,1,-,2,-,1,9.0
"Keays, Ben",2,-,-,1,-,1,1,-,4,-,-,-,2,11.0
"Laird, Rory",-,2,1,-,1,-,-,-,1,-,-,1,1,7.0
"McAdam, Shane",-,,,,,,,,,,,,,
"McHenry, Ned",,,,3,-,-,,,-,,-,-,-,3.0
"Michalanney, Max",-,-,-,1,1,-,-,-,-,-,-,-,-,2.0
"Milera, Wayne",-,,-,1,-,-,-,-,-,-,-,-,1,2.0
"Murphy, Lachlan",,3,2,1,2,-,-,-,1,-,-,-,1,10.0
"Murray, Nick",-,-,-,-,-,-,1,-,,-,-,-,-,1.0
"OBrien, Reilly",-,1,1,1,-,-,-,-,-,-,1,-,1,5.0
"Parnell, Patrick",,-,,,,,,,-,-,-,,,
"Pedlar, Luke",2,-,2,,-,-,1,2,-,-,-,1,1,9.0
"Rachele, Josh",-,-,-,-,-,1,-,1,-,-,3,1,4,10.0
"Rankine, Izak",1,-,-,1,1,1,-,-,-,2,3,-,2,11.0
"Schoenberg, Harry",-,-,,1,,,-,,,,,,,1.0
"Sholl, Lachlan",,-,-,-,1,1,-,-,-,-,-,1,1,4.0
"Sloane, Rory",-,-,2,-,1,1,-,-,2,-,1,-,-,7.0
"Smith, Brodie",-,-,-,-,-,-,-,1,-,-,,-,-,1.0
"Soligo, Jake",1,-,1,-,-,1,-,1,-,-,-,-,-,4.0
"Thilthorpe, Riley",,-,1,-,-,-,-,-,-,,-,1,3,5.0
"Walker, Taylor",1,1,1,-,-,1,-,-,1,,-,1,1,7.0
"Worrell, Josh",,,,,,,,,,,-,,-,
Totals,10,9,13,12,15,8,3,7,12,3,11,8,19,130.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,
