teams,round,Player,disposals,odds,home,away
hawthorn v st-kilda,R20,conor nash,To Get 15 or More Disposals,SUS,HAW,STK
hawthorn v st-kilda,R20,james sicily,To Get 15 or More Disposals,SUS,HAW,STK
hawthorn v st-kilda,R20,josh ward,To Get 15 or More Disposals,1.06,HAW,STK
hawthorn v st-kilda,R20,seamus mitchell,To Get 15 or More Disposals,1.15,HAW,STK
hawthorn v st-kilda,R20,dylan moore,To Get 15 or More Disposals,1.16,HAW,STK
hawthorn v st-kilda,R20,jarman impey,To Get 15 or More Disposals,1.16,HAW,STK
hawthorn v st-kilda,R20,connor macdonald,To Get 15 or More Disposals,1.18,HAW,STK
hawthorn v st-kilda,R20,lachlan bramble,To Get 15 or More Disposals,1.18,HAW,STK
hawthorn v st-kilda,R20,josh weddle,To Get 15 or More Disposals,1.19,HAW,STK
hawthorn v st-kilda,R20,blake hardwick,To Get 15 or More Disposals,1.27,HAW,STK
hawthorn v st-kilda,R20,chad wingard,To Get 15 or More Disposals,1.37,HAW,STK
hawthorn v st-kilda,R20,sam frost,To Get 15 or More Disposals,1.68,HAW,STK
hawthorn v st-kilda,R20,cam mackenzie,To Get 15 or More Disposals,1.80,HAW,STK
hawthorn v st-kilda,R20,lloyd meek,To Get 15 or More Disposals,2.35,HAW,STK
hawthorn v st-kilda,R20,mitch lewis,To Get 15 or More Disposals,2.70,HAW,STK
hawthorn v st-kilda,R20,finn maginness,To Get 15 or More Disposals,2.75,HAW,STK
hawthorn v st-kilda,R20,brandon ryan,To Get 15 or More Disposals,4.00,HAW,STK
hawthorn v st-kilda,R20,tyler brockman,To Get 15 or More Disposals,4.00,HAW,STK
hawthorn v st-kilda,R20,mason wood,To Get 15 or More Disposals,1.10,HAW,STK
hawthorn v st-kilda,R20,callum wilkie,To Get 15 or More Disposals,1.14,HAW,STK
hawthorn v st-kilda,R20,zak jones,To Get 15 or More Disposals,1.15,HAW,STK
hawthorn v st-kilda,R20,hunter clark,To Get 15 or More Disposals,1.22,HAW,STK
hawthorn v st-kilda,R20,rowan marshall,To Get 15 or More Disposals,1.23,HAW,STK
hawthorn v st-kilda,R20,jack billings,To Get 15 or More Disposals,1.25,HAW,STK
hawthorn v st-kilda,R20,ryan byrnes,To Get 15 or More Disposals,1.35,HAW,STK
hawthorn v st-kilda,R20,liam stocker,To Get 15 or More Disposals,1.48,HAW,STK
hawthorn v st-kilda,R20,mitchito owens,To Get 15 or More Disposals,1.51,HAW,STK
hawthorn v st-kilda,R20,josh battle,To Get 15 or More Disposals,1.53,HAW,STK
hawthorn v st-kilda,R20,jimmy webster,To Get 15 or More Disposals,1.63,HAW,STK
hawthorn v st-kilda,R20,mattaes phillipou,To Get 15 or More Disposals,1.95,HAW,STK
hawthorn v st-kilda,R20,cooper sharman,To Get 15 or More Disposals,2.90,HAW,STK
hawthorn v st-kilda,R20,will day,To Get 20 or More Disposals,Will Day,HAW,STK
hawthorn v st-kilda,R20,james worpel,To Get 20 or More Disposals,1.10,HAW,STK
hawthorn v st-kilda,R20,jai newcombe,To Get 20 or More Disposals,1.12,HAW,STK
hawthorn v st-kilda,R20,conor nash,To Get 20 or More Disposals,1.24,HAW,STK
hawthorn v st-kilda,R20,josh ward,To Get 20 or More Disposals,1.39,HAW,STK
hawthorn v st-kilda,R20,jarman impey,To Get 20 or More Disposals,1.55,HAW,STK
hawthorn v st-kilda,R20,dylan moore,To Get 20 or More Disposals,1.65,HAW,STK
hawthorn v st-kilda,R20,seamus mitchell,To Get 20 or More Disposals,1.93,HAW,STK
hawthorn v st-kilda,R20,josh weddle,To Get 20 or More Disposals,1.94,HAW,STK
hawthorn v st-kilda,R20,connor macdonald,To Get 20 or More Disposals,1.96,HAW,STK
