disposals,round,teams,Player,odds,home,away
To Get 15 or More Disposals,R18,melbourne v brisbane,lachie hunter,1.06,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,trent rivers,1.11,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,tom sparrow,1.15,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,ed langdon,1.18,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,james jordon,1.18,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,steven may,1.18,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,max gawn,1.22,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,jake bowey,1.32,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,jake lever,1.49,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,alex neal-bullen,1.68,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,taj woewodin,1.98,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,judd mcvee,2.07,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,kysaiah pickett,2.25,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,charlie spargo,2.95,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,jacob van rooyen,3.80,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,dayne zorko,1.25,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,zac bailey,1.26,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,conor mckenna,1.32,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,keidean coleman,1.35,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,jarrod berry,1.40,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,darcy wilmot,1.49,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,joe daniher,1.50,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,cam rayner,1.55,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,harris andrews,1.69,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,jaspa fletcher,1.93,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,oscar mcinerney,2.30,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,brandon starcevich,2.55,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,jack gunston,2.55,MEL,BRL
To Get 15 or More Disposals,R18,melbourne v brisbane,lincoln mccarthy,2.95,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,angus brayshaw,1.14,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,jack viney,1.17,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,lachie hunter,1.41,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,christian salem,1.57,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,trent rivers,1.72,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,tom sparrow,1.89,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,ed langdon,1.93,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,steven may,1.94,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,james jordon,1.95,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,max gawn,2.30,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,jake bowey,2.80,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,jake lever,3.35,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,alex neal-bullen,4.70,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,kysaiah pickett,5.10,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,taj woewodin,5.70,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,judd mcvee,7.00,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,jarryd lyons,1.16,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,hugh mccluggage,1.39,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,will ashcroft,1.40,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,dayne zorko,2.20,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,zac bailey,2.25,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,conor mckenna,2.75,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,jarrod berry,2.90,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,keidean coleman,2.90,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,joe daniher,3.40,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,darcy wilmot,3.45,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,cam rayner,4.00,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,harris andrews,4.40,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,jaspa fletcher,5.70,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,jack gunston,6.50,MEL,BRL
To Get 20 or More Disposals,R18,melbourne v brisbane,oscar mcinerney,8.00,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,christian petracca,1.41,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,jack viney,1.62,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,angus brayshaw,1.70,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,lachie hunter,2.55,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,christian salem,3.80,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,trent rivers,4.20,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,ed langdon,4.75,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,james jordon,4.80,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,steven may,4.80,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,tom sparrow,5.20,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,max gawn,6.75,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,jake bowey,9.75,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,jake lever,12.00,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,kysaiah pickett,15.00,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,lachie neale,1.22,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,jarryd lyons,1.71,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,hugh mccluggage,2.25,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,will ashcroft,2.55,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,dayne zorko,6.25,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,zac bailey,6.25,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,jarrod berry,9.50,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,conor mckenna,10.00,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,keidean coleman,11.00,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,darcy wilmot,12.00,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,joe daniher,12.00,MEL,BRL
To Get 25 or More Disposals,R18,melbourne v brisbane,cam rayner,17.00,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,christian petracca,2.30,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,jack viney,2.60,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,angus brayshaw,3.50,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,lachie hunter,6.25,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,christian salem,12.00,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,trent rivers,13.00,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,james jordon,14.00,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,steven may,14.00,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,ed langdon,15.00,MEL,BRL
