round,Player,teams,disposals,odds,home,away
R18,dylan moore,north-melbourne v hawthorn,To Get 15 or More Disposals,1.11,NTH,HAW
R18,blake hardwick,north-melbourne v hawthorn,To Get 15 or More Disposals,1.13,NTH,HAW
R18,josh ward,north-melbourne v hawthorn,To Get 15 or More Disposals,1.13,NTH,HAW
R18,jack scrimshaw,north-melbourne v hawthorn,To Get 15 or More Disposals,1.24,NTH,HAW
R18,connor macdonald,north-melbourne v hawthorn,To Get 15 or More Disposals,1.26,NTH,HAW
R18,josh weddle,north-melbourne v hawthorn,To Get 15 or More Disposals,1.26,NTH,HAW
R18,chad wingard,north-melbourne v hawthorn,To Get 15 or More Disposals,1.54,NTH,HAW
R18,mitch lewis,north-melbourne v hawthorn,To Get 15 or More Disposals,2.75,NTH,HAW
R18,sam frost,north-melbourne v hawthorn,To Get 15 or More Disposals,2.95,NTH,HAW
R18,tyler brockman,north-melbourne v hawthorn,To Get 15 or More Disposals,2.95,NTH,HAW
R18,luke breust,north-melbourne v hawthorn,To Get 15 or More Disposals,3.90,NTH,HAW
R18,luke davies-uniacke,north-melbourne v hawthorn,To Get 20 or More Disposals,1.09,NTH,HAW
R18,harry sheezel,north-melbourne v hawthorn,To Get 20 or More Disposals,1.18,NTH,HAW
R18,bailey scott,north-melbourne v hawthorn,To Get 20 or More Disposals,1.50,NTH,HAW
R18,tarryn thomas,north-melbourne v hawthorn,To Get 20 or More Disposals,1.53,NTH,HAW
R18,luke mcdonald,north-melbourne v hawthorn,To Get 20 or More Disposals,1.92,NTH,HAW
R18,liam shiels,north-melbourne v hawthorn,To Get 20 or More Disposals,1.97,NTH,HAW
R18,george wardlaw,north-melbourne v hawthorn,To Get 20 or More Disposals,2.20,NTH,HAW
R18,cameron zurhaar,north-melbourne v hawthorn,To Get 20 or More Disposals,2.65,NTH,HAW
R18,darcy tucker,north-melbourne v hawthorn,To Get 20 or More Disposals,3.00,NTH,HAW
R18,tristan xerri,north-melbourne v hawthorn,To Get 20 or More Disposals,3.00,NTH,HAW
R18,tom powell,north-melbourne v hawthorn,To Get 20 or More Disposals,3.40,NTH,HAW
R18,jackson archer,north-melbourne v hawthorn,To Get 20 or More Disposals,4.30,NTH,HAW
R18,josh goater,north-melbourne v hawthorn,To Get 20 or More Disposals,4.40,NTH,HAW
R18,aidan corr,north-melbourne v hawthorn,To Get 20 or More Disposals,6.50,NTH,HAW
R18,eddie ford,north-melbourne v hawthorn,To Get 20 or More Disposals,8.25,NTH,HAW
R18,james sicily,north-melbourne v hawthorn,To Get 20 or More Disposals,1.09,NTH,HAW
R18,will day,north-melbourne v hawthorn,To Get 20 or More Disposals,1.10,NTH,HAW
R18,james worpel,north-melbourne v hawthorn,To Get 20 or More Disposals,1.16,NTH,HAW
R18,conor nash,north-melbourne v hawthorn,To Get 20 or More Disposals,1.18,NTH,HAW
R18,jai newcombe,north-melbourne v hawthorn,To Get 20 or More Disposals,1.19,NTH,HAW
R18,jarman impey,north-melbourne v hawthorn,To Get 20 or More Disposals,1.30,NTH,HAW
R18,karl amon,north-melbourne v hawthorn,To Get 20 or More Disposals,1.35,NTH,HAW
R18,dylan moore,north-melbourne v hawthorn,To Get 20 or More Disposals,1.62,NTH,HAW
R18,blake hardwick,north-melbourne v hawthorn,To Get 20 or More Disposals,1.70,NTH,HAW
R18,josh ward,north-melbourne v hawthorn,To Get 20 or More Disposals,1.71,NTH,HAW
R18,josh weddle,north-melbourne v hawthorn,To Get 20 or More Disposals,1.98,NTH,HAW
R18,jack scrimshaw,north-melbourne v hawthorn,To Get 20 or More Disposals,2.20,NTH,HAW
R18,connor macdonald,north-melbourne v hawthorn,To Get 20 or More Disposals,2.25,NTH,HAW
R18,chad wingard,north-melbourne v hawthorn,To Get 20 or More Disposals,3.60,NTH,HAW
R18,luke davies-uniacke,north-melbourne v hawthorn,To Get 25 or More Disposals,1.54,NTH,HAW
R18,harry sheezel,north-melbourne v hawthorn,To Get 25 or More Disposals,1.63,NTH,HAW
R18,tarryn thomas,north-melbourne v hawthorn,To Get 25 or More Disposals,3.10,NTH,HAW
R18,bailey scott,north-melbourne v hawthorn,To Get 25 or More Disposals,3.25,NTH,HAW
R18,liam shiels,north-melbourne v hawthorn,To Get 25 or More Disposals,4.10,NTH,HAW
R18,george wardlaw,north-melbourne v hawthorn,To Get 25 or More Disposals,4.90,NTH,HAW
R18,luke mcdonald,north-melbourne v hawthorn,To Get 25 or More Disposals,5.10,NTH,HAW
R18,cameron zurhaar,north-melbourne v hawthorn,To Get 25 or More Disposals,8.00,NTH,HAW
R18,tristan xerri,north-melbourne v hawthorn,To Get 25 or More Disposals,8.50,NTH,HAW
R18,darcy tucker,north-melbourne v hawthorn,To Get 25 or More Disposals,10.00,NTH,HAW
R18,tom powell,north-melbourne v hawthorn,To Get 25 or More Disposals,12.00,NTH,HAW
R18,jackson archer,north-melbourne v hawthorn,To Get 25 or More Disposals,17.00,NTH,HAW
R18,josh goater,north-melbourne v hawthorn,To Get 25 or More Disposals,18.00,NTH,HAW
R18,james sicily,north-melbourne v hawthorn,To Get 25 or More Disposals,1.44,NTH,HAW
R18,will day,north-melbourne v hawthorn,To Get 25 or More Disposals,1.54,NTH,HAW
R18,james worpel,north-melbourne v hawthorn,To Get 25 or More Disposals,1.74,NTH,HAW
R18,conor nash,north-melbourne v hawthorn,To Get 25 or More Disposals,1.94,NTH,HAW
R18,jai newcombe,north-melbourne v hawthorn,To Get 25 or More Disposals,1.97,NTH,HAW
R18,jarman impey,north-melbourne v hawthorn,To Get 25 or More Disposals,2.00,NTH,HAW
R18,karl amon,north-melbourne v hawthorn,To Get 25 or More Disposals,2.70,NTH,HAW
R18,dylan moore,north-melbourne v hawthorn,To Get 25 or More Disposals,3.45,NTH,HAW
R18,josh ward,north-melbourne v hawthorn,To Get 25 or More Disposals,3.75,NTH,HAW
R18,blake hardwick,north-melbourne v hawthorn,To Get 25 or More Disposals,3.80,NTH,HAW
R18,josh weddle,north-melbourne v hawthorn,To Get 25 or More Disposals,4.10,NTH,HAW
R18,jack scrimshaw,north-melbourne v hawthorn,To Get 25 or More Disposals,6.00,NTH,HAW
R18,connor macdonald,north-melbourne v hawthorn,To Get 25 or More Disposals,6.25,NTH,HAW
R18,harry sheezel,north-melbourne v hawthorn,To Get 30 or More Disposals,2.65,NTH,HAW
R18,luke davies-uniacke,north-melbourne v hawthorn,To Get 30 or More Disposals,2.90,NTH,HAW
R18,tarryn thomas,north-melbourne v hawthorn,To Get 30 or More Disposals,7.75,NTH,HAW
R18,bailey scott,north-melbourne v hawthorn,To Get 30 or More Disposals,9.00,NTH,HAW
R18,liam shiels,north-melbourne v hawthorn,To Get 30 or More Disposals,9.50,NTH,HAW
R18,george wardlaw,north-melbourne v hawthorn,To Get 30 or More Disposals,12.50,NTH,HAW
R18,luke mcdonald,north-melbourne v hawthorn,To Get 30 or More Disposals,18.00,NTH,HAW
R18,cameron zurhaar,north-melbourne v hawthorn,To Get 30 or More Disposals,26.00,NTH,HAW
R18,tristan xerri,north-melbourne v hawthorn,To Get 30 or More Disposals,26.00,NTH,HAW
R18,james sicily,north-melbourne v hawthorn,To Get 30 or More Disposals,2.40,NTH,HAW
R18,will day,north-melbourne v hawthorn,To Get 30 or More Disposals,2.90,NTH,HAW
R18,james worpel,north-melbourne v hawthorn,To Get 30 or More Disposals,3.35,NTH,HAW
R18,jarman impey,north-melbourne v hawthorn,To Get 30 or More Disposals,3.60,NTH,HAW
R18,conor nash,north-melbourne v hawthorn,To Get 30 or More Disposals,4.25,NTH,HAW
R18,jai newcombe,north-melbourne v hawthorn,To Get 30 or More Disposals,4.30,NTH,HAW
R18,karl amon,north-melbourne v hawthorn,To Get 30 or More Disposals,7.75,NTH,HAW
R18,dylan moore,north-melbourne v hawthorn,To Get 30 or More Disposals,8.75,NTH,HAW
R18,josh weddle,north-melbourne v hawthorn,To Get 30 or More Disposals,9.50,NTH,HAW
R18,josh ward,north-melbourne v hawthorn,To Get 30 or More Disposals,10.00,NTH,HAW
R18,blake hardwick,north-melbourne v hawthorn,To Get 30 or More Disposals,10.50,NTH,HAW
R18,jack scrimshaw,north-melbourne v hawthorn,To Get 30 or More Disposals,19.00,NTH,HAW
R18,liam duggan,west-coast v richmond,To Get 15 or More Disposals,SUS,WCE,RCH
R18,jeremy mcgovern,west-coast v richmond,To Get 15 or More Disposals,1.08,WCE,RCH
R18,dom sheed,west-coast v richmond,To Get 15 or More Disposals,1.10,WCE,RCH
R18,alex witherden,west-coast v richmond,To Get 15 or More Disposals,1.15,WCE,RCH
R18,jayden hunt,west-coast v richmond,To Get 15 or More Disposals,1.25,WCE,RCH
R18,elijah hewett,west-coast v richmond,To Get 15 or More Disposals,1.48,WCE,RCH
R18,brady hough,west-coast v richmond,To Get 15 or More Disposals,1.73,WCE,RCH
R18,sam petrevski-seton,west-coast v richmond,To Get 15 or More Disposals,1.75,WCE,RCH
R18,reuben ginbey,west-coast v richmond,To Get 15 or More Disposals,1.99,WCE,RCH
R18,bailey j. williams (wce),west-coast v richmond,To Get 15 or More Disposals,2.30,WCE,RCH
R18,jamie cripps,west-coast v richmond,To Get 15 or More Disposals,2.30,WCE,RCH
R18,tom barrass,west-coast v richmond,To Get 15 or More Disposals,2.80,WCE,RCH
R18,noah long,west-coast v richmond,To Get 15 or More Disposals,2.95,WCE,RCH
R18,shai bolton,west-coast v richmond,To Get 15 or More Disposals,SUS,WCE,RCH
R18,dustin martin,west-coast v richmond,To Get 15 or More Disposals,1.06,WCE,RCH
R18,daniel rioli,west-coast v richmond,To Get 15 or More Disposals,1.07,WCE,RCH
R18,nick vlastuin,west-coast v richmond,To Get 15 or More Disposals,1.11,WCE,RCH
R18,liam baker,west-coast v richmond,To Get 15 or More Disposals,1.23,WCE,RCH
R18,jack ross,west-coast v richmond,To Get 15 or More Disposals,1.27,WCE,RCH
R18,nathan broad,west-coast v richmond,To Get 15 or More Disposals,1.34,WCE,RCH
R18,jack graham,west-coast v richmond,To Get 15 or More Disposals,1.35,WCE,RCH
R18,noah balta,west-coast v richmond,To Get 15 or More Disposals,1.35,WCE,RCH
R18,trent cotchin,west-coast v richmond,To Get 15 or More Disposals,1.50,WCE,RCH
R18,ivan soldo,west-coast v richmond,To Get 15 or More Disposals,1.89,WCE,RCH
R18,kamdyn mcintosh,west-coast v richmond,To Get 15 or More Disposals,1.93,WCE,RCH
R18,marlion pickett,west-coast v richmond,To Get 15 or More Disposals,2.20,WCE,RCH
R18,tim kelly,west-coast v richmond,To Get 20 or More Disposals,SUS,WCE,RCH
R18,luke shuey,west-coast v richmond,To Get 20 or More Disposals,1.20,WCE,RCH
R18,shannon hurn,west-coast v richmond,To Get 20 or More Disposals,1.21,WCE,RCH
R18,liam duggan,west-coast v richmond,To Get 20 or More Disposals,1.22,WCE,RCH
R18,dom sheed,west-coast v richmond,To Get 20 or More Disposals,1.35,WCE,RCH
R18,jeremy mcgovern,west-coast v richmond,To Get 20 or More Disposals,1.53,WCE,RCH
R18,alex witherden,west-coast v richmond,To Get 20 or More Disposals,1.62,WCE,RCH
R18,jayden hunt,west-coast v richmond,To Get 20 or More Disposals,1.94,WCE,RCH
R18,elijah hewett,west-coast v richmond,To Get 20 or More Disposals,3.25,WCE,RCH
R18,brady hough,west-coast v richmond,To Get 20 or More Disposals,3.80,WCE,RCH
R18,sam petrevski-seton,west-coast v richmond,To Get 20 or More Disposals,3.80,WCE,RCH
R18,reuben ginbey,west-coast v richmond,To Get 20 or More Disposals,6.00,WCE,RCH
R18,bailey j. williams (wce),west-coast v richmond,To Get 20 or More Disposals,6.50,WCE,RCH
R18,jamie cripps,west-coast v richmond,To Get 20 or More Disposals,8.50,WCE,RCH
R18,tom barrass,west-coast v richmond,To Get 20 or More Disposals,8.75,WCE,RCH
R18,jacob hopper,west-coast v richmond,To Get 20 or More Disposals,1.25,WCE,RCH
R18,dion prestia,west-coast v richmond,To Get 20 or More Disposals,1.26,WCE,RCH
R18,dustin martin,west-coast v richmond,To Get 20 or More Disposals,1.28,WCE,RCH
R18,shai bolton,west-coast v richmond,To Get 20 or More Disposals,1.31,WCE,RCH
R18,daniel rioli,west-coast v richmond,To Get 20 or More Disposals,1.51,WCE,RCH
R18,nick vlastuin,west-coast v richmond,To Get 20 or More Disposals,1.70,WCE,RCH
R18,jack ross,west-coast v richmond,To Get 20 or More Disposals,2.30,WCE,RCH
R18,liam baker,west-coast v richmond,To Get 20 or More Disposals,2.30,WCE,RCH
R18,trent cotchin,west-coast v richmond,To Get 20 or More Disposals,2.50,WCE,RCH
R18,jack graham,west-coast v richmond,To Get 20 or More Disposals,2.70,WCE,RCH
R18,nathan broad,west-coast v richmond,To Get 20 or More Disposals,2.70,WCE,RCH
R18,noah balta,west-coast v richmond,To Get 20 or More Disposals,2.70,WCE,RCH
R18,marlion pickett,west-coast v richmond,To Get 20 or More Disposals,5.20,WCE,RCH
R18,ivan soldo,west-coast v richmond,To Get 20 or More Disposals,5.75,WCE,RCH
R18,tim kelly,west-coast v richmond,To Get 25 or More Disposals,1.29,WCE,RCH
R18,liam duggan,west-coast v richmond,To Get 25 or More Disposals,1.77,WCE,RCH
R18,shannon hurn,west-coast v richmond,To Get 25 or More Disposals,1.93,WCE,RCH
R18,luke shuey,west-coast v richmond,To Get 25 or More Disposals,1.94,WCE,RCH
R18,dom sheed,west-coast v richmond,To Get 25 or More Disposals,1.95,WCE,RCH
R18,alex witherden,west-coast v richmond,To Get 25 or More Disposals,2.90,WCE,RCH
R18,jeremy mcgovern,west-coast v richmond,To Get 25 or More Disposals,3.05,WCE,RCH
R18,jayden hunt,west-coast v richmond,To Get 25 or More Disposals,4.00,WCE,RCH
R18,brady hough,west-coast v richmond,To Get 25 or More Disposals,11.50,WCE,RCH
R18,sam petrevski-seton,west-coast v richmond,To Get 25 or More Disposals,11.50,WCE,RCH
R18,elijah hewett,west-coast v richmond,To Get 25 or More Disposals,12.00,WCE,RCH
R18,tim taranto,west-coast v richmond,To Get 25 or More Disposals,1.22,WCE,RCH
R18,dustin martin,west-coast v richmond,To Get 25 or More Disposals,1.96,WCE,RCH
R18,jacob hopper,west-coast v richmond,To Get 25 or More Disposals,2.07,WCE,RCH
R18,dion prestia,west-coast v richmond,To Get 25 or More Disposals,2.18,WCE,RCH
R18,shai bolton,west-coast v richmond,To Get 25 or More Disposals,2.25,WCE,RCH
R18,daniel rioli,west-coast v richmond,To Get 25 or More Disposals,3.15,WCE,RCH
R18,nick vlastuin,west-coast v richmond,To Get 25 or More Disposals,4.00,WCE,RCH
R18,trent cotchin,west-coast v richmond,To Get 25 or More Disposals,5.20,WCE,RCH
R18,jack ross,west-coast v richmond,To Get 25 or More Disposals,6.25,WCE,RCH
R18,liam baker,west-coast v richmond,To Get 25 or More Disposals,7.50,WCE,RCH
R18,nathan broad,west-coast v richmond,To Get 25 or More Disposals,8.25,WCE,RCH
R18,noah balta,west-coast v richmond,To Get 25 or More Disposals,8.25,WCE,RCH
R18,jack graham,west-coast v richmond,To Get 25 or More Disposals,8.50,WCE,RCH
R18,tim kelly,west-coast v richmond,To Get 30 or More Disposals,2.10,WCE,RCH
R18,liam duggan,west-coast v richmond,To Get 30 or More Disposals,3.00,WCE,RCH
R18,dom sheed,west-coast v richmond,To Get 30 or More Disposals,3.10,WCE,RCH
R18,shannon hurn,west-coast v richmond,To Get 30 or More Disposals,3.90,WCE,RCH
R18,luke shuey,west-coast v richmond,To Get 30 or More Disposals,4.30,WCE,RCH
R18,alex witherden,west-coast v richmond,To Get 30 or More Disposals,6.25,WCE,RCH
R18,jeremy mcgovern,west-coast v richmond,To Get 30 or More Disposals,7.75,WCE,RCH
R18,jayden hunt,west-coast v richmond,To Get 30 or More Disposals,9.75,WCE,RCH
R18,tim taranto,west-coast v richmond,To Get 30 or More Disposals,1.84,WCE,RCH
R18,dustin martin,west-coast v richmond,To Get 30 or More Disposals,3.50,WCE,RCH
R18,jacob hopper,west-coast v richmond,To Get 30 or More Disposals,4.40,WCE,RCH
R18,shai bolton,west-coast v richmond,To Get 30 or More Disposals,5.00,WCE,RCH
R18,dion prestia,west-coast v richmond,To Get 30 or More Disposals,5.30,WCE,RCH
R18,daniel rioli,west-coast v richmond,To Get 30 or More Disposals,8.75,WCE,RCH
R18,trent cotchin,west-coast v richmond,To Get 30 or More Disposals,11.00,WCE,RCH
R18,nick vlastuin,west-coast v richmond,To Get 30 or More Disposals,12.00,WCE,RCH
R18,jack ross,west-coast v richmond,To Get 30 or More Disposals,19.00,WCE,RCH
R18,liam baker,west-coast v richmond,To Get 30 or More Disposals,26.00,WCE,RCH
R18,jack graham,west-coast v richmond,To Get 30 or More Disposals,29.00,WCE,RCH
R18,nathan broad,west-coast v richmond,To Get 30 or More Disposals,29.00,WCE,RCH
