round,Player,teams,disposals,odds,home,away
R18,tyson stengle,geelong v essendon,To Get 15 or More Disposals,3.25,GEE,ESS
R18,oliver henry,geelong v essendon,To Get 15 or More Disposals,3.80,GEE,ESS
R18,gary rohan,geelong v essendon,To Get 15 or More Disposals,3.90,GEE,ESS
R18,sam de koning,geelong v essendon,To Get 15 or More Disposals,4.50,GEE,ESS
R18,andrew mcgrath,geelong v essendon,To Get 15 or More Disposals,SUS,GEE,ESS
R18,nic martin,geelong v essendon,To Get 15 or More Disposals,SUS,GEE,ESS
R18,ben hobbs,geelong v essendon,To Get 15 or More Disposals,1.07,GEE,ESS
R18,jye caldwell,geelong v essendon,To Get 15 or More Disposals,1.10,GEE,ESS
R18,mason redman,geelong v essendon,To Get 15 or More Disposals,1.13,GEE,ESS
R18,archie perkins,geelong v essendon,To Get 15 or More Disposals,1.26,GEE,ESS
R18,sam durham,geelong v essendon,To Get 15 or More Disposals,1.63,GEE,ESS
R18,jayden laverde,geelong v essendon,To Get 15 or More Disposals,1.66,GEE,ESS
R18,jake stringer,geelong v essendon,To Get 15 or More Disposals,1.67,GEE,ESS
R18,jake kelly,geelong v essendon,To Get 15 or More Disposals,1.95,GEE,ESS
R18,nick bryan,geelong v essendon,To Get 15 or More Disposals,1.95,GEE,ESS
R18,kyle langford,geelong v essendon,To Get 15 or More Disposals,2.08,GEE,ESS
R18,matt guelfi,geelong v essendon,To Get 15 or More Disposals,2.30,GEE,ESS
R18,brandon zerk-thatcher,geelong v essendon,To Get 15 or More Disposals,2.90,GEE,ESS
R18,will snelling,geelong v essendon,To Get 15 or More Disposals,3.25,GEE,ESS
R18,peter wright,geelong v essendon,To Get 15 or More Disposals,4.60,GEE,ESS
R18,tom stewart,geelong v essendon,To Get 20 or More Disposals,1.18,GEE,ESS
R18,patrick dangerfield,geelong v essendon,To Get 20 or More Disposals,1.22,GEE,ESS
R18,mitch duncan,geelong v essendon,To Get 20 or More Disposals,1.31,GEE,ESS
R18,isaac smith,geelong v essendon,To Get 20 or More Disposals,1.65,GEE,ESS
R18,gryan miers,geelong v essendon,To Get 20 or More Disposals,1.73,GEE,ESS
R18,max holmes,geelong v essendon,To Get 20 or More Disposals,1.94,GEE,ESS
R18,jack bowes,geelong v essendon,To Get 20 or More Disposals,1.96,GEE,ESS
R18,tanner bruhn,geelong v essendon,To Get 20 or More Disposals,2.30,GEE,ESS
R18,tom atkins,geelong v essendon,To Get 20 or More Disposals,2.35,GEE,ESS
R18,mark blicavs,geelong v essendon,To Get 20 or More Disposals,2.80,GEE,ESS
R18,zach guthrie,geelong v essendon,To Get 20 or More Disposals,3.25,GEE,ESS
R18,jeremy cameron,geelong v essendon,To Get 20 or More Disposals,3.30,GEE,ESS
R18,brad close,geelong v essendon,To Get 20 or More Disposals,3.60,GEE,ESS
R18,tom hawkins,geelong v essendon,To Get 20 or More Disposals,9.25,GEE,ESS
R18,darcy parish,geelong v essendon,To Get 20 or More Disposals,SUS,GEE,ESS
R18,nic martin,geelong v essendon,To Get 20 or More Disposals,1.36,GEE,ESS
R18,andrew mcgrath,geelong v essendon,To Get 20 or More Disposals,1.37,GEE,ESS
R18,ben hobbs,geelong v essendon,To Get 20 or More Disposals,1.50,GEE,ESS
R18,dyson heppell,geelong v essendon,To Get 20 or More Disposals,1.69,GEE,ESS
