odds,round,teams,disposals,Player,home,away
12.00,R18,melbourne v brisbane,To Get 30 or More Disposals,trent rivers,MEL,BRL
14.00,R18,melbourne v brisbane,To Get 30 or More Disposals,steven may,MEL,BRL
29.00,R18,melbourne v brisbane,To Get 30 or More Disposals,max gawn,MEL,BRL
1.65,R18,melbourne v brisbane,To Get 30 or More Disposals,lachie neale,MEL,BRL
3.25,R18,melbourne v brisbane,To Get 30 or More Disposals,jarryd lyons,MEL,BRL
3.90,R18,melbourne v brisbane,To Get 30 or More Disposals,will ashcroft,MEL,BRL
4.10,R18,melbourne v brisbane,To Get 30 or More Disposals,hugh mccluggage,MEL,BRL
13.00,R18,melbourne v brisbane,To Get 30 or More Disposals,dayne zorko,MEL,BRL
1.06,R18,collingwood v fremantle,To Get 15 or More Disposals,jordan de goey,COL,FRE
1.07,R18,collingwood v fremantle,To Get 15 or More Disposals,john noble,COL,FRE
1.13,R18,collingwood v fremantle,To Get 15 or More Disposals,jack crisp,COL,FRE
1.18,R18,collingwood v fremantle,To Get 15 or More Disposals,isaac quaynor,COL,FRE
1.18,R18,collingwood v fremantle,To Get 15 or More Disposals,taylor adams,COL,FRE
1.23,R18,collingwood v fremantle,To Get 15 or More Disposals,patrick lipinski,COL,FRE
1.25,R18,collingwood v fremantle,To Get 15 or More Disposals,brayden maynard,COL,FRE
1.32,R18,collingwood v fremantle,To Get 15 or More Disposals,jeremy howe,COL,FRE
1.35,R18,collingwood v fremantle,To Get 15 or More Disposals,darcy moore,COL,FRE
2.30,R18,collingwood v fremantle,To Get 15 or More Disposals,billy frampton,COL,FRE
2.85,R18,collingwood v fremantle,To Get 15 or More Disposals,mason cox,COL,FRE
4.20,R18,collingwood v fremantle,To Get 15 or More Disposals,jamie elliott,COL,FRE
4.80,R18,collingwood v fremantle,To Get 15 or More Disposals,ash johnson,COL,FRE
1.06,R18,collingwood v fremantle,To Get 15 or More Disposals,luke ryan,COL,FRE
1.11,R18,collingwood v fremantle,To Get 15 or More Disposals,liam henry,COL,FRE
1.15,R18,collingwood v fremantle,To Get 15 or More Disposals,james aish,COL,FRE
1.18,R18,collingwood v fremantle,To Get 15 or More Disposals,jordan clark,COL,FRE
1.33,R18,collingwood v fremantle,To Get 15 or More Disposals,matt johnson,COL,FRE
1.48,R18,collingwood v fremantle,To Get 15 or More Disposals,sean darcy,COL,FRE
1.49,R18,collingwood v fremantle,To Get 15 or More Disposals,neil erasmus,COL,FRE
1.59,R18,collingwood v fremantle,To Get 15 or More Disposals,lachie schultz,COL,FRE
1.72,R18,collingwood v fremantle,To Get 15 or More Disposals,luke jackson,COL,FRE
2.30,R18,collingwood v fremantle,To Get 15 or More Disposals,sam switkowski,COL,FRE
4.50,R18,collingwood v fremantle,To Get 15 or More Disposals,michael walters,COL,FRE
1.09,R18,collingwood v fremantle,To Get 20 or More Disposals,tom mitchell,COL,FRE
1.16,R18,collingwood v fremantle,To Get 20 or More Disposals,josh daicos,COL,FRE
1.27,R18,collingwood v fremantle,To Get 20 or More Disposals,scott pendlebury,COL,FRE
1.28,R18,collingwood v fremantle,To Get 20 or More Disposals,jordan de goey,COL,FRE
1.50,R18,collingwood v fremantle,To Get 20 or More Disposals,john noble,COL,FRE
1.71,R18,collingwood v fremantle,To Get 20 or More Disposals,jack crisp,COL,FRE
1.92,R18,collingwood v fremantle,To Get 20 or More Disposals,isaac quaynor,COL,FRE
1.95,R18,collingwood v fremantle,To Get 20 or More Disposals,taylor adams,COL,FRE
2.30,R18,collingwood v fremantle,To Get 20 or More Disposals,brayden maynard,COL,FRE
2.35,R18,collingwood v fremantle,To Get 20 or More Disposals,patrick lipinski,COL,FRE
