odds,round,teams,disposals,Player,home,away
1.80,R18,gold-coast v st-kilda,To Get 15 or More Disposals,dougal howard,GCS,STK
2.03,R18,gold-coast v st-kilda,To Get 15 or More Disposals,mitchito owens,GCS,STK
1.16,R18,gold-coast v st-kilda,To Get 20 or More Disposals,touk miller,GCS,STK
1.36,R18,gold-coast v st-kilda,To Get 20 or More Disposals,sam flanders,GCS,STK
1.40,R18,gold-coast v st-kilda,To Get 20 or More Disposals,darcy macpherson,GCS,STK
1.52,R18,gold-coast v st-kilda,To Get 20 or More Disposals,matt rowell,GCS,STK
1.54,R18,gold-coast v st-kilda,To Get 20 or More Disposals,rory atkins,GCS,STK
1.59,R18,gold-coast v st-kilda,To Get 20 or More Disposals,lachie weller,GCS,STK
1.69,R18,gold-coast v st-kilda,To Get 20 or More Disposals,wil powell,GCS,STK
1.71,R18,gold-coast v st-kilda,To Get 20 or More Disposals,brayden fiorini,GCS,STK
2.55,R18,gold-coast v st-kilda,To Get 20 or More Disposals,brandon ellis,GCS,STK
2.75,R18,gold-coast v st-kilda,To Get 20 or More Disposals,david swallow,GCS,STK
2.90,R18,gold-coast v st-kilda,To Get 20 or More Disposals,charlie ballard,GCS,STK
3.05,R18,gold-coast v st-kilda,To Get 20 or More Disposals,ben ainsworth,GCS,STK
3.70,R18,gold-coast v st-kilda,To Get 20 or More Disposals,bailey humphrey,GCS,STK
5.80,R18,gold-coast v st-kilda,To Get 20 or More Disposals,jarrod witts,GCS,STK
6.25,R18,gold-coast v st-kilda,To Get 20 or More Disposals,sam collins,GCS,STK
6.50,R18,gold-coast v st-kilda,To Get 20 or More Disposals,jack lukosius,GCS,STK
8.00,R18,gold-coast v st-kilda,To Get 20 or More Disposals,nick holman,GCS,STK
1.10,R18,gold-coast v st-kilda,To Get 20 or More Disposals,brad crouch,GCS,STK
1.16,R18,gold-coast v st-kilda,To Get 20 or More Disposals,jack steele,GCS,STK
1.22,R18,gold-coast v st-kilda,To Get 20 or More Disposals,nasiah wanganeen-milera,GCS,STK
1.52,R18,gold-coast v st-kilda,To Get 20 or More Disposals,brad hill,GCS,STK
1.53,R18,gold-coast v st-kilda,To Get 20 or More Disposals,rowan marshall,GCS,STK
1.66,R18,gold-coast v st-kilda,To Get 20 or More Disposals,mason wood,GCS,STK
1.90,R18,gold-coast v st-kilda,To Get 20 or More Disposals,zak jones,GCS,STK
1.94,R18,gold-coast v st-kilda,To Get 20 or More Disposals,callum wilkie,GCS,STK
2.20,R18,gold-coast v st-kilda,To Get 20 or More Disposals,jade gresham,GCS,STK
2.45,R18,gold-coast v st-kilda,To Get 20 or More Disposals,marcus windhager,GCS,STK
2.80,R18,gold-coast v st-kilda,To Get 20 or More Disposals,ryan byrnes,GCS,STK
3.05,R18,gold-coast v st-kilda,To Get 20 or More Disposals,liam stocker,GCS,STK
3.60,R18,gold-coast v st-kilda,To Get 20 or More Disposals,jimmy webster,GCS,STK
5.50,R18,gold-coast v st-kilda,To Get 20 or More Disposals,dougal howard,GCS,STK
6.50,R18,gold-coast v st-kilda,To Get 20 or More Disposals,mitchito owens,GCS,STK
1.29,R18,gold-coast v st-kilda,To Get 25 or More Disposals,noah anderson,GCS,STK
1.74,R18,gold-coast v st-kilda,To Get 25 or More Disposals,touk miller,GCS,STK
1.98,R18,gold-coast v st-kilda,To Get 25 or More Disposals,sam flanders,GCS,STK
2.55,R18,gold-coast v st-kilda,To Get 25 or More Disposals,darcy macpherson,GCS,STK
2.85,R18,gold-coast v st-kilda,To Get 25 or More Disposals,lachie weller,GCS,STK
3.15,R18,gold-coast v st-kilda,To Get 25 or More Disposals,rory atkins,GCS,STK
3.30,R18,gold-coast v st-kilda,To Get 25 or More Disposals,matt rowell,GCS,STK
3.75,R18,gold-coast v st-kilda,To Get 25 or More Disposals,brayden fiorini,GCS,STK
4.10,R18,gold-coast v st-kilda,To Get 25 or More Disposals,wil powell,GCS,STK
6.25,R18,gold-coast v st-kilda,To Get 25 or More Disposals,brandon ellis,GCS,STK
8.25,R18,gold-coast v st-kilda,To Get 25 or More Disposals,ben ainsworth,GCS,STK
9.50,R18,gold-coast v st-kilda,To Get 25 or More Disposals,david swallow,GCS,STK
9.75,R18,gold-coast v st-kilda,To Get 25 or More Disposals,charlie ballard,GCS,STK
11.00,R18,gold-coast v st-kilda,To Get 25 or More Disposals,bailey humphrey,GCS,STK
1.18,R18,gold-coast v st-kilda,To Get 25 or More Disposals,jack sinclair,GCS,STK
1.54,R18,gold-coast v st-kilda,To Get 25 or More Disposals,brad crouch,GCS,STK
1.70,R18,gold-coast v st-kilda,To Get 25 or More Disposals,jack steele,GCS,STK
1.94,R18,gold-coast v st-kilda,To Get 25 or More Disposals,nasiah wanganeen-milera,GCS,STK
3.05,R18,gold-coast v st-kilda,To Get 25 or More Disposals,brad hill,GCS,STK
3.10,R18,gold-coast v st-kilda,To Get 25 or More Disposals,rowan marshall,GCS,STK
4.25,R18,gold-coast v st-kilda,To Get 25 or More Disposals,mason wood,GCS,STK
4.90,R18,gold-coast v st-kilda,To Get 25 or More Disposals,jade gresham,GCS,STK
5.00,R18,gold-coast v st-kilda,To Get 25 or More Disposals,zak jones,GCS,STK
5.40,R18,gold-coast v st-kilda,To Get 25 or More Disposals,callum wilkie,GCS,STK
7.25,R18,gold-coast v st-kilda,To Get 25 or More Disposals,marcus windhager,GCS,STK
9.00,R18,gold-coast v st-kilda,To Get 25 or More Disposals,ryan byrnes,GCS,STK
10.00,R18,gold-coast v st-kilda,To Get 25 or More Disposals,liam stocker,GCS,STK
2.03,R18,gold-coast v st-kilda,To Get 30 or More Disposals,noah anderson,GCS,STK
3.20,R18,gold-coast v st-kilda,To Get 30 or More Disposals,sam flanders,GCS,STK
3.35,R18,gold-coast v st-kilda,To Get 30 or More Disposals,touk miller,GCS,STK
5.90,R18,gold-coast v st-kilda,To Get 30 or More Disposals,lachie weller,GCS,STK
6.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,darcy macpherson,GCS,STK
8.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,rory atkins,GCS,STK
9.25,R18,gold-coast v st-kilda,To Get 30 or More Disposals,matt rowell,GCS,STK
11.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,brayden fiorini,GCS,STK
12.50,R18,gold-coast v st-kilda,To Get 30 or More Disposals,wil powell,GCS,STK
17.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,brandon ellis,GCS,STK
23.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,ben ainsworth,GCS,STK
1.65,R18,gold-coast v st-kilda,To Get 30 or More Disposals,jack sinclair,GCS,STK
2.90,R18,gold-coast v st-kilda,To Get 30 or More Disposals,brad crouch,GCS,STK
3.35,R18,gold-coast v st-kilda,To Get 30 or More Disposals,jack steele,GCS,STK
4.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,nasiah wanganeen-milera,GCS,STK
8.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,brad hill,GCS,STK
8.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,rowan marshall,GCS,STK
12.50,R18,gold-coast v st-kilda,To Get 30 or More Disposals,jade gresham,GCS,STK
15.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,mason wood,GCS,STK
17.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,zak jones,GCS,STK
18.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,callum wilkie,GCS,STK
23.00,R18,gold-coast v st-kilda,To Get 30 or More Disposals,marcus windhager,GCS,STK
1.06,R18,carlton v port-adelaide,To Get 15 or More Disposals,blake acres,CAR,POR
1.10,R18,carlton v port-adelaide,To Get 15 or More Disposals,adam saad,CAR,POR
1.13,R18,carlton v port-adelaide,To Get 15 or More Disposals,nic newman,CAR,POR
1.37,R18,carlton v port-adelaide,To Get 15 or More Disposals,jack silvagni,CAR,POR
1.46,R18,carlton v port-adelaide,To Get 15 or More Disposals,brodie kemp,CAR,POR
1.52,R18,carlton v port-adelaide,To Get 15 or More Disposals,matthew cottrell,CAR,POR
1.67,R18,carlton v port-adelaide,To Get 15 or More Disposals,jacob weitering,CAR,POR
1.93,R18,carlton v port-adelaide,To Get 15 or More Disposals,charlie curnow,CAR,POR
1.94,R18,carlton v port-adelaide,To Get 15 or More Disposals,lachlan fogarty,CAR,POR
1.97,R18,carlton v port-adelaide,To Get 15 or More Disposals,lewis young,CAR,POR
2.30,R18,carlton v port-adelaide,To Get 15 or More Disposals,harry mckay,CAR,POR
2.30,R18,carlton v port-adelaide,To Get 15 or More Disposals,jordan boyd,CAR,POR
2.35,R18,carlton v port-adelaide,To Get 15 or More Disposals,alex cincotta,CAR,POR
3.00,R18,carlton v port-adelaide,To Get 15 or More Disposals,tom de koning,CAR,POR
1.34,R18,carlton v port-adelaide,To Get 15 or More Disposals,dylan williams,CAR,POR
1.50,R18,carlton v port-adelaide,To Get 15 or More Disposals,kane farrell,CAR,POR
1.50,R18,carlton v port-adelaide,To Get 15 or More Disposals,ryan burton,CAR,POR
1.53,R18,carlton v port-adelaide,To Get 15 or More Disposals,willem drew,CAR,POR
1.56,R18,carlton v port-adelaide,To Get 15 or More Disposals,travis boak,CAR,POR
1.62,R18,carlton v port-adelaide,To Get 15 or More Disposals,jason horne-francis,CAR,POR
1.68,R18,carlton v port-adelaide,To Get 15 or More Disposals,jeremy finlayson,CAR,POR
1.93,R18,carlton v port-adelaide,To Get 15 or More Disposals,darcy byrne-jones,CAR,POR
2.08,R18,carlton v port-adelaide,To Get 15 or More Disposals,charlie dixon,CAR,POR
2.30,R18,carlton v port-adelaide,To Get 15 or More Disposals,miles bergman,CAR,POR
2.30,R18,carlton v port-adelaide,To Get 15 or More Disposals,sam powell-pepper,CAR,POR
1.07,R18,carlton v port-adelaide,To Get 20 or More Disposals,adam cerra,CAR,POR
1.10,R18,carlton v port-adelaide,To Get 20 or More Disposals,sam docherty,CAR,POR
1.12,R18,carlton v port-adelaide,To Get 20 or More Disposals,patrick cripps,CAR,POR
1.40,R18,carlton v port-adelaide,To Get 20 or More Disposals,blake acres,CAR,POR
1.67,R18,carlton v port-adelaide,To Get 20 or More Disposals,adam saad,CAR,POR
1.70,R18,carlton v port-adelaide,To Get 20 or More Disposals,nic newman,CAR,POR
2.70,R18,carlton v port-adelaide,To Get 20 or More Disposals,jack silvagni,CAR,POR
3.50,R18,carlton v port-adelaide,To Get 20 or More Disposals,brodie kemp,CAR,POR
3.80,R18,carlton v port-adelaide,To Get 20 or More Disposals,matthew cottrell,CAR,POR
4.60,R18,carlton v port-adelaide,To Get 20 or More Disposals,jacob weitering,CAR,POR
5.70,R18,carlton v port-adelaide,To Get 20 or More Disposals,lewis young,CAR,POR
5.75,R18,carlton v port-adelaide,To Get 20 or More Disposals,lachlan fogarty,CAR,POR
6.25,R18,carlton v port-adelaide,To Get 20 or More Disposals,charlie curnow,CAR,POR
6.25,R18,carlton v port-adelaide,To Get 20 or More Disposals,harry mckay,CAR,POR
7.50,R18,carlton v port-adelaide,To Get 20 or More Disposals,jordan boyd,CAR,POR
8.50,R18,carlton v port-adelaide,To Get 20 or More Disposals,alex cincotta,CAR,POR
1.11,R18,carlton v port-adelaide,To Get 20 or More Disposals,zak butters,CAR,POR
1.15,R18,carlton v port-adelaide,To Get 20 or More Disposals,connor rozee,CAR,POR
1.31,R18,carlton v port-adelaide,To Get 20 or More Disposals,dan houston,CAR,POR
1.31,R18,carlton v port-adelaide,To Get 20 or More Disposals,ollie wines,CAR,POR
2.60,R18,carlton v port-adelaide,To Get 20 or More Disposals,travis boak,CAR,POR
2.80,R18,carlton v port-adelaide,To Get 20 or More Disposals,dylan williams,CAR,POR
3.30,R18,carlton v port-adelaide,To Get 20 or More Disposals,jason horne-francis,CAR,POR
3.30,R18,carlton v port-adelaide,To Get 20 or More Disposals,kane farrell,CAR,POR
3.35,R18,carlton v port-adelaide,To Get 20 or More Disposals,ryan burton,CAR,POR
3.90,R18,carlton v port-adelaide,To Get 20 or More Disposals,willem drew,CAR,POR
4.30,R18,carlton v port-adelaide,To Get 20 or More Disposals,jeremy finlayson,CAR,POR
5.80,R18,carlton v port-adelaide,To Get 20 or More Disposals,darcy byrne-jones,CAR,POR
6.25,R18,carlton v port-adelaide,To Get 20 or More Disposals,miles bergman,CAR,POR
6.75,R18,carlton v port-adelaide,To Get 20 or More Disposals,charlie dixon,CAR,POR
7.75,R18,carlton v port-adelaide,To Get 20 or More Disposals,sam powell-pepper,CAR,POR
1.17,R18,carlton v port-adelaide,To Get 25 or More Disposals,sam walsh,CAR,POR
1.40,R18,carlton v port-adelaide,To Get 25 or More Disposals,adam cerra,CAR,POR
1.54,R18,carlton v port-adelaide,To Get 25 or More Disposals,sam docherty,CAR,POR
1.57,R18,carlton v port-adelaide,To Get 25 or More Disposals,patrick cripps,CAR,POR
2.65,R18,carlton v port-adelaide,To Get 25 or More Disposals,blake acres,CAR,POR
3.80,R18,carlton v port-adelaide,To Get 25 or More Disposals,nic newman,CAR,POR
3.90,R18,carlton v port-adelaide,To Get 25 or More Disposals,adam saad,CAR,POR
8.25,R18,carlton v port-adelaide,To Get 25 or More Disposals,jack silvagni,CAR,POR
15.00,R18,carlton v port-adelaide,To Get 25 or More Disposals,brodie kemp,CAR,POR
17.00,R18,carlton v port-adelaide,To Get 25 or More Disposals,matthew cottrell,CAR,POR
1.56,R18,carlton v port-adelaide,To Get 25 or More Disposals,zak butters,CAR,POR
1.70,R18,carlton v port-adelaide,To Get 25 or More Disposals,connor rozee,CAR,POR
2.25,R18,carlton v port-adelaide,To Get 25 or More Disposals,dan houston,CAR,POR
2.25,R18,carlton v port-adelaide,To Get 25 or More Disposals,ollie wines,CAR,POR
5.60,R18,carlton v port-adelaide,To Get 25 or More Disposals,travis boak,CAR,POR
9.25,R18,carlton v port-adelaide,To Get 25 or More Disposals,jason horne-francis,CAR,POR
10.00,R18,carlton v port-adelaide,To Get 25 or More Disposals,dylan williams,CAR,POR
11.50,R18,carlton v port-adelaide,To Get 25 or More Disposals,kane farrell,CAR,POR
12.00,R18,carlton v port-adelaide,To Get 25 or More Disposals,ryan burton,CAR,POR
17.00,R18,carlton v port-adelaide,To Get 25 or More Disposals,jeremy finlayson,CAR,POR
1.64,R18,carlton v port-adelaide,To Get 30 or More Disposals,sam walsh,CAR,POR
2.35,R18,carlton v port-adelaide,To Get 30 or More Disposals,adam cerra,CAR,POR
2.80,R18,carlton v port-adelaide,To Get 30 or More Disposals,patrick cripps,CAR,POR
2.85,R18,carlton v port-adelaide,To Get 30 or More Disposals,sam docherty,CAR,POR
6.50,R18,carlton v port-adelaide,To Get 30 or More Disposals,blake acres,CAR,POR
10.50,R18,carlton v port-adelaide,To Get 30 or More Disposals,nic newman,CAR,POR
12.00,R18,carlton v port-adelaide,To Get 30 or More Disposals,adam saad,CAR,POR
29.00,R18,carlton v port-adelaide,To Get 30 or More Disposals,jack silvagni,CAR,POR
2.80,R18,carlton v port-adelaide,To Get 30 or More Disposals,zak butters,CAR,POR
3.50,R18,carlton v port-adelaide,To Get 30 or More Disposals,connor rozee,CAR,POR
5.00,R18,carlton v port-adelaide,To Get 30 or More Disposals,dan houston,CAR,POR
5.10,R18,carlton v port-adelaide,To Get 30 or More Disposals,ollie wines,CAR,POR
12.00,R18,carlton v port-adelaide,To Get 30 or More Disposals,travis boak,CAR,POR
1.08,R18,geelong v essendon,To Get 15 or More Disposals,isaac smith,GEE,ESS
1.10,R18,geelong v essendon,To Get 15 or More Disposals,gryan miers,GEE,ESS
1.17,R18,geelong v essendon,To Get 15 or More Disposals,zach tuohy,GEE,ESS
1.18,R18,geelong v essendon,To Get 15 or More Disposals,jack bowes,GEE,ESS
1.18,R18,geelong v essendon,To Get 15 or More Disposals,max holmes,GEE,ESS
1.22,R18,geelong v essendon,To Get 15 or More Disposals,tanner bruhn,GEE,ESS
1.22,R18,geelong v essendon,To Get 15 or More Disposals,tom atkins,GEE,ESS
1.28,R18,geelong v essendon,To Get 15 or More Disposals,mark blicavs,GEE,ESS
1.47,R18,geelong v essendon,To Get 15 or More Disposals,zach guthrie,GEE,ESS
1.50,R18,geelong v essendon,To Get 15 or More Disposals,jeremy cameron,GEE,ESS
1.55,R18,geelong v essendon,To Get 15 or More Disposals,brad close,GEE,ESS
2.30,R18,geelong v essendon,To Get 15 or More Disposals,tom hawkins,GEE,ESS
3.25,R18,geelong v essendon,To Get 15 or More Disposals,tyson stengle,GEE,ESS
3.80,R18,geelong v essendon,To Get 15 or More Disposals,gary rohan,GEE,ESS
3.80,R18,geelong v essendon,To Get 15 or More Disposals,oliver henry,GEE,ESS
4.40,R18,geelong v essendon,To Get 15 or More Disposals,sam de koning,GEE,ESS
SUS,R18,geelong v essendon,To Get 15 or More Disposals,nic martin,GEE,ESS
SUS,R18,geelong v essendon,To Get 15 or More Disposals,andrew mcgrath,GEE,ESS
SUS,R18,geelong v essendon,To Get 15 or More Disposals,ben hobbs,GEE,ESS
1.07,R18,geelong v essendon,To Get 15 or More Disposals,jye caldwell,GEE,ESS
1.09,R18,geelong v essendon,To Get 15 or More Disposals,mason redman,GEE,ESS
1.35,R18,geelong v essendon,To Get 15 or More Disposals,archie perkins,GEE,ESS
1.65,R18,geelong v essendon,To Get 15 or More Disposals,sam durham,GEE,ESS
1.67,R18,geelong v essendon,To Get 15 or More Disposals,jake stringer,GEE,ESS
1.70,R18,geelong v essendon,To Get 15 or More Disposals,jayden laverde,GEE,ESS
1.97,R18,geelong v essendon,To Get 15 or More Disposals,jake kelly,GEE,ESS
2.15,R18,geelong v essendon,To Get 15 or More Disposals,kyle langford,GEE,ESS
2.30,R18,geelong v essendon,To Get 15 or More Disposals,matt guelfi,GEE,ESS
2.95,R18,geelong v essendon,To Get 15 or More Disposals,brandon zerk-thatcher,GEE,ESS
3.30,R18,geelong v essendon,To Get 15 or More Disposals,will snelling,GEE,ESS
1.18,R18,geelong v essendon,To Get 20 or More Disposals,tom stewart,GEE,ESS
1.22,R18,geelong v essendon,To Get 20 or More Disposals,patrick dangerfield,GEE,ESS
1.30,R18,geelong v essendon,To Get 20 or More Disposals,mitch duncan,GEE,ESS
1.55,R18,geelong v essendon,To Get 20 or More Disposals,gryan miers,GEE,ESS
1.67,R18,geelong v essendon,To Get 20 or More Disposals,isaac smith,GEE,ESS
1.94,R18,geelong v essendon,To Get 20 or More Disposals,jack bowes,GEE,ESS
1.94,R18,geelong v essendon,To Get 20 or More Disposals,max holmes,GEE,ESS
1.95,R18,geelong v essendon,To Get 20 or More Disposals,zach tuohy,GEE,ESS
2.20,R18,geelong v essendon,To Get 20 or More Disposals,tanner bruhn,GEE,ESS
2.25,R18,geelong v essendon,To Get 20 or More Disposals,tom atkins,GEE,ESS
2.85,R18,geelong v essendon,To Get 20 or More Disposals,mark blicavs,GEE,ESS
3.35,R18,geelong v essendon,To Get 20 or More Disposals,zach guthrie,GEE,ESS
3.40,R18,geelong v essendon,To Get 20 or More Disposals,jeremy cameron,GEE,ESS
3.60,R18,geelong v essendon,To Get 20 or More Disposals,brad close,GEE,ESS
9.00,R18,geelong v essendon,To Get 20 or More Disposals,tom hawkins,GEE,ESS
1.30,R18,geelong v essendon,To Get 20 or More Disposals,nic martin,GEE,ESS
1.36,R18,geelong v essendon,To Get 20 or More Disposals,andrew mcgrath,GEE,ESS
1.37,R18,geelong v essendon,To Get 20 or More Disposals,ben hobbs,GEE,ESS
1.37,R18,geelong v essendon,To Get 20 or More Disposals,dyson heppell,GEE,ESS
1.50,R18,geelong v essendon,To Get 20 or More Disposals,jye caldwell,GEE,ESS
1.55,R18,geelong v essendon,To Get 20 or More Disposals,mason redman,GEE,ESS
2.70,R18,geelong v essendon,To Get 20 or More Disposals,archie perkins,GEE,ESS
4.20,R18,geelong v essendon,To Get 20 or More Disposals,jake stringer,GEE,ESS
4.40,R18,geelong v essendon,To Get 20 or More Disposals,jayden laverde,GEE,ESS
4.60,R18,geelong v essendon,To Get 20 or More Disposals,sam durham,GEE,ESS
6.00,R18,geelong v essendon,To Get 20 or More Disposals,jake kelly,GEE,ESS
7.00,R18,geelong v essendon,To Get 20 or More Disposals,kyle langford,GEE,ESS
1.92,R18,geelong v essendon,To Get 25 or More Disposals,tom stewart,GEE,ESS
1.95,R18,geelong v essendon,To Get 25 or More Disposals,patrick dangerfield,GEE,ESS
2.20,R18,geelong v essendon,To Get 25 or More Disposals,mitch duncan,GEE,ESS
3.15,R18,geelong v essendon,To Get 25 or More Disposals,gryan miers,GEE,ESS
4.30,R18,geelong v essendon,To Get 25 or More Disposals,isaac smith,GEE,ESS
4.60,R18,geelong v essendon,To Get 25 or More Disposals,jack bowes,GEE,ESS
4.75,R18,geelong v essendon,To Get 25 or More Disposals,max holmes,GEE,ESS
4.80,R18,geelong v essendon,To Get 25 or More Disposals,zach tuohy,GEE,ESS
7.00,R18,geelong v essendon,To Get 25 or More Disposals,tanner bruhn,GEE,ESS
7.00,R18,geelong v essendon,To Get 25 or More Disposals,tom atkins,GEE,ESS
11.50,R18,geelong v essendon,To Get 25 or More Disposals,mark blicavs,GEE,ESS
11.50,R18,geelong v essendon,To Get 25 or More Disposals,zach guthrie,GEE,ESS
12.00,R18,geelong v essendon,To Get 25 or More Disposals,jeremy cameron,GEE,ESS
13.00,R18,geelong v essendon,To Get 25 or More Disposals,brad close,GEE,ESS
1.10,R18,geelong v essendon,To Get 25 or More Disposals,darcy parish,GEE,ESS
1.25,R18,geelong v essendon,To Get 25 or More Disposals,zach merrett,GEE,ESS
2.25,R18,geelong v essendon,To Get 25 or More Disposals,nic martin,GEE,ESS
2.65,R18,geelong v essendon,To Get 25 or More Disposals,andrew mcgrath,GEE,ESS
2.65,R18,geelong v essendon,To Get 25 or More Disposals,ben hobbs,GEE,ESS
2.65,R18,geelong v essendon,To Get 25 or More Disposals,dyson heppell,GEE,ESS
3.15,R18,geelong v essendon,To Get 25 or More Disposals,mason redman,GEE,ESS
3.25,R18,geelong v essendon,To Get 25 or More Disposals,jye caldwell,GEE,ESS
8.25,R18,geelong v essendon,To Get 25 or More Disposals,archie perkins,GEE,ESS
17.00,R18,geelong v essendon,To Get 25 or More Disposals,jake stringer,GEE,ESS
4.00,R18,geelong v essendon,To Get 30 or More Disposals,patrick dangerfield,GEE,ESS
4.20,R18,geelong v essendon,To Get 30 or More Disposals,tom stewart,GEE,ESS
5.00,R18,geelong v essendon,To Get 30 or More Disposals,mitch duncan,GEE,ESS
8.00,R18,geelong v essendon,To Get 30 or More Disposals,gryan miers,GEE,ESS
13.00,R18,geelong v essendon,To Get 30 or More Disposals,jack bowes,GEE,ESS
14.00,R18,geelong v essendon,To Get 30 or More Disposals,max holmes,GEE,ESS
14.00,R18,geelong v essendon,To Get 30 or More Disposals,zach tuohy,GEE,ESS
16.00,R18,geelong v essendon,To Get 30 or More Disposals,isaac smith,GEE,ESS
26.00,R18,geelong v essendon,To Get 30 or More Disposals,tanner bruhn,GEE,ESS
26.00,R18,geelong v essendon,To Get 30 or More Disposals,tom atkins,GEE,ESS
1.38,R18,geelong v essendon,To Get 30 or More Disposals,darcy parish,GEE,ESS
1.69,R18,geelong v essendon,To Get 30 or More Disposals,zach merrett,GEE,ESS
5.00,R18,geelong v essendon,To Get 30 or More Disposals,nic martin,GEE,ESS
6.75,R18,geelong v essendon,To Get 30 or More Disposals,andrew mcgrath,GEE,ESS
6.75,R18,geelong v essendon,To Get 30 or More Disposals,ben hobbs,GEE,ESS
7.25,R18,geelong v essendon,To Get 30 or More Disposals,dyson heppell,GEE,ESS
8.00,R18,geelong v essendon,To Get 30 or More Disposals,mason redman,GEE,ESS
1.07,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,mitch hinge,ADE,GWS
1.13,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,brodie smith,ADE,GWS
1.19,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,rory sloane,ADE,GWS
1.22,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,wayne milera,ADE,GWS
1.25,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,chayce jones,ADE,GWS
1.36,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,lachlan sholl,ADE,GWS
1.48,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,ned mchenry,ADE,GWS
1.49,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,josh rachele,ADE,GWS
1.50,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,izak rankine,ADE,GWS
1.57,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,josh worrell,ADE,GWS
1.72,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,lachlan murphy,ADE,GWS
1.73,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,jake soligo,ADE,GWS
1.77,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,reilly o'brien,ADE,GWS
2.30,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,taylor walker,ADE,GWS
2.35,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,riley thilthorpe,ADE,GWS
3.75,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,luke pedlar,ADE,GWS
SUS,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,josh kelly,ADE,GWS
1.07,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,finn callaghan,ADE,GWS
1.07,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,lachie ash,ADE,GWS
1.10,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,harry himmelberg,ADE,GWS
1.15,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,harry perryman,ADE,GWS
1.22,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,isaac cumming,ADE,GWS
1.25,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,callan ward,ADE,GWS
1.32,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,toby greene,ADE,GWS
1.46,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,connor idun,ADE,GWS
1.48,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,brent daniels,ADE,GWS
1.95,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,kieren briggs,ADE,GWS
2.10,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,sam taylor,ADE,GWS
2.25,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,daniel lloyd,ADE,GWS
2.30,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,jesse hogan,ADE,GWS
2.35,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,jack buckley,ADE,GWS
3.80,R18,adelaide v greater-western-sydney,To Get 15 or More Disposals,jake riccardi,ADE,GWS
1.29,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,ben keays,ADE,GWS
1.50,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,mitch hinge,ADE,GWS
1.71,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,brodie smith,ADE,GWS
1.95,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,rory sloane,ADE,GWS
2.25,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,chayce jones,ADE,GWS
2.25,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,wayne milera,ADE,GWS
2.80,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,lachlan sholl,ADE,GWS
3.25,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,josh rachele,ADE,GWS
3.35,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,ned mchenry,ADE,GWS
3.40,R18,adelaide v greater-western-sydney,To Get 20 or More Disposals,izak rankine,ADE,GWS
