Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R18,SF,PF,GF,Tot
"Abbott, Paddy",,,,-,-,,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Alessio, Harry",,,,,,,,,-,1,,,,,,,,,,1.0
"Aumann, Ted",,,,,-,-,-,-,-,-,-,,,,,,,,,
"Bayliss, George",2,2,2,-,1,,,2,2,2,4,2,2,,,,3,3,2,29.0
"Bettles, Artie",-,-,-,-,,,,-,,-,-,-,-,-,-,,-,-,-,
"Burke, Leo",,,-,,,,,-,-,,,,,,,,,,,
"Carew, Bobby",,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,
"Don, Donald",5,2,1,-,3,1,2,5,-,2,2,-,-,-,2,-,2,2,2,31.0
"Dooley, Pat",-,,,,-,-,-,,,,,,,,,,,,,
"Fehring, Arthur",,,,-,,,,,,,,,,-,,,,,,
"Fehring, Charlie",,,-,2,1,1,-,2,1,3,-,,,,,,,,,10.0
"Fewster, Artie",-,-,,,,,,,,,,,,,,,,,,
"Hall, Clarrie",-,2,3,2,-,1,-,-,2,1,2,1,2,2,3,1,-,1,-,23.0
"Harley, Frank",,,,,,-,-,,-,,,,,,4,2,-,-,1,7.0
"Hede, Reg",-,-,,,,,,,-,,,,-,-,-,-,-,-,-,
"Herbert, Barney",1,-,-,-,-,-,-,1,-,4,-,-,-,2,1,-,3,-,-,12.0
"Hislop, Max",-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hood, Edmund",,-,-,,,-,,,,,,,,,,,,,,
"Huggard, Frank",,,,,,,,,,,,,-,,,,-,-,-,
"Hughes, Frank",,,,,,-,-,2,1,2,-,1,-,-,-,-,-,-,-,6.0
"James, Hughie",,,,,,,,,,,-,-,,-,1,-,-,1,2,4.0
"Maybury, Percy",-,,,,,,,,,,,,1,,-,-,-,1,-,2.0
"Moffatt, Dave",-,-,-,-,1,1,,,,-,,-,-,-,3,-,-,-,-,5.0
"Morris, Stan",,,-,-,-,,-,-,-,-,1,-,-,-,-,2,,-,-,3.0
"Parkinson, George",,,,,,,,,,,,,,,-,-,-,-,-,
"Reeves, Syd",,,,,,,,,,,,-,-,-,-,-,,,,
"Shand, Jimmy",-,-,-,-,,,,,,,,,,,,,,,,
"Smith, Jimmy",3,2,1,2,1,-,3,1,-,1,-,2,1,-,-,-,2,2,-,21.0
"Stott, Wilfred",,,,,,-,-,-,-,-,-,-,,,,,,,,
"Thomas, Bill",-,-,-,-,-,-,1,-,,,,,,,,,,,,1.0
"Thorp, Vic",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Threlfall, George",1,2,1,,-,-,,,,,,,,,,,,,,4.0
"Weatherill, Bob",-,-,3,2,-,3,1,1,,-,-,2,-,-,,,,,,12.0
"Weatherill, George",-,-,-,-,-,-,-,,,,,,,,,,,,,
"Weatherill, Harry",,,,,,,,,-,,-,-,-,-,,-,,,,
Totals,12,10,11,8,7,7,7,14,6,16,9,9,6,4,14,5,10,10,7,172.0
Opponent,ES,GE,ME,CW,FI,SM,SK,CA,ES,GE,ME,CW,FI,SM,SK,CA,SM,CW,CW,
