Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Baker, Oskar",11,11,18,16,10,15,19,10,12,16,10,19,3,14,,184.0
"Bontempelli, Marcus",14,14,14,6,10,16,14,10,13,19,17,13,18,15,16,209.0
"Bruce, Josh",10,13,8,6,6,,,,,,,,10,,,53.0
"Crozier, Hayden",,15,8,3,,,,,,,,,,,,26.0
"Dale, Bailey",12,15,13,14,9,10,19,8,20,26,14,19,16,18,13,226.0
"Daniel, Caleb",20,18,12,14,16,13,18,13,12,15,14,26,24,18,15,248.0
"Darcy, Sam",2,-,,,,,,,,,,,,,,2.0
"Duryea, Taylor",8,16,,,5,8,7,10,8,6,6,12,9,6,8,109.0
"English, Tim",10,13,8,9,12,11,7,17,11,8,13,15,11,16,4,165.0
"Garcia, Riley",,6,7,,,,,,,,,,,,,13.0
"Gardner, Ryan",,,,,,,,10,3,6,6,9,,,2,36.0
"Hannan, Mitch",3,,,4,4,,,,,,2,,,9,3,25.0
"Johannisen, Jason",4,,11,13,16,16,15,12,18,8,,,,,,113.0
"Jones, Arthur",,,2,6,5,5,10,6,9,3,10,5,-,,,61.0
"Jones, Liam",1,8,4,4,7,6,9,9,7,5,10,3,3,-,,76.0
"Keath, Alex",8,15,12,2,,7,11,6,7,,,,9,7,7,91.0
"Liberatore, Tom",20,13,22,7,14,10,,14,11,18,9,16,14,12,8,188.0
"Lobb, Rory",1,,-,10,4,8,5,4,6,3,7,4,10,7,5,74.0
"Macrae, Jack",20,18,21,15,13,12,12,23,15,15,22,18,19,18,11,252.0
"McComb, Robbie",,1,1,7,,,,,,,,,,,,9.0
"McLean, Toby",3,11,,,-,10,-,,,,,,,,,24.0
"McNeil, Lachlan",,,,,,1,7,2,-,4,4,2,,5,3,28.0
"Naughton, Aaron",2,7,7,5,7,7,7,2,7,2,5,2,2,7,4,73.0
"OBrien, Tim",,,,,11,6,8,,,6,12,12,,3,,58.0
"ODonnell, James",,,,,,,,,1,3,9,3,5,,4,25.0
"Poulter, Caleb",,,,,,,,,,,,,,,12,12.0
"Richards, Ed",11,11,13,14,16,7,12,16,18,12,10,11,,,,151.0
"Scott, Anthony",8,7,10,9,3,3,7,10,7,4,7,9,10,8,6,108.0
"Smith, Bailey",22,18,15,17,,,12,18,18,24,16,19,17,11,10,217.0
"Treloar, Adam",25,,12,11,20,23,17,15,,,,21,11,20,15,190.0
"Ugle-Hagan, Jamarra",6,6,3,6,6,9,5,4,6,6,9,9,6,6,9,96.0
"Vandermeer, Laitham",,,,,,,,,,,,,15,9,9,33.0
"Weightman, Cody",,,,,5,2,1,2,5,8,5,8,6,7,6,55.0
"West, Rhylee",,3,,,,,,,,,,,8,7,-,18.0
"Williams, Bailey",12,11,12,12,8,18,23,10,19,14,13,12,18,10,11,203.0
Totals,233,250,233,210,207,223,245,231,233,231,230,267,244,233,181,3451.0
Opponent,ME,SK,BL,RI,PA,FR,HW,GW,CA,AD,GC,GE,PA,NM,FR,
